成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2013-06-28,9.4000,2.0630,0.0000,0.0000,140.3035,900.9638,14.9259,95.8472
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2013-06-28,13.7800,3.9216,0.0000,0.0000,162.3736,"1,518.1300",11.7833,110.1691
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2013-06-28,4.9000,0.8230,0.0000,0.0000,161.3276,161.3276,32.9240,32.9240
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2013-06-28,3.1000,0.6494,0.0000,0.0000,53.5107,53.5107,17.2615,17.2615
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2013-06-28,0.2650,8.1633,0.0000,0.0000,50.1419,50.1419,189.2148,189.2148
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2013-06-28,4.1800,1.9512,0.0000,0.0000,73.3675,73.3675,17.5520,17.5520
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2013-06-28,117.1000,2.2707,0.0000,0.0000,"1,351.3076","1,351.3076",11.5398,11.5398
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2013-06-28,10.2200,0.7890,0.0000,0.0000,175.8414,175.8414,17.2056,17.2056
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2013-06-28,8.3100,0.8495,0.0000,0.0000,359.1378,359.1378,43.2175,43.2175
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2013-06-28,19.5400,4.0469,0.0000,0.0000,89.1236,211.8636,4.5611,10.8426
