,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,00998,2.4346,20120928,2.4080
1,20120831,00272,1.8589,20120928,1.9216
2,20120831,03900,6.3873,20120928,6.3563
3,20120831,00691,3.6787,20120928,4.4973
4,20120831,01668,0.8079,20120928,0.8153
5,20120831,01777,0.5144,20120928,0.5007
6,20120831,01361,1.3772,20120928,1.3543
7,20120831,03323,6.0187,20120928,7.0564
8,20120831,00904,72.2479,20120928,73.9379
9,20120831,01387,2.9947,20120928,2.9947
10,20120928,01988,2.9776,20121031,3.5132
11,20120928,00998,2.4080,20121031,2.6076
12,20120928,00272,1.9216,20121031,2.1894
13,20120928,03900,6.3563,20121031,7.0539
14,20120928,01668,0.8153,20121031,0.9413
15,20120928,03323,7.0564,20121031,8.1522
16,20120928,01777,0.5007,20121031,0.5281
17,20120928,00904,73.9379,20121031,73.9379
18,20120928,01361,1.3543,20121031,1.5157
19,20120928,01387,2.9947,20121031,3.0913
20,20121031,01988,3.5132,20121130,3.6852
21,20121031,00272,2.1894,20121130,2.5844
22,20121031,00998,2.6076,20121130,2.6475
23,20121031,03900,7.0539,20121130,9.1469
24,20121031,01668,0.9413,20121130,0.8894
25,20121031,03323,8.1522,20121130,8.1190
26,20121031,01777,0.5281,20121130,0.6584
27,20121031,01361,1.5157,20121130,1.4455
28,20121031,00904,73.9379,20121130,59.9953
29,20121031,01387,3.0913,20121130,3.9607
30,20121130,03900,9.1469,20121231,10.6972
31,20121130,00691,4.7180,20121231,5.1410
32,20121130,00886,1.6200,20121231,1.6600
33,20121130,00998,2.6475,20121231,3.0133
34,20121130,01668,0.8894,20121231,0.8746
35,20121130,01777,0.6584,20121231,0.8368
36,20121130,03323,8.1190,20121231,9.2978
37,20121130,01361,1.4455,20121231,1.5648
38,20121130,00904,59.9953,20121231,70.1354
39,20121130,01387,3.9607,20121231,7.1486
40,20121231,03328,3.6012,20130131,4.0521
41,20121231,00886,1.6600,20130131,1.5933
42,20121231,00272,2.5041,20130131,2.5175
43,20121231,00691,5.1410,20130131,5.2882
44,20121231,00998,3.0133,20130131,3.5588
45,20121231,01777,0.8368,20130131,0.9534
46,20121231,03323,9.2978,20130131,10.2940
47,20121231,01668,0.8746,20130131,0.9116
48,20121231,01361,1.5648,20130131,1.5367
49,20121231,01387,7.1486,20130131,6.7622
50,20130131,03328,4.0521,20130228,3.7828
51,20130131,00886,1.5933,20130228,1.4933
52,20130131,00998,3.5588,20130228,3.2195
53,20130131,01777,0.9534,20130228,0.7956
54,20130131,00272,2.5175,20130228,2.3367
55,20130131,00691,5.2882,20130228,5.0031
