,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00322,14.0321,20100226,13.9524
1,20100129,02331,20.5695,20100226,21.0351
2,20100129,02688,15.4647,20100226,15.8895
3,20100129,01398,3.1505,20100226,3.0400
4,20100129,03968,11.0918,20100226,11.7018
5,20100129,00939,3.2791,20100226,3.2080
6,20100129,03328,3.9878,20100226,4.2587
7,20100129,01171,8.5528,20100226,9.0323
8,20100129,00012,18.4311,20100226,19.9419
9,20100129,00682,7.3605,20100226,8.4626
10,20100226,00322,13.9524,20100331,15.1643
11,20100226,02331,21.0351,20100331,24.3787
12,20100226,02688,15.8895,20100331,16.5013
13,20100226,03968,11.7018,20100331,14.1772
14,20100226,01398,3.0400,20100331,3.2500
15,20100226,03328,4.2587,20100331,4.6013
16,20100226,00939,3.2080,20100331,3.4430
17,20100226,01171,9.0323,20100331,10.4261
18,20100226,00012,19.9419,20100331,21.5282
19,20100226,00682,8.4626,20100331,8.3642
20,20100331,02020,8.8446,20100430,9.5103
21,20100331,02688,16.5013,20100430,19.7132
22,20100331,03968,14.1772,20100430,12.7065
23,20100331,01088,17.5267,20100430,17.1941
24,20100331,01398,3.2500,20100430,3.1505
25,20100331,03328,4.6013,20100430,4.6496
26,20100331,00939,3.4430,20100430,3.4102
27,20100331,01171,10.4261,20100430,11.8200
28,20100331,00012,21.5282,20100430,19.1716
29,20100331,00682,8.3642,20100430,8.8562
30,20100430,02020,9.5103,20100531,8.8582
31,20100430,00658,15.4881,20100531,14.7796
32,20100430,00425,8.2398,20100531,7.8970
33,20100430,01088,17.1941,20100531,16.0543
34,20100430,03339,1.8193,20100531,1.5457
35,20100430,00552,2.6275,20100531,2.3785
36,20100430,00489,7.9491,20100531,6.6732
37,20100430,03323,5.2047,20100531,5.0091
38,20100430,00012,19.1716,20100531,17.7557
39,20100430,00682,8.8562,20100531,7.4293
40,20100531,02331,22.7272,20100630,22.0437
41,20100531,00658,14.7796,20100630,13.9954
42,20100531,00425,7.8970,20100630,7.0585
43,20100531,01088,16.0543,20100630,14.3575
44,20100531,00552,2.3785,20100630,2.6066
45,20100531,03339,1.5457,20100630,1.6481
46,20100531,00489,6.6732,20100630,6.7165
47,20100531,03323,5.0091,20100630,4.9209
48,20100531,00012,17.7557,20100630,17.6409
49,20100531,00682,7.4293,20100630,7.3801
50,20100630,01088,14.3575,20100730,15.7150
51,20100630,00552,2.6066,20100730,2.7311
52,20100630,03339,1.6481,20100730,1.8529
53,20100630,00489,6.7165,20100730,7.9790
54,20100630,03888,3.3458,20100730,3.9635
55,20100630,01072,21.7120,20100730,22.7998
56,20100630,03323,4.9209,20100730,5.8506
57,20100630,02313,6.7097,20100730,7.4124
58,20100630,00012,17.6409,20100730,18.8654
59,20100630,00682,7.3801,20100730,7.8918
60,20100730,01088,15.7150,20100831,14.6969
61,20100730,00861,6.6419,20100831,6.4276
62,20100730,00552,2.7311,20100831,2.6965
63,20100730,00489,7.9790,20100831,8.5705
64,20100730,00751,3.8166,20100831,2.8418
65,20100730,03888,3.9635,20100831,3.1742
66,20100730,03323,5.8506,20100831,5.6102
67,20100730,02313,7.4124,20100831,6.8719
68,20100730,00012,18.8654,20100831,17.8705
69,20100730,00682,7.8918,20100831,5.9828
70,20100831,00552,2.6965,20100930,3.0975
71,20100831,00489,8.5705,20100930,11.1965
72,20100831,00861,6.4276,20100930,7.3438
73,20100831,00904,282.4705,20100930,298.3843
74,20100831,03888,3.1742,20100930,3.5603
75,20100831,03323,5.6102,20100930,6.9967
76,20100831,00751,2.8418,20100930,3.7259
77,20100831,02313,6.8719,20100930,7.2193
78,20100831,00012,17.8705,20100930,21.0422
79,20100831,00682,5.9828,20100930,6.5437
80,20100930,00552,3.0975,20101029,3.1459
81,20100930,00489,11.1965,20101029,11.7737
82,20100930,00861,7.3438,20101029,7.5845
83,20100930,03323,6.9967,20101029,7.5977
84,20100930,00751,3.7259,20101029,3.0804
85,20100930,00904,298.3843,20101029,316.2247
86,20100930,03888,3.5603,20101029,3.3715
87,20100930,02313,7.2193,20101029,6.9877
88,20100930,00012,21.0422,20101029,21.5427
89,20100930,00682,6.5437,20101029,6.1993
90,20101029,01088,18.4038,20101130,17.1507
91,20101029,00489,11.7737,20101130,10.5040
92,20101029,00552,3.1459,20101130,3.3326
93,20101029,00861,7.5845,20101130,8.3178
94,20101029,03323,7.5977,20101130,7.0047
95,20101029,00904,316.2247,20101130,322.2595
96,20101029,03888,3.3715,20101130,3.5002
97,20101029,00751,3.0804,20101130,2.8769
98,20101029,02313,6.9877,20101130,6.5553
99,20101029,00012,21.5427,20101130,20.9074
100,20101130,00552,3.3326,20101231,3.3049
101,20101130,00425,9.5283,20101231,9.5892
102,20101130,01088,17.1507,20101231,17.0724
103,20101130,00489,10.5040,20101231,9.7393
104,20101130,03323,7.0047,20101231,7.0928
105,20101130,00904,322.2595,20101231,311.7991
106,20101130,03888,3.5002,20101231,3.3115
107,20101130,00751,2.8769,20101231,3.2497
108,20101130,00012,20.9074,20101231,20.4454
109,20101130,02313,6.5553,20101231,6.9182
110,20101231,01088,17.0724,20110131,16.3154
111,20101231,02331,14.6462,20110131,12.8155
112,20101231,00489,9.7393,20110131,9.5373
113,20101231,03323,7.0928,20110131,7.5817
114,20101231,00904,311.7991,20110131,304.1918
115,20101231,01382,2.1837,20110131,2.1449
116,20101231,03888,3.3115,20110131,3.7061
117,20101231,00751,3.2497,20110131,3.4058
118,20101231,02313,6.9182,20110131,7.0263
119,20101231,00012,20.4454,20110131,20.8304
120,20110131,00425,8.9947,20110228,9.0404
121,20110131,03323,7.5817,20110228,7.4936
122,20110131,00489,9.5373,20110228,9.6671
123,20110131,02331,12.8155,20110228,12.1764
124,20110131,03888,3.7061,20110228,3.5517
125,20110131,00904,304.1918,20110228,248.0708
126,20110131,00751,3.4058,20110228,3.4554
127,20110131,01382,2.1449,20110228,1.8773
128,20110131,02313,7.0263,20110228,6.9182
129,20110131,00012,20.8304,20110228,18.2699
130,20110228,03323,7.4936,20110331,11.4607
131,20110228,00861,7.7159,20110331,8.0551
132,20110228,00489,9.6671,20110331,9.1621
133,20110228,02331,12.1764,20110331,11.0710
134,20110228,03888,3.5517,20110331,4.1265
135,20110228,00751,3.4554,20110331,3.0368
136,20110228,01382,1.8773,20110331,1.9162
137,20110228,00904,248.0708,20110331,259.8644
138,20110228,02313,6.9182,20110331,6.9491
139,20110228,00012,18.2699,20110331,20.4069
140,20110331,00861,8.0551,20110429,8.2084
141,20110331,00489,9.1621,20110429,8.8303
142,20110331,03888,4.1265,20110429,4.3924
143,20110331,00751,3.0368,20110429,3.4838
144,20110331,01888,3.3205,20110429,3.6402
145,20110331,01382,1.9162,20110429,2.1190
146,20110331,00904,259.8644,20110429,272.8779
147,20110331,02313,6.9491,20110429,7.1035
148,20110331,00012,20.4069,20110429,20.8667
149,20110331,02678,4.9721,20110429,5.1734
150,20110429,01888,3.6402,20110531,3.4517
151,20110429,00904,272.8779,20110531,253.7643
152,20110429,01800,5.1998,20110531,5.1341
153,20110429,00998,3.4085,20110531,3.3481
154,20110429,00285,3.8240,20110531,3.6707
155,20110429,02338,8.7680,20110531,7.3149
156,20110429,00489,8.8303,20110531,10.1165
157,20110429,02777,4.9824,20110531,4.9731
158,20110429,02678,5.1734,20110531,4.1134
159,20110429,03383,6.5074,20110531,7.0157
160,20110531,01888,3.4517,20110630,3.2998
161,20110531,00998,3.3481,20110630,3.0771
162,20110531,01800,5.1341,20110630,4.8858
163,20110531,00904,253.7643,20110630,191.1366
164,20110531,00489,10.1165,20110630,10.9962
165,20110531,00285,3.6707,20110630,2.9311
166,20110531,02777,4.9731,20110630,4.8331
167,20110531,02338,7.3149,20110630,7.5130
168,20110531,03383,7.0157,20110630,6.2154
169,20110531,02678,4.1134,20110630,3.6852
170,20110630,03988,2.1738,20110729,2.0929
171,20110630,01800,4.8858,20110729,4.8127
172,20110630,01888,3.2998,20110729,2.5665
173,20110630,00998,3.0771,20110729,2.9585
174,20110630,02777,4.8331,20110729,4.7025
175,20110630,00285,2.9311,20110729,2.6155
176,20110630,00904,191.1366,20110729,197.2367
177,20110630,02338,7.5130,20110729,6.9764
178,20110630,03383,6.2154,20110729,6.5376
179,20110630,02678,3.6852,20110729,2.3726
180,20110729,01800,4.8127,20110831,4.0386
181,20110729,03988,2.0929,20110831,1.8327
182,20110729,01899,3.2510,20110831,2.4543
183,20110729,02777,4.7025,20110831,4.2593
184,20110729,02338,6.9764,20110831,6.2333
185,20110729,01888,2.5665,20110831,2.4617
186,20110729,03383,6.5376,20110831,5.2903
187,20110729,00904,197.2367,20110831,108.9885
188,20110729,00285,2.6155,20110831,2.0292
189,20110729,02678,2.3726,20110831,1.7549
190,20110831,03988,1.8327,20110930,1.4685
191,20110831,01800,4.0386,20110930,3.9802
192,20110831,03339,2.0370,20110930,1.8504
193,20110831,02777,4.2593,20110930,2.7709
194,20110831,01888,2.4617,20110930,1.7242
195,20110831,01899,2.4543,20110930,2.3958
196,20110831,02338,6.2333,20110930,6.5388
197,20110831,00285,2.0292,20110930,1.7767
198,20110831,03383,5.2903,20110930,2.9971
199,20110831,02678,1.7549,20110930,1.2886
200,20110930,00998,2.0410,20111031,2.7321
201,20110930,03988,1.4685,20111031,1.6419
202,20110930,02338,6.5388,20111031,6.9351
203,20110930,01899,2.3958,20111031,2.7062
204,20110930,03339,1.8504,20111031,2.1475
205,20110930,01888,1.7242,20111031,2.3828
206,20110930,00285,1.7767,20111031,2.5433
207,20110930,02777,2.7709,20111031,3.6432
208,20110930,03383,2.9971,20111031,3.9436
209,20110930,02678,1.2886,20111031,1.7231
210,20111031,00998,2.7321,20111130,2.5732
211,20111031,01361,2.7094,20111130,2.1520
212,20111031,01899,2.7062,20111130,2.0619
213,20111031,03339,2.1475,20111130,1.7153
214,20111031,00285,2.5433,20111130,2.2457
215,20111031,01888,2.3828,20111130,1.8848
216,20111031,02338,6.9351,20111130,5.7958
217,20111031,02777,3.6432,20111130,2.9010
218,20111031,03383,3.9436,20111130,3.1549
219,20111031,02678,1.7231,20111130,1.4359
220,20111130,03988,1.4107,20111230,1.6651
221,20111130,01361,2.1520,20111230,2.0094
222,20111130,02338,5.7958,20111230,6.2086
223,20111130,01899,2.0619,20111230,2.0853
224,20111130,00285,2.2457,20111230,1.9932
225,20111130,01888,1.8848,20111230,1.9063
226,20111130,03339,1.7153,20111230,1.7896
227,20111130,02777,2.9010,20111230,2.9733
228,20111130,03383,3.1549,20111230,3.6334
229,20111130,02678,1.4359,20111230,1.3549
230,20111230,03933,3.9405,20120131,4.3195
231,20111230,02338,6.2086,20120131,6.9516
232,20111230,01361,2.0094,20120131,1.9769
233,20111230,03339,1.7896,20120131,2.1205
234,20111230,01888,1.9063,20120131,2.2383
235,20111230,01899,2.0853,20120131,1.9330
236,20111230,00285,1.9932,20120131,2.3720
237,20111230,02777,2.9733,20120131,3.5950
238,20111230,03383,3.6334,20120131,4.4431
239,20111230,02678,1.3549,20120131,1.3770
240,20120131,01368,1.5684,20120229,1.7714
241,20120131,03339,2.1205,20120229,2.0732
242,20120131,02338,6.9516,20120229,7.1828
243,20120131,01888,2.2383,20120229,2.5060
244,20120131,00285,2.3720,20120229,2.7598
245,20120131,02777,3.5950,20120229,4.9057
246,20120131,01361,1.9769,20120229,2.1584
247,20120131,01899,1.9330,20120229,2.4016
248,20120131,03383,4.4431,20120229,5.3738
249,20120131,02678,1.3770,20120229,1.9587
250,20120229,02777,4.9057,20120330,4.3371
251,20120229,01368,1.7714,20120330,2.0851
252,20120229,00285,2.7598,20120330,2.1194
253,20120229,01888,2.5060,20120330,1.9705
254,20120229,02338,7.1828,20120330,5.9196
255,20120229,03339,2.0732,20120330,1.8301
256,20120229,01899,2.4016,20120330,2.1146
257,20120229,01361,2.1584,20120330,1.5427
258,20120229,03383,5.3738,20120330,4.6692
259,20120229,02678,1.9587,20120330,1.5464
260,20120330,00998,2.9354,20120430,3.0815
261,20120330,02777,4.3371,20120430,4.9636
262,20120330,03933,3.2264,20120430,3.0522
263,20120330,03339,1.8301,20120430,1.9179
264,20120330,02338,5.9196,20120430,5.9939
265,20120330,01888,1.9705,20120430,1.9652
266,20120330,00285,2.1194,20120430,2.0924
267,20120330,01899,2.1146,20120430,1.9389
268,20120330,01361,1.5427,20120430,1.5491
269,20120330,01777,0.5565,20120430,0.5827
270,20120430,00691,5.5424,20120531,5.3894
271,20120430,03328,3.5777,20120531,3.1064
272,20120430,00998,3.0815,20120531,2.5224
273,20120430,00813,6.6737,20120531,6.6737
274,20120430,00272,2.0593,20120531,1.9692
275,20120430,03323,8.5205,20120531,7.8035
276,20120430,01361,1.5491,20120531,1.3369
277,20120430,01777,0.5827,20120531,0.5624
278,20120430,03900,4.1936,20120531,3.7828
279,20120430,01387,4.3471,20120531,4.1539
280,20120531,03988,1.6824,20120629,1.7837
281,20120531,03328,3.1064,20120629,3.1314
282,20120531,00813,6.6737,20120629,7.5546
283,20120531,00998,2.5224,20120629,2.5610
284,20120531,00272,1.9692,20120629,2.0315
285,20120531,03323,7.8035,20120629,6.8488
286,20120531,01777,0.5624,20120629,0.5556
287,20120531,01361,1.3369,20120629,1.2025
288,20120531,03900,3.7828,20120629,6.0462
289,20120531,01387,4.1539,20120629,2.9947
290,20120629,02009,2.2907,20120731,1.9992
291,20120629,00691,4.7916,20120731,3.8627
292,20120629,03328,3.1314,20120731,3.1628
293,20120629,00272,2.0315,20120731,2.1178
294,20120629,00998,2.5610,20120731,2.5144
295,20120629,03900,6.0462,20120731,6.2865
296,20120629,03323,6.8488,20120731,6.1847
297,20120629,01777,0.5556,20120731,0.5418
