开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,322,14.0321,20100226,13.9524
20100129,2331,20.5695,20100226,21.0351
20100129,2688,15.4647,20100226,15.8895
20100129,1398,3.1505,20100226,3.04
20100129,3968,11.0918,20100226,11.7018
20100129,939,3.2791,20100226,3.208
20100129,3328,3.9878,20100226,4.2587
20100129,1171,8.5528,20100226,9.0323
20100129,12,18.4311,20100226,19.9419
20100129,682,7.3605,20100226,8.4626
20100226,322,13.9524,20100331,15.1643
20100226,2331,21.0351,20100331,24.3787
20100226,2688,15.8895,20100331,16.5013
20100226,3968,11.7018,20100331,14.1772
20100226,1398,3.04,20100331,3.25
20100226,3328,4.2587,20100331,4.6013
20100226,939,3.208,20100331,3.443
20100226,1171,9.0323,20100331,10.4261
20100226,12,19.9419,20100331,21.5282
20100226,682,8.4626,20100331,8.3642
20100331,2020,8.8446,20100430,9.5103
20100331,2688,16.5013,20100430,19.7132
20100331,3968,14.1772,20100430,12.7065
20100331,1088,17.5267,20100430,17.1941
20100331,1398,3.25,20100430,3.1505
20100331,3328,4.6013,20100430,4.6496
20100331,939,3.443,20100430,3.4102
20100331,1171,10.4261,20100430,11.82
20100331,12,21.5282,20100430,19.1716
20100331,682,8.3642,20100430,8.8562
20100430,2020,9.5103,20100531,8.8582
20100430,658,15.4881,20100531,14.7796
20100430,425,8.2398,20100531,7.897
20100430,1088,17.1941,20100531,16.0543
20100430,3339,1.8193,20100531,1.5457
20100430,552,2.6275,20100531,2.3785
20100430,489,7.9491,20100531,6.6732
20100430,3323,5.2047,20100531,5.0091
20100430,12,19.1716,20100531,17.7557
20100430,682,8.8562,20100531,7.4293
20100531,2331,22.7272,20100630,22.0437
20100531,658,14.7796,20100630,13.9954
20100531,425,7.897,20100630,7.0585
20100531,1088,16.0543,20100630,14.3575
20100531,552,2.3785,20100630,2.6066
20100531,3339,1.5457,20100630,1.6481
20100531,489,6.6732,20100630,6.7165
20100531,3323,5.0091,20100630,4.9209
20100531,12,17.7557,20100630,17.6409
20100531,682,7.4293,20100630,7.3801
20100630,1088,14.3575,20100730,15.715
20100630,552,2.6066,20100730,2.7311
20100630,3339,1.6481,20100730,1.8529
20100630,489,6.7165,20100730,7.979
20100630,3888,3.3458,20100730,3.9635
20100630,1072,21.712,20100730,22.7998
20100630,3323,4.9209,20100730,5.8506
20100630,2313,6.7097,20100730,7.4124
20100630,12,17.6409,20100730,18.8654
20100630,682,7.3801,20100730,7.8918
20100730,1088,15.715,20100831,14.6969
20100730,861,6.6419,20100831,6.4276
20100730,552,2.7311,20100831,2.6965
20100730,489,7.979,20100831,8.5705
20100730,751,3.8166,20100831,2.8418
20100730,3888,3.9635,20100831,3.1742
20100730,3323,5.8506,20100831,5.6102
20100730,2313,7.4124,20100831,6.8719
20100730,12,18.8654,20100831,17.8705
20100730,682,7.8918,20100831,5.9828
