,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20180629,02799,2.1756,20180731,1.9220
1,20180629,03618,4.0319,20180731,4.2427
2,20180629,02329,2.4144,20180731,2.1898
3,20180629,02128,4.3529,20180731,4.3799
4,20180629,01628,3.5256,20180731,3.5256
5,20180629,00884,4.2842,20180731,4.5120
6,20180629,00338,4.0115,20180731,4.1575
7,20180629,03380,8.6274,20180731,8.4967
8,20180629,00576,5.7394,20180731,5.8661
9,20180629,02678,11.0682,20180731,11.3787
10,20180731,02799,1.9220,20180831,1.6390
11,20180731,03618,4.2427,20180831,3.6278
12,20180731,02128,4.3799,20180831,4.0831
13,20180731,01628,3.5256,20180831,3.3154
14,20180731,00884,4.5120,20180831,3.9162
15,20180731,03380,8.4967,20180831,8.3050
16,20180731,00338,4.1575,20180831,3.9170
17,20180731,00576,5.8661,20180831,5.5112
18,20180731,03301,8.5334,20180831,8.5156
19,20180731,01212,14.3719,20180831,14.1502
20,20180831,03618,3.6278,20180928,3.8123
21,20180831,01628,3.3154,20180928,2.8140
22,20180831,00884,3.9162,20180928,3.3318
23,20180831,02128,4.0831,20180928,4.0330
24,20180831,03301,8.5156,20180928,8.1143
25,20180831,02799,1.6390,20180928,1.4439
26,20180831,00338,3.9170,20180928,4.0888
27,20180831,00576,5.5112,20180928,5.8218
28,20180831,00698,1.1352,20180928,1.1358
29,20180831,02007,10.4273,20180928,9.4941
30,20180928,01628,2.8140,20181031,2.2878
31,20180928,03618,3.8123,20181031,3.7069
32,20180928,00884,3.3318,20181031,2.7973
33,20180928,02799,1.4439,20181031,1.3659
34,20180928,02128,4.0330,20181031,3.8212
35,20180928,03301,8.1143,20181031,8.0252
36,20180928,00819,6.0202,20181031,5.5793
37,20180928,02007,9.4941,20181031,7.5989
38,20180928,00338,4.0888,20181031,2.9292
39,20180928,03380,8.0610,20181031,6.4357
40,20181031,01628,2.2878,20181130,2.7924
41,20181031,00884,2.7973,20181130,3.4387
42,20181031,01363,0.3700,20181130,0.3350
43,20181031,03618,3.7069,20181130,3.9880
44,20181031,02799,1.3659,20181130,1.5512
45,20181031,02128,3.8212,20181130,3.7107
46,20181031,00338,2.9292,20181130,3.0323
47,20181031,00819,5.5793,20181130,6.3532
48,20181031,03301,8.0252,20181130,8.4532
49,20181031,02007,7.5989,20181130,8.7105
50,20181130,01363,0.3350,20181231,0.3150
51,20181130,01628,2.7924,20181231,2.6578
52,20181130,03618,3.9880,20181231,3.6806
53,20181130,00884,3.4387,20181231,3.4476
54,20181130,02128,3.7107,20181231,3.5450
55,20181130,00338,3.0323,20181231,2.9464
56,20181130,00698,0.8349,20181231,0.7184
57,20181130,02799,1.5512,20181231,1.4146
58,20181130,01345,1.2349,20181231,0.8873
59,20181130,03301,8.4532,20181231,7.9717
60,20181231,00486,2.5000,20190131,3.2800
61,20181231,01363,0.3150,20190131,0.3400
62,20181231,06166,3.2828,20190131,3.0800
63,20181231,03618,3.6806,20190131,3.9529
64,20181231,01628,2.6578,20190131,3.2634
65,20181231,01233,6.2069,20190131,7.7003
66,20181231,02128,3.5450,20190131,4.0146
67,20181231,00884,3.4476,20190131,4.5523
68,20181231,02799,1.4146,20190131,1.4927
69,20181231,00698,0.7184,20190131,1.0096
70,20190131,06166,3.0800,20190228,3.1283
71,20190131,00486,3.2800,20190228,3.7600
72,20190131,03618,3.9529,20190228,4.3306
73,20190131,01363,0.3400,20190228,0.3900
74,20190131,01628,3.2634,20190228,3.2802
75,20190131,02768,3.6876,20190228,3.6876
76,20190131,01233,7.7003,20190228,8.0114
77,20190131,02128,4.0146,20190228,4.0974
78,20190131,00338,3.1783,20190228,3.4102
79,20190131,02799,1.4927,20190228,1.8147
80,20190228,06166,3.1283,20190329,2.9159
81,20190228,01363,0.3900,20190329,0.3450
82,20190228,00486,3.7600,20190329,3.4000
