,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20111031,00682,0.0000,20111130,0.0000
1,20111031,02678,1.7231,20111130,1.4359
2,20111031,02777,3.6432,20111130,2.9010
3,20111031,01387,11.4957,20111130,10.4331
4,20111031,00658,4.3302,20111130,3.4451
5,20111031,01361,2.7094,20111130,2.1520
6,20111031,03339,2.1475,20111130,1.7153
7,20111031,03328,3.4126,20111130,3.0334
8,20111031,03323,7.9073,20111130,7.4231
9,20111031,01368,1.9498,20111130,1.4393
10,20111130,00682,0.0000,20111230,0.0000
11,20111130,02678,1.4359,20111230,1.3549
12,20111130,02777,2.9010,20111230,2.9733
13,20111130,00658,3.4451,20111230,2.9504
14,20111130,01387,10.4331,20111230,7.8248
15,20111130,01361,2.1520,20111230,2.0094
16,20111130,01368,1.4393,20111230,1.5377
17,20111130,03339,1.7153,20111230,1.7896
18,20111130,03323,7.4231,20111230,7.1327
19,20111130,03328,3.0334,20111230,3.3392
20,20111230,00682,0.0000,20120131,0.0000
21,20111230,02678,1.3549,20120131,1.3770
22,20111230,02777,2.9733,20120131,3.5950
23,20111230,00658,2.9504,20120131,3.6360
24,20111230,01387,7.8248,20120131,8.6942
25,20111230,01361,2.0094,20120131,1.9769
26,20111230,03339,1.7896,20120131,2.1205
27,20111230,01368,1.5377,20120131,1.5684
28,20111230,03323,7.1327,20120131,7.7298
29,20111230,00546,2.5844,20120131,2.9020
30,20120131,02678,1.3770,20120229,1.9587
31,20120131,02777,3.5950,20120229,4.9057
32,20120131,01387,8.6942,20120229,8.9840
33,20120131,00658,3.6360,20120229,4.5298
34,20120131,01361,1.9769,20120229,2.1584
35,20120131,01368,1.5684,20120229,1.7714
36,20120131,03323,7.7298,20120229,9.1337
37,20120131,03339,2.1205,20120229,2.0732
38,20120131,00546,2.9020,20120229,2.7360
39,20120131,01888,2.2383,20120229,2.5060
40,20120229,02678,1.9587,20120330,1.5464
41,20120229,01387,8.9840,20120330,5.0233
42,20120229,01361,2.1584,20120330,1.5427
43,20120229,02777,4.9057,20120330,4.3371
44,20120229,00658,4.5298,20120330,3.5752
45,20120229,01368,1.7714,20120330,2.0851
46,20120229,03339,2.0732,20120330,1.8301
47,20120229,00546,2.7360,20120330,2.4472
48,20120229,03323,9.1337,20120330,7.6652
49,20120229,03328,3.9080,20120330,3.5471
50,20120330,01387,5.0233,20120430,4.3471
51,20120330,01777,0.5565,20120430,0.5827
52,20120330,02777,4.3371,20120430,4.9636
53,20120330,03323,7.6652,20120430,8.5205
54,20120330,03339,1.8301,20120430,1.9179
55,20120330,03328,3.5471,20120430,3.5777
56,20120330,01368,2.0851,20120430,2.1343
57,20120330,01398,2.9901,20120430,3.0988
58,20120330,00746,3.6188,20120430,3.9310
59,20120330,00142,6.4430,20120430,6.3084
60,20120430,01387,4.3471,20120531,4.1539
61,20120430,01777,0.5827,20120531,0.5624
62,20120430,02010,1.8701,20120531,1.7600
63,20120430,01628,0.6398,20120531,0.6362
64,20120430,00004,12.4568,20120531,11.1546
65,20120430,00893,1.6297,20120531,1.2993
66,20120430,00813,6.6737,20120531,6.6737
67,20120430,00067,54.5994,20120531,50.8597
68,20120430,02777,4.9636,20120531,5.1014
69,20120430,03328,3.5777,20120531,3.1064
70,20120531,01387,4.1539,20120629,2.9947
71,20120531,01777,0.5624,20120629,0.5556
72,20120531,02010,1.7600,20120629,1.4695
73,20120531,01628,0.6362,20120629,0.7495
74,20120531,00893,1.2993,20120629,1.1918
75,20120531,00004,11.1546,20120629,11.6604
76,20120531,03328,3.1064,20120629,3.1314
77,20120531,03339,1.6579,20120629,1.2592
78,20120531,00067,50.8597,20120629,47.2995
79,20120531,00813,6.6737,20120629,7.5546
80,20120629,01387,2.9947,20120731,2.8981
81,20120629,02010,1.4695,20120731,1.7941
82,20120629,01777,0.5556,20120731,0.5418
83,20120629,00893,1.1918,20120731,1.0941
84,20120629,03339,1.2592,20120731,0.9584
85,20120629,01628,0.7495,20120731,0.8024
86,20120629,00004,11.6604,20120731,12.5876
87,20120629,00067,47.2995,20120731,46.1552
88,20120629,00746,2.5345,20120731,2.4825
89,20120629,03323,6.8488,20120731,6.1847
90,20120731,01387,2.8981,20120831,2.9947
91,20120731,01238,0.8761,20120831,0.8436
92,20120731,00163,0.9862,20120831,1.0238
93,20120731,03339,0.9584,20120831,0.8744
94,20120731,01777,0.5418,20120831,0.5144
95,20120731,00893,1.0941,20120831,1.0941
96,20120731,01668,0.8113,20120831,0.8079
97,20120731,02010,1.7941,20120831,1.8710
98,20120731,01368,1.5311,20120831,1.8398
99,20120731,00067,46.1552,20120831,50.3511
100,20120831,00163,1.0238,20120928,1.2441
101,20120831,01387,2.9947,20120928,2.9947
102,20120831,01238,0.8436,20120928,0.8112
103,20120831,01668,0.8079,20120928,0.8153
104,20120831,02010,1.8710,20120928,2.0351
105,20120831,01966,0.9879,20120928,1.0306
106,20120831,01777,0.5144,20120928,0.5007
107,20120831,00004,13.4867,20120928,15.0772
108,20120831,00893,1.0941,20120928,1.1430
109,20120831,01988,3.1643,20120928,2.9776
110,20120928,00163,1.2441,20121031,1.1663
111,20120928,01387,2.9947,20121031,3.0913
112,20120928,01238,0.8112,20121031,0.8436
113,20120928,01668,0.8153,20121031,0.9413
114,20120928,01777,0.5007,20121031,0.5281
115,20120928,02010,2.0351,20121031,2.3283
116,20120928,01966,1.0306,20121031,1.0550
117,20120928,00893,1.1430,20121031,1.4067
118,20120928,00004,15.0772,20121031,14.9639
119,20120928,01988,2.9776,20121031,3.5132
120,20121031,00163,1.1663,20121130,1.3737
121,20121031,01387,3.0913,20121130,3.9607
122,20121031,01238,0.8436,20121130,1.0189
123,20121031,01668,0.9413,20121130,0.8894
124,20121031,01777,0.5281,20121130,0.6584
125,20121031,00004,14.9639,20121130,16.6643
126,20121031,01966,1.0550,20121130,1.0245
127,20121031,02010,2.3283,20121130,2.3714
128,20121031,01988,3.5132,20121130,3.6852
129,20121031,00893,1.4067,20121130,1.6314
130,20121130,00163,1.3737,20121231,1.4265
131,20121130,01238,1.0189,20121231,1.0643
132,20121130,01387,3.9607,20121231,7.1486
133,20121130,01668,0.8894,20121231,0.8746
134,20121130,01966,1.0245,20121231,1.1587
135,20121130,02010,2.3714,20121231,2.4146
136,20121130,00886,1.6200,20121231,1.6600
137,20121130,00004,16.6643,20121231,17.0186
138,20121130,01777,0.6584,20121231,0.8368
139,20121130,01988,3.6852,20121231,4.3043
140,20121231,00163,1.4265,20130131,1.6322
141,20121231,01238,1.0643,20130131,1.3823
142,20121231,01668,0.8746,20130131,0.9116
143,20121231,02010,2.4146,20130131,2.3283
144,20121231,00004,17.0186,20130131,19.8101
145,20121231,01387,7.1486,20130131,6.7622
146,20121231,03988,2.1356,20130131,2.3578
147,20121231,01988,4.3043,20130131,5.5523
148,20121231,00067,63.7018,20130131,72.4751
149,20121231,01368,2.2016,20130131,2.2354
150,20130131,00163,1.6322,20130228,1.5791
151,20130131,01238,1.3823,20130228,1.2330
152,20130131,01668,0.9116,20130228,0.9561
153,20130131,01387,6.7622,20130228,5.3131
154,20130131,02010,2.3283,20130228,1.9920
155,20130131,00004,19.8101,20130228,18.8749
156,20130131,00893,1.7389,20130228,1.7389
157,20130131,01368,2.2354,20130228,2.0395
158,20130131,03988,2.3578,20130228,2.2343
159,20130131,00067,72.4751,20130228,68.6606
160,20130228,00163,1.5791,20130328,1.4265
161,20130228,01238,1.2330,20130328,1.1681
162,20130228,01387,5.3131,20130328,4.6369
163,20130228,01668,0.9561,20130328,0.9635
164,20130228,02010,1.9920,20130328,1.7506
165,20130228,00004,18.8749,20130328,19.2858
166,20130228,01368,2.0395,20130328,2.0260
167,20130228,01777,0.7956,20130328,0.8093
168,20130228,00893,1.7389,20130328,1.7291
