,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,01387,2.9947,20120928,2.9947
1,20120831,00163,1.0238,20120928,1.2441
2,20120831,01361,1.3772,20120928,1.3543
3,20120831,00939,3.2645,20120928,3.4309
4,20120831,03983,3.0511,20120928,3.0922
5,20120831,00066,20.2383,20120928,21.2882
6,20120831,01157,6.0524,20120928,6.1803
7,20120831,01088,15.9144,20120928,16.5543
8,20120831,00460,1.1419,20120928,1.0357
9,20120831,02313,10.3930,20120928,11.0405
10,20120928,01387,2.9947,20121031,3.0913
11,20120928,00163,1.2441,20121031,1.1663
12,20120928,01361,1.3543,20121031,1.5157
13,20120928,00066,21.2882,20121031,21.7226
14,20120928,03983,3.0922,20121031,3.3043
15,20120928,00939,3.4309,20121031,3.6806
16,20120928,01157,6.1803,20121031,7.5016
17,20120928,00460,1.0357,20121031,1.0833
18,20120928,01088,16.5543,20121031,18.1402
19,20120928,02313,11.0405,20121031,12.3853
20,20121031,01387,3.0913,20121130,3.9607
21,20121031,00163,1.1663,20121130,1.3737
22,20121031,01361,1.5157,20121130,1.4455
23,20121031,00066,21.7226,20121130,22.3743
24,20121031,00939,3.6806,20121130,3.8086
25,20121031,03983,3.3043,20121130,3.3043
26,20121031,01157,7.5016,20121130,6.9120
27,20121031,01088,18.1402,20121130,17.4725
28,20121031,00460,1.0833,20121130,1.1455
29,20121031,02313,12.3853,20121130,12.4019
30,20121130,01387,3.9607,20121231,7.1486
31,20121130,00163,1.3737,20121231,1.4265
32,20121130,01361,1.4455,20121231,1.5648
33,20121130,00066,22.3743,20121231,22.0485
34,20121130,00939,3.8086,20121231,3.9942
35,20121130,03983,3.3043,20121231,3.4753
36,20121130,01157,6.9120,20121231,8.0841
37,20121130,01088,17.4725,20121231,18.6966
38,20121130,00460,1.1455,20121231,1.2370
39,20121130,02313,12.4019,20121231,14.7760
40,20121231,00163,1.4265,20130131,1.6322
41,20121231,01387,7.1486,20130131,6.7622
42,20121231,01361,1.5648,20130131,1.5367
43,20121231,00066,22.0485,20130131,23.1346
44,20121231,00939,3.9942,20130131,4.2887
45,20121231,03983,3.4753,20130131,3.7900
46,20121231,01157,8.0841,20130131,7.3737
47,20121231,01088,18.6966,20130131,18.6410
48,20121231,00460,1.2370,20130131,1.2772
49,20121231,02313,14.7760,20130131,15.8552
50,20130131,00163,1.6322,20130228,1.5791
51,20130131,01387,6.7622,20130228,5.3131
52,20130131,01361,1.5367,20130228,1.5999
53,20130131,00066,23.1346,20130228,22.8812
54,20130131,00939,4.2887,20130228,4.0070
55,20130131,03983,3.7900,20130228,3.2427
56,20130131,01157,7.3737,20130228,7.2459
57,20130131,01088,18.6410,20130228,16.1370
58,20130131,00460,1.2772,20130228,1.3138
59,20130131,02313,15.8552,20130228,17.4324
60,20130228,00163,1.5791,20130328,1.4265
61,20130228,01387,5.3131,20130328,4.6369
62,20130228,01361,1.5999,20130328,1.5999
63,20130228,00066,22.8812,20130328,22.5915
64,20130228,03983,3.2427,20130328,3.3179
65,20130228,00939,4.0070,20130328,4.1030
66,20130228,01157,7.2459,20130328,6.5710
67,20130228,01088,16.1370,20130328,15.8588
68,20130228,00460,1.3138,20130328,1.4017
69,20130228,02313,17.4324,20130328,18.0135
70,20130328,00163,1.4265,20130430,1.4531
71,20130328,01387,4.6369,20130430,4.7335
72,20130328,00066,22.5915,20130430,23.0260
73,20130328,03983,3.3179,20130430,3.1743
74,20130328,01157,6.5710,20130430,5.5339
75,20130328,03998,1.7910,20130430,1.5372
76,20130328,00460,1.4017,20130430,1.5737
77,20130328,02313,18.0135,20130430,18.2625
78,20130328,03898,19.6523,20130430,18.9457
79,20130328,01112,37.9204,20130430,39.6810
80,20130430,00163,1.4531,20130531,1.5659
81,20130430,00014,29.2470,20130531,26.3677
82,20130430,00004,19.8385,20130531,20.3246
83,20130430,00659,9.1553,20130531,9.1014
84,20130430,01088,15.2467,20130531,14.2451
85,20130430,03998,1.5372,20130531,1.4937
86,20130430,06808,8.9870,20130531,9.2589
87,20130430,02018,32.1794,20130531,38.8224
88,20130430,01112,39.6810,20130531,42.3922
89,20130531,00163,1.5659,20130628,1.4199
90,20130531,00014,26.3677,20130628,25.0039
91,20130531,00004,20.3246,20130628,18.5817
92,20130531,01088,14.2451,20130628,11.5841
93,20130531,00659,9.1014,20130628,7.6743
94,20130531,03998,1.4937,20130628,1.2327
95,20130531,06808,9.2589,20130628,9.2589
96,20130531,02018,38.8224,20130628,38.1252
97,20130531,01112,42.3922,20130628,40.0448
98,20130628,00163,1.4199,20130731,1.4332
99,20130628,00014,25.0039,20130731,24.6250
100,20130628,00004,18.5817,20130731,19.5035
101,20130628,01088,11.5841,20130731,13.1530
102,20130628,00659,7.6743,20130731,7.9301
103,20130628,03998,1.2327,20130731,1.1819
104,20130628,06808,9.2589,20130731,9.2252
105,20130628,00303,72.6971,20130731,77.2556
106,20130628,02018,38.1252,20130731,31.5459
107,20130628,01112,40.0448,20130731,34.3372
108,20130731,00163,1.4332,20130830,1.3559
109,20130731,00242,2.6802,20130830,3.2830
110,20130731,00014,24.6250,20130830,25.5400
111,20130731,00410,3.0758,20130830,3.2115
112,20130731,00004,19.5035,20130830,18.0055
113,20130731,00694,3.8603,20130830,4.0214
114,20130731,00659,7.9301,20130830,7.7820
115,20130731,01088,13.1530,20130830,14.1852
116,20130731,02018,31.5459,20130830,30.6745
117,20130731,00700,70.1945,20130830,70.3517
118,20130830,00163,1.3559,20130930,1.5126
119,20130830,00242,3.2830,20130930,3.4704
120,20130830,00014,25.5400,20130930,26.6836
121,20130830,00004,18.0055,20130930,19.8082
122,20130830,00410,3.2115,20130930,3.3046
123,20130830,00659,7.7820,20130930,8.2128
124,20130830,00694,4.0214,20130930,4.1731
125,20130830,01088,14.1852,20130930,13.8903
126,20130830,02018,30.6745,20130930,32.1074
127,20130830,00700,70.3517,20130930,79.7843
128,20130930,00163,1.5126,20131031,1.5194
129,20130930,00242,3.4704,20131031,3.6903
130,20130930,00014,26.6836,20131031,27.3698
131,20130930,00004,19.8082,20131031,18.9810
132,20130930,00410,3.3046,20131031,3.3046
133,20130930,00694,4.1731,20131031,4.4421
134,20130930,00659,8.2128,20131031,8.0512
135,20130930,01088,13.8903,20131031,13.8903
136,20130930,02018,32.1074,20131031,29.3440
137,20130930,00700,79.7843,20131031,82.9285
138,20131031,00163,1.5194,20131129,1.5467
139,20131031,00242,3.6903,20131129,3.6659
140,20131031,00014,27.3698,20131129,27.6366
141,20131031,00004,18.9810,20131129,18.8649
142,20131031,00410,3.3046,20131129,3.4433
143,20131031,01088,13.8903,20131129,15.6008
144,20131031,00694,4.4421,20131129,4.7926
145,20131031,02018,29.3440,20131129,29.5633
146,20131031,00700,82.9285,20131129,86.8981
147,20131129,00163,1.5467,20131231,1.4671
148,20131129,00242,3.6659,20131231,3.7229
149,20131129,00014,27.6366,20131231,25.6925
150,20131129,00004,18.8649,20131231,17.1235
151,20131129,00410,3.4433,20131231,3.2946
152,20131129,01088,15.6008,20131231,14.5686
153,20131129,00694,4.7926,20131231,4.9556
154,20131129,02018,29.5633,20131231,33.3355
155,20131129,00700,86.8981,20131231,98.0600
156,20131231,00163,1.4671,20140130,1.4252
157,20131231,00014,25.6925,20140130,23.5197
158,20131231,00242,3.7229,20140130,3.6007
159,20131231,00004,17.1235,20140130,15.1355
160,20131231,00410,3.2946,20140130,3.0321
161,20131231,01088,14.5686,20140130,11.5251
162,20131231,01177,1.7149,20140130,1.8774
163,20131231,02018,33.3355,20140130,29.9142
164,20140130,00163,1.4252,20140228,1.4252
165,20140130,00014,23.5197,20140228,25.1588
166,20140130,00242,3.6007,20140228,3.9021
167,20140130,00004,15.1355,20140228,15.4547
168,20140130,00410,3.0321,20140228,2.9429
169,20140130,01088,11.5251,20140228,12.5632
170,20140130,02018,29.9142,20140228,30.8792
171,20140130,01177,1.8774,20140228,2.0119
172,20140228,00163,1.4252,20140331,1.3274
173,20140228,00014,25.1588,20140331,26.2901
174,20140228,00004,15.4547,20140331,14.5115
175,20140228,00242,3.9021,20140331,3.3237
176,20140228,00410,2.9429,20140331,3.0965
177,20140228,01088,12.5632,20140331,13.2415
178,20140228,02018,30.8792,20140331,34.2128
179,20140228,01177,2.0119,20140331,1.8830
180,20140331,00163,1.3274,20140430,1.2296
181,20140331,00004,14.5115,20140430,15.7595
182,20140331,01177,1.8830,20140430,1.7317
183,20140331,02018,34.2128,20140430,37.0200
184,20140331,01928,41.7426,20140430,42.4604
185,20140430,00163,1.2296,20140530,1.1877
186,20140430,00053,73.8046,20140530,75.0248
187,20140430,00694,4.4421,20140530,4.3606
188,20140430,02128,3.1768,20140530,3.3813
189,20140430,02883,16.2666,20140530,17.1061
190,20140430,00914,23.5710,20140530,22.4879
191,20140430,01882,13.2591,20140530,14.3740
192,20140430,00460,3.1521,20140530,3.4260
193,20140430,02018,37.0200,20140530,38.9391
194,20140530,00163,1.1877,20140630,1.2226
195,20140530,00053,75.0248,20140630,74.2376
196,20140530,00694,4.3606,20140630,4.3198
197,20140530,02128,3.3813,20140630,3.3950
198,20140530,02883,17.1061,20140630,16.7456
199,20140530,00914,22.4879,20140630,22.1138
200,20140530,01999,2.3775,20140630,2.2729
201,20140530,00460,3.4260,20140630,3.5218
202,20140530,02018,38.9391,20140630,45.4662
203,20140630,00163,1.2226,20140731,1.3833
204,20140630,00743,3.7941,20140731,4.3936
205,20140630,00694,4.3198,20140731,4.6305
206,20140630,02128,3.3950,20140731,3.6375
207,20140630,01668,3.1759,20140731,3.0280
208,20140630,01396,2.3758,20140731,1.5395
209,20140630,00914,22.1138,20140731,24.4831
210,20140630,01999,2.2729,20140731,2.2224
211,20140630,01882,15.8663,20140731,15.0944
212,20140630,00460,3.5218,20140731,3.6573
213,20140731,00743,4.3936,20140829,4.0597
214,20140731,00694,4.6305,20140829,4.8545
215,20140731,01396,1.5395,20140829,1.9196
216,20140731,02128,3.6375,20140829,3.5729
217,20140731,00590,17.5067,20140829,17.4008
218,20140731,00914,24.4831,20140829,23.4024
219,20140731,01382,5.7137,20140829,5.8532
220,20140731,01882,15.0944,20140829,17.0498
221,20140731,00460,3.6573,20140829,3.8153
222,20140731,02018,42.6050,20140829,42.8733
223,20140829,00743,4.0597,20140930,3.7410
224,20140829,00694,4.8545,20140930,4.7012
225,20140829,02128,3.5729,20140930,3.1606
226,20140829,01396,1.9196,20140930,1.6060
227,20140829,00590,17.4008,20140930,15.6237
228,20140829,00914,23.4024,20140930,20.4511
229,20140829,01382,5.8532,20140930,5.9797
230,20140829,01882,17.0498,20140930,15.2780
231,20140829,00460,3.8153,20140930,4.2567
232,20140829,02018,42.8733,20140930,39.9934
233,20140930,00743,3.7410,20141031,3.2630
234,20140930,00694,4.7012,20141031,4.8604
235,20140930,02128,3.1606,20141031,3.2415
236,20140930,01396,1.6060,20141031,1.4445
237,20140930,00914,20.4511,20141031,21.2409
238,20140930,00590,15.6237,20141031,16.6603
239,20140930,01882,15.2780,20141031,14.1014
240,20140930,01382,5.9797,20141031,6.6062
241,20140930,02018,39.9934,20141031,41.3415
242,20140930,00460,4.2567,20141031,4.6869
243,20141031,00694,4.8604,20141128,5.0783
244,20141031,01396,1.4445,20141128,1.7676
245,20141031,02128,3.2415,20141128,3.4516
246,20141031,00914,21.2409,20141128,21.2409
247,20141031,00590,16.6603,20141128,19.1779
248,20141031,01882,14.1014,20141128,14.2745
249,20141031,01382,6.6062,20141128,6.5302
250,20141031,02018,41.3415,20141128,41.2517
251,20141031,00460,4.6869,20141128,4.4604
252,20141128,00694,5.0783,20141231,5.2375
253,20141128,02128,3.4516,20141231,3.0313
254,20141128,01396,1.7676,20141231,1.8246
255,20141128,00914,21.2409,20141231,23.1945
256,20141128,00590,19.1779,20141231,21.1584
257,20141128,01882,14.2745,20141231,13.8246
258,20141128,01382,6.5302,20141231,6.6558
259,20141128,00460,4.4604,20141231,3.8567
260,20141128,02018,41.2517,20141231,37.8365
261,20141231,02128,3.0313,20150130,3.0394
262,20141231,00694,5.2375,20150130,6.3185
263,20141231,01396,1.8246,20150130,1.5205
264,20141231,00914,23.1945,20150130,21.9475
265,20141231,00590,21.1584,20150130,21.8007
266,20141231,01882,13.8246,20150130,13.0287
267,20141231,01382,6.6558,20150130,6.9057
268,20141231,00460,3.8567,20150130,3.8265
269,20141231,02018,37.8365,20150130,44.4871
270,20150130,02128,3.0394,20150227,2.9909
271,20150130,01396,1.5205,20150227,1.3209
272,20150130,00694,6.3185,20150227,6.0755
273,20150130,00914,21.9475,20150227,22.3632
274,20150130,00590,21.8007,20150227,20.5160
275,20150130,01882,13.0287,20150227,14.7070
276,20150130,01382,6.9057,20150227,7.4976
277,20150130,00460,3.8265,20150227,3.5321
278,20150130,02018,44.4871,20150227,47.8124
279,20150227,01396,1.3209,20150331,1.3114
280,20150227,02128,2.9909,20150331,3.7184
281,20150227,00694,6.0755,20150331,6.3269
282,20150227,00914,22.3632,20150331,24.7741
283,20150227,00590,20.5160,20150331,16.2466
284,20150227,01882,14.7070,20150331,15.3991
285,20150227,02020,14.6100,20150331,12.7081
286,20150227,00460,3.5321,20150331,0.0000
287,20150227,01382,7.4976,20150331,7.1162
288,20150227,02018,47.8124,20150331,44.4871
289,20150331,01396,1.3114,20150430,1.4445
290,20150331,02128,3.7184,20150430,4.5267
291,20150331,00590,16.2466,20150430,18.5136
292,20150331,00694,6.3269,20150430,7.0560
