,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,01138,10.2473,20100226,11.1865
1,20100129,00868,1.5494,20100226,1.4914
2,20100129,01171,8.5528,20100226,9.0323
3,20100129,03818,2.4782,20100226,2.5317
4,20100129,00341,11.9213,20100226,12.0731
5,20100129,01387,14.8583,20100226,15.3737
6,20100226,01138,11.1865,20100331,10.8678
7,20100226,00868,1.4914,20100331,1.8214
8,20100226,01171,9.0323,20100331,10.4261
9,20100226,03818,2.5317,20100331,2.7892
10,20100226,00341,12.0731,20100331,12.9562
11,20100226,01387,15.3737,20100331,15.7172
12,20100331,00682,8.3642,20100430,8.8562
13,20100331,01138,10.8678,20100430,9.8280
14,20100331,00868,1.8214,20100430,1.7131
15,20100331,01171,10.4261,20100430,11.8200
16,20100331,03818,2.7892,20100430,2.5705
17,20100331,00341,12.9562,20100430,13.0390
18,20100331,01387,15.7172,20100430,16.3184
19,20100430,00177,4.4145,20100531,4.2631
20,20100430,01898,8.8364,20100531,8.1668
21,20100430,01333,4.3185,20100531,3.8106
22,20100430,01088,17.1941,20100531,16.0543
23,20100430,02899,2.8351,20100531,2.6167
24,20100531,01898,8.1668,20100630,7.4313
25,20100531,00177,4.2631,20100630,4.3116
26,20100531,01333,3.8106,20100630,3.2919
27,20100531,01088,16.0543,20100630,14.3575
28,20100531,02899,2.6167,20100630,2.5803
29,20100630,00682,7.3801,20100730,7.8918
30,20100630,00066,18.1400,20100730,18.5841
31,20100630,01333,3.2919,20100730,3.2187
32,20100630,01088,14.3575,20100730,15.7150
33,20100630,02313,6.7097,20100730,7.4124
34,20100630,02020,9.6597,20100730,9.4559
35,20100630,02877,15.5607,20100730,13.9708
36,20100730,00682,7.8918,20100831,5.9828
37,20100730,00066,18.5841,20100831,18.9172
38,20100730,01333,3.2187,20100831,3.0258
39,20100730,01088,15.7150,20100831,14.6969
40,20100730,02313,7.4124,20100831,6.8719
41,20100730,02877,13.9708,20100831,13.5310
42,20100730,02020,9.4559,20100831,10.8290
43,20100831,00682,5.9828,20100930,6.5437
44,20100831,01333,3.0258,20100930,3.1057
45,20100831,00066,18.9172,20100930,19.6038
46,20100831,01088,14.6969,20100930,16.7592
47,20100831,02313,6.8719,20100930,7.2193
48,20100831,02877,13.5310,20100930,18.4698
49,20100831,02020,10.8290,20100930,11.9711
50,20100930,00010,38.1507,20101029,39.2450
51,20100930,00682,6.5437,20101029,6.1993
52,20100930,01333,3.1057,20101029,3.1988
53,20100930,00066,19.6038,20101029,20.2905
54,20100930,00101,26.5627,20101029,27.0793
55,20100930,02313,7.2193,20101029,6.9877
56,20100930,01088,16.7592,20101029,18.4038
57,20100930,02877,18.4698,20101029,16.9024
58,20100930,02020,11.9711,20101029,11.0079
59,20101029,00010,39.2450,20101130,37.1432
60,20101029,01333,3.1988,20101130,2.8197
61,20101029,00066,20.2905,20101130,19.7068
62,20101029,00101,27.0793,20101130,25.5868
63,20101029,02313,6.9877,20101130,6.5553
64,20101029,01088,18.4038,20101130,17.1507
65,20101029,02877,16.9024,20101130,17.0725
66,20101029,02020,11.0079,20101130,10.0447
67,20101130,00010,37.1432,20101231,39.8946
68,20101130,01333,2.8197,20101231,2.9128
69,20101130,00066,19.7068,20101231,19.7068
70,20101130,00101,25.5868,20101231,25.9066
71,20101130,02313,6.5553,20101231,6.9182
72,20101130,01088,17.1507,20101231,17.0724
73,20101130,02020,10.0447,20101231,8.4898
74,20101130,02877,17.0725,20101231,15.1000
75,20101231,00010,39.8946,20110131,37.4489
76,20101231,01333,2.9128,20110131,2.5138
77,20101231,00066,19.7068,20110131,19.5008
78,20101231,00101,25.9066,20110131,24.6628
79,20101231,02313,6.9182,20110131,7.0263
80,20101231,01088,17.0724,20110131,16.3154
81,20101231,02020,8.4898,20110131,8.5862
82,20101231,02877,15.1000,20110131,13.6036
83,20110131,00010,37.4489,20110228,35.4578
84,20110131,01333,2.5138,20110228,2.1281
85,20110131,00066,19.5008,20110228,19.3978
86,20110131,00101,24.6628,20110228,22.8675
87,20110131,02313,7.0263,20110228,6.9182
88,20110131,01088,16.3154,20110228,16.6809
89,20110131,02877,13.6036,20110228,14.1477
90,20110131,02020,8.5862,20110228,8.2559
91,20110228,00010,35.4578,20110331,36.8009
92,20110228,01333,2.1281,20110331,2.4938
93,20110228,00066,19.3978,20110331,20.0562
94,20110228,00101,22.8675,20110331,24.6541
95,20110228,02313,6.9182,20110331,6.9491
96,20110228,01088,16.6809,20110331,19.1086
97,20110228,02020,8.2559,20110331,8.3935
98,20110228,02877,14.1477,20110331,13.5219
99,20110331,00010,36.8009,20110429,39.7940
100,20110331,00148,23.3654,20110429,23.7425
101,20110331,00101,24.6541,20110429,24.2968
102,20110331,00066,20.0562,20110429,19.7771
103,20110331,01888,3.3205,20110429,3.6402
104,20110331,02313,6.9491,20110429,7.1035
105,20110331,01088,19.1086,20110429,19.1997
106,20110331,02020,8.3935,20110429,8.6117
107,20110331,02877,13.5219,20110429,12.8010
108,20110331,00522,77.6446,20110429,85.6138
109,20110429,00010,39.7940,20110531,39.0649
110,20110429,01668,0.8634,20110531,0.8566
111,20110429,00101,24.2968,20110531,22.8675
112,20110429,01888,3.6402,20110531,3.4517
113,20110429,02020,8.6117,20110531,10.2554
114,20110429,02018,16.5440,20110531,16.2390
115,20110531,00010,39.0649,20110630,36.9544
116,20110531,01668,0.8566,20110630,0.8294
117,20110531,00101,22.8675,20110630,22.1172
118,20110531,01888,3.4517,20110630,3.2998
119,20110531,02018,16.2390,20110630,15.0002
120,20110531,02020,10.2554,20110630,9.9744
121,20110630,00010,36.9544,20110729,36.6090
122,20110630,01668,0.8294,20110729,0.8634
123,20110630,00101,22.1172,20110729,21.4026
124,20110630,01888,3.2998,20110729,2.5665
125,20110630,02233,2.2985,20110729,2.0686
126,20110630,01177,0.7257,20110729,0.7176
127,20110630,01882,7.9957,20110729,7.5691
128,20110630,02018,15.0002,20110729,15.1006
129,20110630,01818,13.9222,20110729,13.7661
130,20110729,00010,36.6090,20110831,34.5752
131,20110729,00101,21.4026,20110831,20.1520
132,20110729,01888,2.5665,20110831,2.4617
133,20110729,02233,2.0686,20110831,1.5925
134,20110729,01177,0.7176,20110831,0.6074
135,20110729,01882,7.5691,20110831,5.7756
136,20110729,02018,15.1006,20110831,12.7233
137,20110729,01818,13.7661,20110831,15.2572
138,20110831,00010,34.5752,20110930,33.3088
139,20110831,00101,20.1520,20110930,18.1154
140,20110831,01888,2.4617,20110930,1.7242
141,20110831,02233,1.5925,20110930,1.1380
142,20110831,01882,5.7756,20110930,4.9061
143,20110831,01177,0.6074,20110930,0.6024
144,20110831,02018,12.7233,20110930,14.6167
145,20110831,01818,15.2572,20110930,10.6627
146,20110930,01888,1.7242,20111031,2.3828
