开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,1138,10.2473,20100226,11.1865
20100129,868,1.5494,20100226,1.4914
20100129,1171,8.5528,20100226,9.0323
20100129,3818,2.4782,20100226,2.5317
20100129,341,11.9213,20100226,12.0731
20100129,1387,14.8583,20100226,15.3737
20100226,1138,11.1865,20100331,10.8678
20100226,868,1.4914,20100331,1.8214
20100226,1171,9.0323,20100331,10.4261
20100226,3818,2.5317,20100331,2.7892
20100226,341,12.0731,20100331,12.9562
20100226,1387,15.3737,20100331,15.7172
20100331,682,8.3642,20100430,8.8562
20100331,1138,10.8678,20100430,9.828
20100331,868,1.8214,20100430,1.7131
20100331,1171,10.4261,20100430,11.82
20100331,3818,2.7892,20100430,2.5705
20100331,341,12.9562,20100430,13.039
20100331,1387,15.7172,20100430,16.3184
20100430,177,4.4145,20100531,4.2631
20100430,1898,8.8364,20100531,8.1668
20100430,1333,4.3185,20100531,3.8106
20100430,1088,17.1941,20100531,16.0543
20100430,2899,2.8351,20100531,2.6167
20100531,1898,8.1668,20100630,7.4313
20100531,177,4.2631,20100630,4.3116
20100531,1333,3.8106,20100630,3.2919
20100531,1088,16.0543,20100630,14.3575
20100531,2899,2.6167,20100630,2.5803
20100630,682,7.3801,20100730,7.8918
20100630,66,18.14,20100730,18.5841
20100630,1333,3.2919,20100730,3.2187
20100630,1088,14.3575,20100730,15.715
20100630,2313,6.7097,20100730,7.4124
20100630,2020,9.6597,20100730,9.4559
20100630,2877,15.5607,20100730,13.9708
20100730,682,7.8918,20100831,5.9828
20100730,66,18.5841,20100831,18.9172
20100730,1333,3.2187,20100831,3.0258
20100730,1088,15.715,20100831,14.6969
20100730,2313,7.4124,20100831,6.8719
20100730,2877,13.9708,20100831,13.531
20100730,2020,9.4559,20100831,10.829
20100831,682,5.9828,20100930,6.5437
20100831,1333,3.0258,20100930,3.1057
20100831,66,18.9172,20100930,19.6038
20100831,1088,14.6969,20100930,16.7592
20100831,2313,6.8719,20100930,7.2193
20100831,2877,13.531,20100930,18.4698
20100831,2020,10.829,20100930,11.9711
20100930,10,38.1507,20101029,39.245
20100930,682,6.5437,20101029,6.1993
20100930,1333,3.1057,20101029,3.1988
20100930,66,19.6038,20101029,20.2905
20100930,101,26.5627,20101029,27.0793
20100930,2313,7.2193,20101029,6.9877
20100930,1088,16.7592,20101029,18.4038
20100930,2877,18.4698,20101029,16.9024
20100930,2020,11.9711,20101029,11.0079
20101029,10,39.245,20101130,37.1432
20101029,1333,3.1988,20101130,2.8197
20101029,66,20.2905,20101130,19.7068
20101029,101,27.0793,20101130,25.5868
20101029,2313,6.9877,20101130,6.5553
20101029,1088,18.4038,20101130,17.1507
20101029,2877,16.9024,20101130,17.0725
20101029,2020,11.0079,20101130,10.0447
20101130,10,37.1432,20101231,39.8946
20101130,1333,2.8197,20101231,2.9128
20101130,66,19.7068,20101231,19.7068
20101130,101,25.5868,20101231,25.9066
20101130,2313,6.5553,20101231,6.9182
20101130,1088,17.1507,20101231,17.0724
20101130,2020,10.0447,20101231,8.4898
20101130,2877,17.0725,20101231,15.1
20101231,10,39.8946,20110131,37.4489
20101231,1333,2.9128,20110131,2.5138
20101231,66,19.7068,20110131,19.5008
20101231,101,25.9066,20110131,24.6628
20101231,2313,6.9182,20110131,7.0263
20101231,1088,17.0724,20110131,16.3154
20101231,2020,8.4898,20110131,8.5862
20101231,2877,15.1,20110131,13.6036
20110131,10,37.4489,20110228,35.4578
20110131,1333,2.5138,20110228,2.1281
20110131,66,19.5008,20110228,19.3978
20110131,101,24.6628,20110228,22.8675
20110131,2313,7.0263,20110228,6.9182
20110131,1088,16.3154,20110228,16.6809
20110131,2877,13.6036,20110228,14.1477
20110131,2020,8.5862,20110228,8.2559
20110228,10,35.4578,20110331,36.8009
20110228,1333,2.1281,20110331,2.4938
20110228,66,19.3978,20110331,20.0562
20110228,101,22.8675,20110331,24.6541
20110228,2313,6.9182,20110331,6.9491
20110228,1088,16.6809,20110331,19.1086
20110228,2020,8.2559,20110331,8.3935
20110228,2877,14.1477,20110331,13.5219
20110331,10,36.8009,20110429,39.794
20110331,148,23.3654,20110429,23.7425
20110331,101,24.6541,20110429,24.2968
20110331,66,20.0562,20110429,19.7771
20110331,1888,3.3205,20110429,3.6402
20110331,2313,6.9491,20110429,7.1035
20110331,1088,19.1086,20110429,19.1997
20110331,2020,8.3935,20110429,8.6117
20110331,2877,13.5219,20110429,12.801
20110331,522,77.6446,20110429,85.6138
20110429,10,39.794,20110531,39.0649
20110429,1668,0.8634,20110531,0.8566
20110429,101,24.2968,20110531,22.8675
20110429,1888,3.6402,20110531,3.4517
20110429,2020,8.6117,20110531,10.2554
20110429,2018,16.544,20110531,16.239
20110531,10,39.0649,20110630,36.9544
20110531,1668,0.8566,20110630,0.8294
20110531,101,22.8675,20110630,22.1172
20110531,1888,3.4517,20110630,3.2998
20110531,2018,16.239,20110630,15.0002
20110531,2020,10.2554,20110630,9.9744
20110630,10,36.9544,20110729,36.609
20110630,1668,0.8294,20110729,0.8634
20110630,101,22.1172,20110729,21.4026
20110630,1888,3.2998,20110729,2.5665
20110630,2233,2.2985,20110729,2.0686
20110630,1177,0.7257,20110729,0.7176
20110630,1882,7.9957,20110729,7.5691
20110630,2018,15.0002,20110729,15.1006
20110630,1818,13.9222,20110729,13.7661
20110729,10,36.609,20110831,34.5752
20110729,101,21.4026,20110831,20.152
20110729,1888,2.5665,20110831,2.4617
20110729,2233,2.0686,20110831,1.5925
20110729,1177,0.7176,20110831,0.6074
20110729,1882,7.5691,20110831,5.7756
20110729,2018,15.1006,20110831,12.7233
20110729,1818,13.7661,20110831,15.2572
20110831,10,34.5752,20110930,33.3088
20110831,101,20.152,20110930,18.1154
20110831,1888,2.4617,20110930,1.7242
20110831,2233,1.5925,20110930,1.138
20110831,1882,5.7756,20110930,4.9061
20110831,1177,0.6074,20110930,0.6024
20110831,2018,12.7233,20110930,14.6167
20110831,1818,15.2572,20110930,10.6627
20110930,1888,1.7242,20111031,2.3828
20110930,2233,1.138,20111031,1.2045
20110930,1882,4.9061,20111031,5.6646
20110930,1177,0.6024,20111031,0.6539
20110930,2018,14.6167,20111031,16.5328
20110930,1818,10.6627,20111031,12.3098
20111031,1888,2.3828,20111130,1.8848
20111031,2233,1.2045,20111130,1.1795
20111031,1882,5.6646,20111130,5.3257
20111031,1177,0.6539,20111130,0.662
20111031,2018,16.5328,20111130,14.9049
20111031,1818,12.3098,20111130,11.703
20111130,1888,1.8848,20111230,1.9063
20111130,2233,1.1795,20111230,1.0632
20111130,1882,5.3257,20111230,5.4145
20111130,1177,0.662,20111230,0.6348
20111130,2018,14.9049,20111230,14.7523
20111130,1818,11.703,20111230,10.576
20111230,1888,1.9063,20120131,2.2383
20111230,2233,1.0632,20120131,1.0715
20111230,1882,5.4145,20120131,6.4393
20111230,1177,0.6348,20120131,0.5828
20111230,2018,14.7523,20120131,16.9991
20111230,1818,10.576,20120131,11.703
20120131,1888,2.2383,20120229,2.506
20120131,2233,1.0715,20120229,1.5035
20120131,1068,12.94,20120229,11.3
