,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,01668,0.8079,20120928,0.8153
1,20120831,00743,2.0779,20120928,2.3420
2,20120831,03998,1.4630,20120928,1.5337
3,20120831,01234,2.9917,20120928,2.1061
4,20120831,01361,1.3772,20120928,1.3543
5,20120831,01988,3.1643,20120928,2.9776
6,20120831,01368,1.8398,20120928,1.8234
7,20120831,02020,3.5880,20120928,4.2618
8,20120831,00189,2.7609,20120928,2.5611
9,20120831,00238,1.0996,20120928,1.0583
10,20120928,01668,0.8153,20121031,0.9413
11,20120928,02777,4.5178,20121031,4.8558
12,20120928,03998,1.5337,20121031,1.7810
13,20120928,02020,4.2618,20121031,5.0217
14,20120928,01361,1.3543,20121031,1.5157
15,20120928,01988,2.9776,20121031,3.5132
16,20120928,01368,1.8234,20121031,2.2692
17,20120928,01234,2.1061,20121031,2.3221
18,20120928,00189,2.5611,20121031,3.2642
19,20120928,00238,1.0583,20121031,1.0721
20,20121031,00743,2.3063,20121130,2.3635
21,20121031,02777,4.8558,20121130,6.3003
22,20121031,03998,1.7810,20121130,1.6609
23,20121031,02020,5.0217,20121130,4.3558
24,20121031,01361,1.5157,20121130,1.4455
25,20121031,01988,3.5132,20121130,3.6852
26,20121031,01368,2.2692,20121130,2.0666
27,20121031,00189,3.2642,20121130,3.1458
28,20121031,01234,2.3221,20121130,2.2681
29,20121031,00238,1.0721,20121130,1.0652
30,20121130,00743,2.3635,20121231,2.7705
31,20121130,00315,10.0558,20121231,9.8055
32,20121130,01988,3.6852,20121231,4.3043
33,20121130,03998,1.6609,20121231,1.6750
34,20121130,01361,1.4455,20121231,1.5648
35,20121130,02020,4.3558,20121231,5.2880
36,20121130,01368,2.0666,20121231,2.2016
37,20121130,00189,3.1458,20121231,3.8342
38,20121130,01234,2.2681,20121231,2.4841
39,20121130,00238,1.0652,20121231,1.0099
40,20121231,02282,10.8194,20130131,14.4930
41,20121231,01988,4.3043,20130131,5.5523
42,20121231,01668,0.8746,20130131,0.9116
43,20121231,00315,9.8055,20130131,9.4995
44,20121231,02020,5.2880,20130131,5.7267
45,20121231,01361,1.5648,20130131,1.5367
46,20121231,00189,3.8342,20130131,3.7898
47,20121231,03998,1.6750,20130131,1.6025
48,20121231,01368,2.2016,20130131,2.2354
49,20121231,01234,2.4841,20130131,2.8081
50,20130131,00848,1.3014,20130228,1.2713
51,20130131,01128,14.8051,20130228,13.9342
52,20130131,01668,0.9116,20130228,0.9561
53,20130131,02020,5.7267,20130228,5.7659
54,20130131,00315,9.4995,20130228,9.8750
55,20130131,01361,1.5367,20130228,1.5999
56,20130131,00189,3.7898,20130228,3.7602
57,20130131,03998,1.6025,20130228,1.7403
58,20130131,01368,2.2354,20130228,2.0395
59,20130131,01234,2.8081,20130228,2.4733
60,20130228,02282,14.7410,20130328,13.8916
61,20130228,01668,0.9561,20130328,0.9635
62,20130228,01128,13.9342,20130328,13.9008
63,20130228,02020,5.7659,20130328,5.3115
64,20130228,00315,9.8750,20130328,9.1223
65,20130228,03998,1.7403,20130328,1.7910
66,20130228,01361,1.5999,20130328,1.5999
67,20130228,00189,3.7602,20130328,3.3827
68,20130228,01368,2.0395,20130328,2.0260
69,20130228,01234,2.4733,20130328,2.6461
70,20130328,01398,3.4446,20130430,3.4957
71,20130328,01988,5.1396,20130430,4.8595
72,20130328,02777,6.5564,20130430,7.1711
73,20130328,01668,0.9635,20130430,0.9783
74,20130328,01128,13.9008,20130430,15.7095
75,20130328,03988,2.2220,20130430,2.2281
76,20130328,00891,3.3988,20130430,2.7051
77,20130328,02282,13.8916,20130430,14.9413
78,20130328,03998,1.7910,20130430,1.5372
79,20130328,00315,9.1223,20130430,9.6539
80,20130430,00939,4.1606,20130531,4.0390
81,20130430,01288,2.2852,20130531,2.2605
82,20130430,01398,3.4957,20130531,3.4510
83,20130430,00034,5.9393,20130531,5.8811
84,20130430,01668,0.9783,20130531,1.3192
85,20130430,03988,2.2281,20130531,2.3084
86,20130430,00315,9.6539,20130531,9.7688
87,20130430,03998,1.5372,20130531,1.4937
88,20130531,03968,11.0694,20130628,9.6072
89,20130531,03328,3.7264,20130628,3.2473
90,20130531,00939,4.0390,20130628,3.6739
91,20130531,01398,3.4510,20130628,3.2493
92,20130531,01288,2.2605,20130628,2.1147
93,20130531,00034,5.8811,20130628,5.8229
94,20130531,03988,2.3084,20130628,2.0564
95,20130531,00315,9.7688,20130628,9.1654
96,20130531,03998,1.4937,20130628,1.2327
97,20130628,01668,1.2600,20130731,1.4008
98,20130628,01818,4.6398,20130731,4.7790
99,20130628,03328,3.2473,20130731,3.3735
100,20130628,01398,3.2493,20130731,3.4389
101,20130628,03968,9.6072,20130731,9.7711
102,20130628,00939,3.6739,20130731,3.8844
103,20130628,01288,2.1147,20130731,2.0620
104,20130628,03988,2.0564,20130731,2.1221
105,20130628,00315,9.1654,20130731,8.8925
106,20130628,03998,1.2327,20130731,1.1819
107,20130731,03377,2.5645,20130830,3.0018
108,20130731,01398,3.4389,20130830,3.4321
109,20130731,01818,4.7790,20130830,6.7092
110,20130731,00939,3.8844,20130830,3.8437
111,20130731,03328,3.3735,20130830,3.3536
112,20130731,03968,9.7711,20130830,10.3271
113,20130731,00034,5.6507,20130830,5.6023
114,20130731,01288,2.0620,20130830,2.2003
115,20130731,03988,2.1221,20130830,2.1352
116,20130731,00315,8.8925,20130830,7.7576
117,20130830,00163,1.3559,20130930,1.5126
118,20130830,00215,1.8002,20130930,1.8713
119,20130830,01398,3.4321,20130930,3.6893
120,20130830,03968,10.3271,20130930,10.4492
121,20130830,03328,3.3536,20130930,3.8118
122,20130830,01288,2.2003,20130930,2.3584
123,20130830,00939,3.8437,20130930,4.0610
124,20130830,00034,5.6023,20130930,5.9952
125,20130830,03988,2.1352,20130930,2.3323
126,20130830,00315,7.7576,20130930,7.4272
127,20130930,03377,3.2138,20131031,3.3163
128,20130930,03328,3.8118,20131031,3.7919
129,20130930,01398,3.6893,20131031,3.6487
130,20130930,01288,2.3584,20131031,2.4309
131,20130930,00939,4.0610,20131031,4.0813
132,20130930,00215,1.8713,20131031,1.9151
133,20130930,00034,5.9952,20131031,5.8285
134,20130930,03988,2.3323,20131031,2.3783
135,20131031,01288,2.4309,20131129,2.6154
136,20131031,03328,3.7919,20131129,3.8583
137,20131031,01398,3.6487,20131129,3.7706
138,20131031,00939,4.0813,20131129,4.2579
139,20131031,00215,1.9151,20131129,1.6470
140,20131031,00034,5.8285,20131129,5.8532
141,20131031,03988,2.3783,20131129,2.4703
142,20131129,01668,1.5568,20131231,1.7125
143,20131129,03328,3.8583,20131231,3.5794
144,20131129,01398,3.7706,20131231,3.5336
145,20131129,00939,4.2579,20131231,3.9659
146,20131129,03988,2.4703,20131231,2.3323
147,20131129,01818,4.6955,20131231,4.0923
148,20131129,00034,5.8532,20131231,5.8964
149,20131129,00215,1.6470,20131231,1.6415
150,20131231,01288,2.5166,20140130,2.2135
151,20131231,03900,9.7764,20140130,8.7922
152,20131231,00163,1.4671,20140130,1.4252
153,20131231,03328,3.5794,20140130,3.3337
154,20131231,01398,3.5336,20140130,3.2426
155,20131231,00939,3.9659,20140130,3.5924
156,20131231,00034,5.8964,20140130,5.5074
157,20131231,03988,2.3323,20140130,2.1352
158,20131231,00215,1.6415,20140130,1.5649
159,20131231,01818,4.0923,20140130,4.2315
160,20140130,00163,1.4252,20140228,1.4252
161,20140130,03900,8.7922,20140228,8.2673
162,20140130,01288,2.2135,20140228,2.2201
163,20140130,03328,3.3337,20140228,3.3403
164,20140130,01398,3.2426,20140228,3.1884
165,20140130,00939,3.5924,20140228,3.6535
166,20140130,00034,5.5074,20140228,5.7358
167,20140130,01818,4.2315,20140228,4.7790
168,20140130,03988,2.1352,20140228,2.1615
169,20140130,00215,1.5649,20140228,1.5485
170,20140228,00163,1.4252,20140331,1.3274
171,20140228,03383,3.7593,20140331,3.5358
172,20140228,01818,4.7790,20140331,4.2872
173,20140228,01288,2.2201,20140331,2.2135
174,20140228,03328,3.3403,20140331,3.3801
175,20140228,00034,5.7358,20140331,5.7420
176,20140228,03900,8.2673,20140331,6.5695
177,20140228,00939,3.6535,20140331,3.6875
178,20140228,01398,3.1884,20140331,3.2222
179,20140228,03988,2.1615,20140331,2.2535
180,20140331,03968,10.5559,20140430,10.4797
181,20140331,00163,1.3274,20140430,1.2296
182,20140331,00034,5.7420,20140430,5.8655
183,20140331,03328,3.3801,20140430,3.2075
184,20140331,03900,6.5695,20140430,6.5695
185,20140331,01288,2.2135,20140430,2.1411
186,20140331,01398,3.2222,20140430,3.1681
187,20140331,00939,3.6875,20140430,3.6535
188,20140331,03988,2.2535,20140430,2.2535
189,20140331,03383,3.5358,20140430,3.6103
190,20140430,03968,10.4797,20140530,10.8153
191,20140430,01918,3.1523,20140530,3.2841
192,20140430,00163,1.2296,20140530,1.1877
