,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100430,00410,1.7704,20100531,1.7238
1,20100430,01387,16.3184,20100531,14.4289
2,20100531,00410,1.7238,20100630,1.8066
3,20100531,01387,14.4289,20100630,14.8961
4,20100630,01333,3.2919,20100730,3.2187
5,20100630,01387,14.8961,20100730,14.7133
6,20100730,01333,3.2187,20100831,3.0258
7,20100730,01387,14.7133,20100831,14.1650
8,20100831,00546,3.3052,20100930,3.8344
9,20100831,00178,1.7522,20100930,2.0346
10,20100831,01333,3.0258,20100930,3.1057
11,20100831,01387,14.1650,20100930,13.4339
12,20100831,00410,2.0387,20100930,2.3331
13,20100930,01333,3.1057,20101029,3.1988
14,20100930,00410,2.3331,20101029,2.7198
15,20100930,01387,13.4339,20101029,13.9823
16,20101029,00410,2.7198,20101130,2.4904
17,20101029,01333,3.1988,20101130,2.8197
18,20101029,01387,13.9823,20101130,13.3425
19,20101130,01333,2.8197,20101231,2.9128
20,20101130,00410,2.4904,20101231,2.5499
21,20101130,01387,13.3425,20101231,12.3373
22,20101231,01333,2.9128,20110131,2.5138
23,20101231,00410,2.5499,20110131,2.5923
24,20101231,01999,2.0141,20110131,2.0475
25,20101231,01387,12.3373,20110131,11.7890
26,20101231,01382,2.1837,20110131,2.1449
27,20101231,01200,4.4835,20110131,4.4764
28,20110131,01338,2.2200,20110228,2.1200
29,20110131,00410,2.5923,20110228,2.3544
30,20110131,01333,2.5138,20110228,2.1281
31,20110131,01999,2.0475,20110228,1.8803
32,20110131,01387,11.7890,20110228,10.6923
33,20110131,01382,2.1449,20110228,1.8773
34,20110131,01200,4.4764,20110228,4.4194
35,20110228,01368,2.6423,20110331,3.0798
36,20110228,01338,2.1200,20110331,2.2900
37,20110228,00410,2.3544,20110331,2.8558
38,20110228,01999,1.8803,20110331,1.8635
39,20110228,01333,2.1281,20110331,2.4938
40,20110228,01387,10.6923,20110331,12.7942
41,20110228,01200,4.4194,20110331,4.3053
42,20110228,01382,1.8773,20110331,1.9162
43,20110331,01888,3.3205,20110429,3.6402
44,20110331,00522,77.6446,20110429,85.6138
45,20110331,01387,12.7942,20110429,12.5201
46,20110331,03888,4.1265,20110429,4.3924
47,20110331,01999,1.8635,20110429,1.6561
48,20110331,01200,4.3053,20110429,4.2768
49,20110331,01382,1.9162,20110429,2.1190
50,20110429,00177,5.3743,20110531,5.2153
51,20110429,00293,14.1130,20110531,13.8482
52,20110429,01999,1.6561,20110531,1.4520
53,20110429,01382,2.1190,20110531,2.2010
54,20110531,01888,3.4517,20110630,3.2998
55,20110531,00177,5.2153,20110630,4.5793
56,20110531,00293,13.8482,20110630,13.6384
57,20110531,01999,1.4520,20110630,1.3449
58,20110531,01382,2.2010,20110630,2.2355
59,20110630,02678,3.6852,20110729,2.3726
60,20110630,01888,3.2998,20110729,2.5665
61,20110630,00177,4.5793,20110729,4.7574
62,20110630,00293,13.6384,20110729,13.8482
63,20110630,01382,2.2355,20110729,2.3391
64,20110729,02331,8.2962,20110831,8.1998
65,20110729,00658,5.3281,20110831,3.8616
66,20110729,00522,70.9372,20110831,67.3577
67,20110729,00177,4.7574,20110831,4.4203
68,20110729,00293,13.8482,20110831,11.6900
