开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,576,3.682,20100226,3.8011
20100129,330,44.9511,20100226,46.2114
20100129,303,38.1223,20100226,38.8339
20100129,11,66.8132,20100226,70.5695
20100129,62,12.4095,20100226,12.578
20100129,321,3.0914,20100226,3.2177
20100129,3998,0.893,20100226,0.9576
20100129,127,2.8486,20100226,2.9137
20100226,11,70.5695,20100331,67.6551
20100226,303,38.8339,20100331,43.307
20100226,62,12.578,20100331,15.4417
20100226,321,3.2177,20100331,3.8272
20100226,3998,0.9576,20100331,1.0046
20100226,127,2.9137,20100331,3.0254
20100331,127,3.0254,20100430,3.0673
20100331,321,3.8272,20100430,3.6095
20100331,410,1.7704,20100430,1.7704
20100331,303,43.307,20100430,44.6285
20100331,34,4.9731,20100430,4.7893
20100331,902,2.7324,20100430,2.6613
20100331,8,1.2629,20100430,1.2792
20100331,659,5.692,20100430,5.2568
20100331,3998,1.0046,20100430,1.3336
20100331,62,15.4417,20100430,15.4698
20100430,410,1.7704,20100531,1.7238
20100430,1387,16.3184,20100531,14.4289
20100531,410,1.7238,20100630,1.8066
20100531,1387,14.4289,20100630,14.8961
20100630,1333,3.2919,20100730,3.2187
20100630,1387,14.8961,20100730,14.7133
20100730,1333,3.2187,20100831,3.0258
20100730,1387,14.7133,20100831,14.165
20100831,546,3.3052,20100930,3.8344
20100831,178,1.7522,20100930,2.0346
20100831,1333,3.0258,20100930,3.1057
20100831,1387,14.165,20100930,13.4339
20100831,410,2.0387,20100930,2.3331
20100930,1333,3.1057,20101029,3.1988
20100930,410,2.3331,20101029,2.7198
20100930,1387,13.4339,20101029,13.9823
20101029,410,2.7198,20101130,2.4904
20101029,1333,3.1988,20101130,2.8197
20101029,1387,13.9823,20101130,13.3425
20101130,1333,2.8197,20101231,2.9128
20101130,410,2.4904,20101231,2.5499
20101130,1387,13.3425,20101231,12.3373
20101231,1333,2.9128,20110131,2.5138
20101231,410,2.5499,20110131,2.5923
20101231,1999,2.0141,20110131,2.0475
20101231,1387,12.3373,20110131,11.789
20101231,1382,2.1837,20110131,2.1449
20101231,1200,4.4835,20110131,4.4764
20110131,1338,2.22,20110228,2.12
20110131,410,2.5923,20110228,2.3544
20110131,1333,2.5138,20110228,2.1281
20110131,1999,2.0475,20110228,1.8803
20110131,1387,11.789,20110228,10.6923
20110131,1382,2.1449,20110228,1.8773
20110131,1200,4.4764,20110228,4.4194
20110228,1368,2.6423,20110331,3.0798
20110228,1338,2.12,20110331,2.29
20110228,410,2.3544,20110331,2.8558
20110228,1999,1.8803,20110331,1.8635
20110228,1333,2.1281,20110331,2.4938
20110228,1387,10.6923,20110331,12.7942
20110228,1200,4.4194,20110331,4.3053
20110228,1382,1.8773,20110331,1.9162
20110331,1888,3.3205,20110429,3.6402
20110331,522,77.6446,20110429,85.6138
20110331,1387,12.7942,20110429,12.5201
20110331,3888,4.1265,20110429,4.3924
20110331,1999,1.8635,20110429,1.6561
20110331,1200,4.3053,20110429,4.2768
20110331,1382,1.9162,20110429,2.119
20110429,177,5.3743,20110531,5.2153
20110429,293,14.113,20110531,13.8482
20110429,1999,1.6561,20110531,1.452
20110429,1382,2.119,20110531,2.201
20110531,1888,3.4517,20110630,3.2998
20110531,177,5.2153,20110630,4.5793
20110531,293,13.8482,20110630,13.6384
20110531,1999,1.452,20110630,1.3449
20110531,1382,2.201,20110630,2.2355
20110630,2678,3.6852,20110729,2.3726
20110630,1888,3.2998,20110729,2.5665
20110630,177,4.5793,20110729,4.7574
20110630,293,13.6384,20110729,13.8482
20110630,1382,2.2355,20110729,2.3391
20110729,2331,8.2962,20110831,8.1998
20110729,658,5.3281,20110831,3.8616
20110729,522,70.9372,20110831,67.3577
20110729,177,4.7574,20110831,4.4203
20110729,293,13.8482,20110831,11.69
20110729,2208,3.6288,20110831,2.4487
20110729,1888,2.5665,20110831,2.4617
20110729,2678,2.3726,20110831,1.7549
20110729,3998,1.3853,20110831,1.2789
20110831,1888,2.4617,20110930,1.7242
20110831,522,67.3577,20110930,64.0314
20110831,1361,2.8299,20110930,2.3798
20110831,293,11.69,20110930,10.16
20110831,19,64.6492,20110930,53.3882
20110831,177,4.4203,20110930,3.727
20110831,658,3.8616,20110930,3.393
20110831,2208,2.4487,20110930,2.2599
20110831,2678,1.7549,20110930,1.2886
20110831,3998,1.2789,20110930,1.0952
20110930,177,3.727,20111031,4.592
20110930,1361,2.3798,20111031,2.7094
20110930,293,10.16,20111031,11.0244
20110930,19,53.3882,20111031,59.6653
20110930,1368,1.999,20111031,1.9498
20110930,1888,1.7242,20111031,2.3828
20110930,658,3.393,20111031,4.3302
20110930,2208,2.2599,20111031,2.9208
20110930,3998,1.0952,20111031,1.4297
20110930,2678,1.2886,20111031,1.7231
20111031,1888,2.3828,20111130,1.8848
20111031,658,4.3302,20111130,3.4451
20111031,293,11.0244,20111130,9.8871
20111031,2020,5.6311,20111130,5.826
20111031,1361,2.7094,20111130,2.152
20111031,19,59.6653,20111130,59.2447
20111031,2208,2.9208,20111130,2.6316
20111031,1368,1.9498,20111130,1.4393
