,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20180629,00386,5.9314,20180731,6.3291
1,20180629,00914,40.2801,20180731,46.1399
2,20180629,02382,134.9159,20180731,130.6905
3,20180629,00656,13.2701,20180731,13.2143
4,20180629,00066,40.5293,20180731,40.5762
5,20180629,00175,18.8060,20180731,16.6932
6,20180629,02313,91.5034,20180731,94.4925
7,20180629,01928,37.6554,20180731,37.5170
8,20180629,02020,39.7499,20180731,39.5553
9,20180629,06808,9.8032,20180731,9.6482
10,20180629,00322,16.4599,20180731,16.3139
11,20180629,01044,70.8507,20180731,63.3879
12,20180629,00241,7.2000,20180731,8.1400
13,20180629,01177,7.3372,20180731,7.2324
14,20180629,00939,5.9882,20180731,6.3308
15,20180629,00388,219.6597,20180731,225.3405
16,20180629,01299,66.1799,20180731,66.7596
17,20180629,00700,377.7951,20180731,358.9053
18,20180629,02018,98.5117,20180731,96.1090
19,20180629,00522,91.6124,20180731,86.9613
20,20180629,00728,3.3831,20180731,3.3831
21,20180629,03888,21.9403,20180731,19.7760
22,20180629,00003,12.5712,20180731,13.3828
23,20180629,00016,108.8996,20180731,114.2163
24,20180731,00386,6.3291,20180831,6.5745
25,20180731,00914,46.1399,20180831,44.2943
26,20180731,02382,130.6905,20180831,97.2809
27,20180731,00656,13.2143,20180831,13.3444
28,20180731,00066,40.5762,20180831,38.2795
29,20180731,00175,16.6932,20180831,16.0841
30,20180731,02313,94.4925,20180831,98.5422
31,20180731,01928,37.5170,20180831,35.1635
32,20180731,02020,39.5553,20180831,41.3567
33,20180731,06808,9.6482,20180831,8.7376
34,20180731,00322,16.3139,20180831,12.9197
35,20180731,01044,63.3879,20180831,63.7104
36,20180731,00241,8.1400,20180831,8.0000
37,20180731,01177,7.2324,20180831,6.3873
38,20180731,00939,6.3308,20180831,6.1874
39,20180731,00388,225.3405,20180831,217.3043
40,20180731,01299,66.7596,20180831,65.4070
41,20180731,00700,358.9053,20180831,337.6295
42,20180731,02018,96.1090,20180831,79.0016
43,20180731,00522,86.9613,20180831,78.5903
44,20180731,00728,3.3831,20180831,3.4016
45,20180731,00772,69.4000,20180831,54.0000
46,20180731,00003,13.3828,20180831,13.1343
47,20180731,00016,114.2163,20180831,108.1663
48,20180831,00386,6.5745,20180928,6.7567
49,20180831,00914,44.2943,20180928,44.5250
50,20180831,02382,97.2809,20180928,89.3707
51,20180831,00656,13.3444,20180928,12.9542
52,20180831,00066,38.2795,20180928,39.1301
53,20180831,00175,16.0841,20180928,15.0182
54,20180831,02313,98.5422,20180928,98.3362
55,20180831,01928,35.1635,20180928,32.9024
56,20180831,02020,41.3567,20180928,37.1225
57,20180831,06808,8.7376,20180928,9.6869
58,20180831,00288,5.5112,20180928,5.1494
59,20180831,01044,63.7104,20180928,66.8062
60,20180831,00241,8.0000,20180928,7.5700
61,20180831,01177,6.3873,20180928,4.9639
62,20180831,00939,6.1874,20180928,6.1425
63,20180831,00388,217.3043,20180928,219.0366
64,20180831,01299,65.4070,20180928,67.9484
65,20180831,00700,337.6295,20180928,325.6991
66,20180831,02018,79.0016,20180928,79.6734
67,20180831,00522,78.5903,20180928,76.8756
68,20180831,00728,3.4016,20180928,3.4937
69,20180831,00772,54.0000,20180928,49.9500
70,20180831,00003,13.1343,20180928,13.0521
71,20180831,03333,23.1635,20180928,21.8171
72,20180928,00386,6.7567,20181031,5.7432
73,20180928,00914,44.5250,20181031,35.8507
74,20180928,02382,89.3707,20181031,65.9840
75,20180928,00656,12.9542,20181031,10.6124
76,20180928,00066,39.1301,20181031,35.7275
77,20180928,00175,15.0182,20181031,13.4193
78,20180928,02313,98.3362,20181031,82.6763
79,20180928,01928,32.9024,20181031,28.3339
80,20180928,02020,37.1225,20181031,30.9683
81,20180928,06808,9.6869,20181031,8.6214
82,20180928,00151,6.0274,20181031,5.1858
83,20180928,01044,66.8062,20181031,57.3428
84,20180928,00241,7.5700,20181031,6.2600
85,20180928,01093,13.8824,20181031,12.9893
86,20180928,00939,6.1425,20181031,5.5507
87,20180928,00388,219.0366,20181031,198.0568
88,20180928,01299,67.9484,20181031,56.7369
89,20180928,00700,325.6991,20181031,255.7076
90,20180928,02018,79.6734,20181031,56.6889
91,20180928,00522,76.8756,20181031,61.9196
92,20180928,00728,3.4937,20181031,3.3278
93,20180928,00772,49.9500,20181031,41.4000
94,20180928,00003,13.0521,20181031,12.5013
95,20180928,00001,83.1324,20181031,71.9132
96,20181031,00386,5.7432,20181130,5.7432
97,20181031,00914,35.8507,20181130,37.7886
98,20181031,02382,65.9840,20181130,75.6138
99,20181031,00656,10.6124,20181130,11.3558
100,20181031,00066,35.7275,20181130,37.9487
101,20181031,00175,13.4193,20181130,14.6375
102,20181031,02313,82.6763,20181130,93.9106
103,20181031,01928,28.3339,20181130,31.4257
104,20181031,02020,30.9683,20181130,35.3501
105,20181031,06808,8.6214,20181130,8.7182
106,20181031,00288,5.1494,20181130,5.3628
107,20181031,01044,57.3428,20181130,60.1069
108,20181031,00241,6.2600,20181130,7.0600
109,20181031,01093,12.9893,20181130,12.9244
110,20181031,00939,5.5507,20181130,5.9363
111,20181031,00388,198.0568,20181130,220.1915
112,20181031,01299,56.7369,20181130,62.8522
113,20181031,00700,255.7076,20181130,310.9850
114,20181031,02018,56.6889,20181130,53.3088
115,20181031,00522,61.9196,20181130,76.6374
116,20181031,00728,3.3278,20181130,3.8625
117,20181031,00772,41.4000,20181130,41.5000
118,20181031,00003,12.5013,20181130,13.1189
119,20181031,00001,71.9132,20181130,74.7180
120,20181130,00386,5.7432,20181231,4.7903
121,20181130,00914,37.7886,20181231,35.3432
122,20181130,02382,75.6138,20181231,68.6371
123,20181130,00656,11.3558,20181231,10.3893
124,20181130,00066,37.9487,20181231,38.9411
125,20181130,00175,14.6375,20181231,13.1338
126,20181130,02313,93.9106,20181231,87.9287
127,20181130,01928,31.4257,20181231,31.2411
128,20181130,02020,35.3501,20181231,37.3687
129,20181130,06808,8.7182,20181231,7.7980
130,20181130,00288,5.3628,20181231,5.5669
131,20181130,01044,60.1069,20181231,53.8760
132,20181130,00241,7.0600,20181231,6.5700
133,20181130,01093,12.9244,20181231,9.2874
134,20181130,00939,5.9363,20181231,5.7480
135,20181130,00388,220.1915,20181231,218.4592
136,20181130,01299,62.8522,20181231,62.7552
137,20181130,00700,310.9850,20181231,308.2530
138,20181130,02018,53.3088,20181231,43.6514
139,20181130,00522,76.6374,20181231,70.8265
