,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00857,6.0461,20100226,6.0044
1,20100129,02689,8.2619,20100226,8.3983
2,20100129,01800,5.0068,20100226,5.0835
3,20100129,00656,3.9030,20100226,4.4284
4,20100129,00066,16.8597,20100226,18.1747
5,20100129,01211,53.8060,20100226,58.3263
6,20100129,00493,2.4017,20100226,2.1722
7,20100129,00069,11.7300,20100226,11.2222
8,20100129,00330,44.9511,20100226,46.2114
9,20100129,00322,14.0321,20100226,13.9524
10,20100129,01044,38.0513,20100226,37.2975
11,20100129,00005,49.5426,20100226,51.2099
12,20100129,00388,99.6765,20100226,98.6178
13,20100129,02628,27.3273,20100226,28.4659
14,20100129,00700,28.2830,20100226,30.0118
15,20100129,02038,6.6652,20100226,6.8748
16,20100129,00522,50.2561,20100226,54.2690
17,20100129,00728,2.3803,20100226,2.4770
18,20100129,00511,19.3992,20100226,19.2915
19,20100129,00002,35.0521,20100226,36.1611
20,20100129,00016,70.5719,20100226,76.9234
