,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00440,23.1242,20100226,23.6308
1,20100129,02356,7.0470,20100226,6.8166
2,20100129,00005,49.5426,20100226,51.2099
3,20100226,00440,23.6308,20100331,24.5545
4,20100226,02356,6.8166,20100331,7.3180
5,20100226,00005,51.2099,20100331,47.4911
6,20100331,00440,24.5545,20100430,26.2233
7,20100331,02356,7.3180,20100430,7.0335
8,20100331,00005,47.4911,20100430,48.0922
9,20100430,00440,26.2233,20100531,24.5843
10,20100430,02356,7.0335,20100531,6.7624
11,20100430,00005,48.0922,20100531,42.9591
12,20100531,00440,24.5843,20100630,26.7001
13,20100531,02356,6.7624,20100630,6.6337
14,20100531,00005,42.9591,20100630,44.1414
15,20100630,00626,2.4890,20100730,2.7187
16,20100630,00440,26.7001,20100730,28.1602
17,20100630,02356,6.6337,20100730,7.4536
18,20100730,00626,2.7187,20100831,2.6158
19,20100730,00440,28.1602,20100831,28.7860
20,20100730,02356,7.4536,20100831,7.9279
21,20100831,00626,2.6158,20100930,2.9064
22,20100831,00440,28.7860,20100930,36.0488
23,20100831,02356,7.9279,20100930,9.8927
24,20100930,00626,2.9064,20101029,3.1002
25,20100930,00440,36.0488,20101029,33.2666
26,20100930,00005,48.6441,20101029,49.7747
27,20101029,00440,33.2666,20101130,33.6440
28,20101029,00626,3.1002,20101130,3.3908
29,20101029,02356,9.4566,20101130,9.7523
30,20101130,00440,33.6440,20101231,32.1771
31,20101130,00626,3.3908,20101231,3.3484
32,20101130,00005,48.9544,20101231,48.9236
33,20101231,00440,32.1771,20110131,34.2994
34,20101231,00005,48.9236,20110131,52.1257
35,20101231,02356,9.5544,20110131,9.6957
36,20110131,00440,34.2994,20110228,31.2408
37,20110131,00005,52.1257,20110228,54.6196
38,20110131,00998,3.0465,20110228,2.9620
39,20110228,00440,31.2408,20110331,29.8052
40,20110228,02356,9.0738,20110331,8.4944
41,20110228,00998,2.9620,20110331,3.4085
42,20110331,00440,29.8052,20110429,30.3670
43,20110331,00005,51.0799,20110429,52.6995
44,20110331,02356,8.4944,20110429,8.6357
45,20110429,00440,30.3670,20110531,27.9535
46,20110429,02356,8.6357,20110531,8.3766
47,20110429,00005,52.6995,20110531,50.8946
48,20110531,00440,27.9535,20110630,25.4412
49,20110531,02356,8.3766,20110630,7.6582
50,20110531,00005,50.8946,20110630,48.2556
51,20110630,00440,25.4412,20110729,24.1055
52,20110630,02356,7.6582,20110729,7.4714
53,20110630,00005,48.2556,20110729,48.3813
54,20110729,00440,24.1055,20110831,19.6533
55,20110729,02356,7.4714,20110831,6.3004
56,20110729,00005,48.3813,20110831,42.2060
57,20110831,00440,19.6533,20110930,14.1612
58,20110831,02356,6.3004,20110930,4.9527
59,20110831,00005,42.2060,20110930,39.5403
60,20110930,00440,14.1612,20111031,16.0878
61,20110930,02356,4.9527,20111031,5.8011
62,20110930,03618,1.5061,20111031,2.2253
