,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,00893,1.0941,20120928,1.1430
1,20120831,00659,8.0111,20120928,7.8173
2,20120831,02238,3.0835,20120928,2.7287
3,20120831,01999,0.5682,20120928,0.7694
4,20120831,01368,1.8398,20120928,1.8234
5,20120831,02020,3.5880,20120928,4.2618
6,20120831,00590,14.1026,20120928,17.0321
7,20120831,00238,1.0996,20120928,1.0583
8,20120831,02010,1.8710,20120928,2.0351
9,20120831,00082,0.5838,20120928,0.5838
10,20120831,00019,68.6137,20120928,71.4721
11,20120928,00893,1.1430,20121031,1.4067
12,20120928,01685,2.2868,20121031,2.3990
13,20120928,02238,2.7287,20121031,2.9053
14,20120928,01368,1.8234,20121031,2.2692
15,20120928,02020,4.2618,20121031,5.0217
16,20120928,00238,1.0583,20121031,1.0721
17,20120928,02010,2.0351,20121031,2.3283
18,20120928,00082,0.5838,20121031,0.6346
19,20120928,00019,71.4721,20121031,69.5078
20,20121031,00893,1.4067,20121130,1.6314
21,20121031,01685,2.3990,20121130,2.8304
22,20121031,02238,2.9053,20121130,3.5553
23,20121031,01368,2.2692,20121130,2.0666
24,20121031,02020,5.0217,20121130,4.3558
25,20121031,00590,13.4485,20121130,15.6695
26,20121031,00238,1.0721,20121130,1.0652
27,20121031,02010,2.3283,20121130,2.3714
28,20121031,00082,0.6346,20121130,0.6008
29,20121031,00019,69.5078,20121130,72.1521
30,20121130,00893,1.6314,20121231,1.7877
31,20121130,01685,2.8304,20121231,3.2446
32,20121130,02238,3.5553,20121231,3.8053
33,20121130,01368,2.0666,20121231,2.2016
34,20121130,02020,4.3558,20121231,5.2880
35,20121130,00590,15.6695,20121231,16.7470
36,20121130,00238,1.0652,20121231,1.0099
37,20121130,02010,2.3714,20121231,2.4146
38,20121130,00082,0.6008,20121231,0.6177
39,20121130,00019,72.1521,20121231,72.2654
40,20121231,00893,1.7877,20130131,1.7389
41,20121231,02238,3.8053,20130131,3.6108
42,20121231,01368,2.2016,20130131,2.2354
43,20121231,02020,5.2880,20130131,5.7267
44,20121231,00590,16.7470,20130131,19.4805
45,20121231,02010,2.4146,20130131,2.3283
46,20121231,00019,72.2654,20130131,75.5519
47,20130131,00893,1.7389,20130228,1.7389
48,20130131,02238,3.6108,20130228,3.6608
49,20130131,01368,2.2354,20130228,2.0395
50,20130131,02020,5.7267,20130228,5.7659
51,20130131,00590,19.4805,20130228,17.4044
52,20130131,02010,2.3283,20130228,1.9920
53,20130131,00019,75.5519,20130228,74.9853
54,20130228,00893,1.7389,20130328,1.7291
55,20130228,02238,3.6608,20130328,3.4886
56,20130228,01368,2.0395,20130328,2.0260
57,20130228,02020,5.7659,20130328,5.3115
58,20130228,00590,17.4044,20130328,17.4736
59,20130228,02010,1.9920,20130328,1.7506
60,20130228,00083,9.9536,20130328,9.3346
61,20130228,00019,74.9853,20130328,74.0409
62,20130328,01308,1.8403,20130430,1.7093
63,20130328,02020,5.3115,20130430,5.1618
64,20130328,00891,3.3988,20130430,2.7051
65,20130328,00590,17.4736,20130430,15.5706
66,20130328,02010,1.7506,20130430,1.7678
67,20130328,02877,10.0199,20130430,9.8738
68,20130328,00083,9.3346,20130430,9.3346
69,20130328,00019,74.0409,20130430,76.7857
70,20130430,00067,64.4647,20130531,64.8461
71,20130430,01308,1.7093,20130531,1.9537
72,20130430,02020,5.1618,20130531,5.8049
73,20130430,00590,15.5706,20130531,13.9443
74,20130430,01115,2.5878,20130531,2.6247
75,20130430,00886,1.1800,20130531,1.1533
76,20130430,00073,3.2945,20130531,3.2260
77,20130430,02010,1.7678,20130531,2.1817
78,20130430,00460,1.5737,20130531,1.7420
79,20130430,00083,9.3346,20130531,8.4532
80,20130531,00067,64.8461,20130628,54.1656
81,20130531,01308,1.9537,20130628,1.7909
82,20130531,02020,5.8049,20130628,5.5688
83,20130531,00590,13.9443,20130628,13.2869
84,20130531,01115,2.6247,20130628,2.7397
85,20130531,00886,1.1533,20130628,0.9333
86,20130531,00073,3.2260,20130628,2.7372
87,20130531,02010,2.1817,20130628,1.9229
88,20130531,00460,1.7420,20130628,1.8806
89,20130531,00806,3.4906,20130628,3.1255
90,20130531,00083,8.4532,20130628,7.6585
91,20130628,01308,1.7909,20130731,1.6737
92,20130628,02020,5.5688,20130731,7.2460
93,20130628,00590,13.2869,20130731,15.4322
94,20130628,01115,2.7397,20130731,2.7397
95,20130628,00886,0.9333,20130731,1.0267
96,20130628,00073,2.7372,20130731,2.5026
97,20130628,02010,1.9229,20130731,1.8704
98,20130628,00460,1.8806,20130731,2.0961
99,20130628,00806,3.1255,20130731,3.2776
100,20130628,00511,33.7859,20130731,33.8497
101,20130628,00083,7.6585,20130731,8.0197
102,20130731,00336,2.2207,20130830,2.2040
103,20130731,00555,0.4562,20130830,0.5200
104,20130731,00590,15.4322,20130830,18.2151
105,20130731,01115,2.7397,20130830,2.8248
106,20130731,00073,2.5026,20130830,2.8057
107,20130731,00806,3.2776,20130830,3.3765
108,20130731,00511,33.8497,20130830,32.7001
109,20130731,00083,8.0197,20130830,7.5140
110,20130830,00336,2.2040,20130930,2.1770
111,20130830,00210,4.8586,20130930,5.0335
112,20130830,00555,0.5200,20130930,0.5474
113,20130830,01115,2.8248,20130930,2.7775
114,20130830,00073,2.8057,20130930,2.6102
115,20130830,00511,32.7001,20130930,31.5982
116,20130930,01088,13.8903,20131031,13.8903
117,20130930,00336,2.1770,20131031,2.2646
118,20130930,00210,5.0335,20131031,4.0386
119,20130930,00555,0.5474,20131031,0.6266
120,20130930,00590,17.3679,20131031,19.1329
121,20130930,01115,2.7775,20131031,2.8531
122,20130930,00073,2.6102,20131031,2.8546
123,20130930,00460,1.9701,20131031,2.1464
124,20130930,00511,31.5982,20131031,29.6274
125,20131031,01088,13.8903,20131129,15.6008
126,20131031,00336,2.2646,20131129,2.7768
127,20131031,00210,4.0386,20131129,3.5166
128,20131031,00555,0.6266,20131129,0.7949
129,20131031,01115,2.8531,20131129,2.7397
130,20131031,00511,29.6274,20131129,31.9213
131,20131129,01088,15.6008,20131231,14.5686
132,20131129,00336,2.7768,20131231,2.8914
133,20131129,00210,3.5166,20131231,3.4476
134,20131129,00555,0.7949,20131231,0.9632
135,20131129,00590,20.4743,20131231,21.2968
136,20131129,01115,2.7397,20131231,2.8815
