,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00087,9.4824,20100226,9.9156
1,20100129,01038,19.3923,20100226,19.8982
2,20100129,00006,21.0957,20100226,21.3410
3,20100129,00127,2.8429,20100226,2.9080
4,20100129,00101,18.5314,20100226,20.8857
5,20100129,00083,7.4791,20100226,8.5441
6,20100129,00014,13.4945,20100226,14.3405
7,20100226,00087,9.9156,20100331,10.3849
8,20100226,01038,19.8982,20100331,19.9993
9,20100226,00006,21.3410,20100331,22.4939
10,20100226,00127,2.9080,20100331,3.0195
11,20100226,00101,20.8857,20100331,22.1472
12,20100226,00083,8.5441,20100331,8.9842
13,20100226,00041,13.6952,20100331,13.7592
14,20100226,00014,14.3405,20100331,15.4754
15,20100331,01888,3.2872,20100430,4.1220
16,20100331,00006,22.4939,20100430,23.1541
17,20100331,00127,3.0195,20100430,3.0613
18,20100331,00014,15.4754,20100430,16.0256
19,20100430,01836,8.9938,20100531,9.0419
20,20100430,01888,4.1220,20100531,3.3866
21,20100430,00006,23.1541,20100531,23.4324
22,20100430,00019,52.1202,20100531,52.0311
23,20100531,00062,13.7788,20100630,13.7483
24,20100531,01836,9.0419,20100630,8.7502
25,20100531,01888,3.3866,20100630,3.2316
26,20100531,00006,23.4324,20100630,23.2806
27,20100531,00019,52.0311,20100630,52.8131
28,20100630,00525,2.0105,20100730,2.0551
29,20100630,01836,8.7502,20100730,8.6685
30,20100630,00904,314.2981,20100730,321.4593
31,20100630,01888,3.2316,20100730,3.7618
32,20100630,00006,23.2806,20100730,23.7108
33,20100630,01038,19.4903,20100730,20.1504
34,20100630,00034,3.8683,20100730,4.2546
35,20100630,00019,52.8131,20100730,55.9410
36,20100730,00525,2.0551,20100831,2.0180
37,20100730,03818,2.2089,20100831,2.0290
38,20100730,01836,8.6685,20100831,8.3885
39,20100730,00904,321.4593,20100831,282.4705
40,20100730,01888,3.7618,20100831,3.7918
41,20100730,00006,23.7108,20100831,24.1029
42,20100730,01038,20.1504,20100831,20.9626
43,20100730,00019,55.9410,20100831,56.4523
44,20100831,00525,2.0180,20100930,2.1515
45,20100831,03818,2.0290,20100930,2.3560
46,20100831,01836,8.3885,20100930,9.0369
47,20100831,00045,11.0287,20100930,11.6738
48,20100831,01888,3.7918,20100930,4.0561
49,20100831,00006,24.1029,20100930,24.0516
50,20100831,01038,20.9626,20100930,21.9809
51,20100831,00019,56.4523,20100930,65.5908
52,20100831,00014,17.0724,20100930,19.7289
53,20100930,00525,2.1515,20101029,2.3667
54,20100930,03818,2.3560,20101029,2.2385
55,20100930,00045,11.6738,20101029,11.5549
56,20100930,01888,4.0561,20101029,3.7802
57,20100930,00006,24.0516,20101029,24.8721
58,20100930,01038,21.9809,20101029,22.6832
59,20100930,00019,65.5908,20101029,67.2913
60,20100930,00014,19.7289,20101029,20.9686
61,20101029,02300,2.1287,20101130,2.0370
62,20101029,00525,2.3667,20101130,2.3370
63,20101029,03818,2.2385,20101130,1.8041
64,20101029,00045,11.5549,20101130,11.2150
65,20101029,00073,7.6563,20101130,8.4122
66,20101029,01888,3.7802,20101130,3.8313
67,20101029,00006,24.8721,20101130,25.6413
68,20101029,01387,13.9823,20101130,13.3425
69,20101029,00480,2.5308,20101130,2.5435
70,20101029,00019,67.2913,20101130,70.9960
71,20101130,02300,2.0370,20101231,2.1728
72,20101130,00525,2.3370,20101231,2.2702
73,20101130,03818,1.8041,20101231,1.7529
74,20101130,00073,8.4122,20101231,8.5893
75,20101130,01888,3.8313,20101231,4.0612
76,20101130,00006,25.6413,20101231,25.2054
77,20101130,01038,24.1579,20101231,25.0358
78,20101130,01387,13.3425,20101231,12.3373
79,20101130,00480,2.5435,20101231,2.7027
80,20101130,00019,70.9960,20101231,77.7372
81,20101231,01080,1.3929,20110131,1.4311
82,20101231,02300,2.1728,20110131,2.0268
83,20101231,00525,2.2702,20110131,2.3667
84,20101231,03818,1.7529,20110131,1.7683
85,20101231,01382,2.1837,20110131,2.1449
86,20101231,01888,4.0612,20110131,3.9846
87,20101231,00006,25.2054,20110131,25.3080
88,20101231,01387,12.3373,20110131,11.7890
89,20101231,00480,2.7027,20110131,3.1682
90,20101231,00019,77.7372,20110131,75.0043
91,20110131,01080,1.4311,20110228,1.4311
92,20110131,02300,2.0268,20110228,1.9385
93,20110131,00525,2.3667,20110228,2.1663
94,20110131,03818,1.7683,20110228,1.5025
95,20110131,01382,2.1449,20110228,1.8773
96,20110131,01338,2.2200,20110228,2.1200
97,20110131,01888,3.9846,20110228,3.4226
98,20110131,00006,25.3080,20110228,26.1798
99,20110131,01387,11.7890,20110228,10.6923
100,20110131,00480,3.1682,20110228,2.9807
101,20110131,00019,75.0043,20110228,64.6798
102,20110228,01080,1.4311,20110331,1.3070
103,20110228,02300,1.9385,20110331,2.0642
104,20110228,00525,2.1663,20110331,2.1886
105,20110228,03818,1.5025,20110331,1.2777
106,20110228,01382,1.8773,20110331,1.9162
107,20110228,01338,2.1200,20110331,2.2900
108,20110228,01888,3.4226,20110331,3.3205
109,20110228,00006,26.1798,20110331,26.5131
110,20110228,01387,10.6923,20110331,12.7942
111,20110228,00480,2.9807,20110331,2.8449
112,20110228,00041,16.9452,20110331,16.9780
113,20110228,00019,64.6798,20110331,70.4494
114,20110331,02300,2.0642,20110429,1.9046
115,20110331,00893,3.1409,20110429,3.3805
116,20110331,03818,1.2777,20110429,1.3492
117,20110331,01382,1.9162,20110429,2.1190
118,20110331,00682,4.8300,20110429,4.8100
119,20110331,00006,26.5131,20110429,27.8721
120,20110331,01387,12.7942,20110429,12.5201
121,20110331,00480,2.8449,20110429,2.9225
122,20110331,00034,5.4204,20110429,5.2562
123,20110331,00019,70.4494,20110429,71.2996
124,20110429,02300,1.9046,20110531,1.7552
125,20110429,00893,3.3805,20110531,2.6634
126,20110429,03818,1.3492,20110531,1.3240
127,20110429,01382,2.1190,20110531,2.2010
128,20110429,01368,3.1548,20110531,3.5059
129,20110429,00555,0.6961,20110531,0.6789
130,20110429,00682,4.8100,20110531,3.9000
131,20110429,03888,4.3924,20110531,3.7069
132,20110429,01038,26.8968,20110531,26.1682
133,20110429,00480,2.9225,20110531,3.0971
134,20110531,02300,1.7552,20110630,1.9072
135,20110531,00893,2.6634,20110630,2.7472
136,20110531,03818,1.3240,20110630,1.3080
137,20110531,01382,2.2010,20110630,2.2355
138,20110531,00555,0.6789,20110630,0.6408
139,20110531,00682,3.9000,20110630,3.3500
140,20110531,01338,1.7100,20110630,1.4900
141,20110531,03888,3.7069,20110630,3.9304
142,20110531,01038,26.1682,20110630,29.5250
143,20110531,00480,3.0971,20110630,2.9290
144,20110630,02300,1.9072,20110729,1.6298
145,20110630,00893,2.7472,20110729,2.6448
146,20110630,03818,1.3080,20110729,0.9663
147,20110630,01382,2.2355,20110729,2.3391
148,20110630,01361,2.9409,20110729,2.5710
149,20110630,00682,3.3500,20110729,3.1800
150,20110630,01338,1.4900,20110729,1.2800
151,20110630,03888,3.9304,20110729,4.8711
152,20110630,01038,29.5250,20110729,32.4125
153,20110630,00480,2.9290,20110729,2.8772
154,20110729,02300,1.6298,20110831,1.6124
155,20110729,00893,2.6448,20110831,2.0488
156,20110729,01368,2.6190,20110831,2.5218
157,20110729,03818,0.9663,20110831,0.8809
158,20110729,01999,1.2586,20110831,1.0218
159,20110729,01382,2.3391,20110831,2.1123
160,20110729,01361,2.5710,20110831,2.8299
161,20110729,00682,3.1800,20110831,2.5200
162,20110729,01338,1.2800,20110831,0.9000
163,20110729,03888,4.8711,20110831,3.7255
164,20110729,01038,32.4125,20110831,34.5504
165,20110729,00480,2.8772,20110831,2.4117
166,20110831,02300,1.6124,20110930,1.6037
167,20110831,00893,2.0488,20110930,1.2572
168,20110831,01368,2.5218,20110930,1.9990
169,20110831,03998,1.2789,20110930,1.0952
170,20110831,03818,0.8809,20110930,0.7347
171,20110831,01999,1.0218,20110930,0.5399
172,20110831,01382,2.1123,20110930,1.7939
173,20110831,01361,2.8299,20110930,2.3798
174,20110831,00904,108.9885,20110930,68.4453
175,20110831,00682,2.5200,20110930,0.0000
176,20110831,01038,34.5504,20110930,32.4410
177,20110831,00480,2.4117,20110930,1.8475
178,20110930,00893,1.2572,20111031,1.5832
179,20110930,01368,1.9990,20111031,1.9498
180,20110930,03998,1.0952,20111031,1.4297
181,20110930,03818,0.7347,20111031,0.8163
