,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,03393,1.8532,20120928,1.8402
1,20120831,01685,2.1142,20120928,2.2868
2,20120831,01157,6.0524,20120928,6.1803
3,20120831,02238,3.0835,20120928,2.7287
4,20120831,01368,1.8398,20120928,1.8234
5,20120831,01234,3.1122,20120928,2.1909
6,20120831,01146,1.0531,20120928,1.0240
7,20120831,00590,14.1026,20120928,17.0321
8,20120831,01112,17.4253,20120928,18.3282
9,20120831,00073,3.3305,20120928,3.6081
10,20120831,02010,1.8710,20120928,2.0351
11,20120831,00082,0.5838,20120928,0.5838
12,20120831,00006,34.5315,20120928,35.8906
13,20120831,00173,2.3098,20120928,2.7000
14,20120928,00746,2.3908,20121031,2.6830
15,20120928,00067,51.4954,20121031,59.8873
16,20120928,03393,1.8402,20121031,1.8598
17,20120928,01685,2.2868,20121031,2.3990
18,20120928,01157,6.1803,20121031,7.5016
19,20120928,02238,2.7287,20121031,2.9053
20,20120928,00425,6.5942,20121031,6.4254
21,20120928,01368,1.8234,20121031,2.2692
22,20120928,01234,2.1909,20121031,2.4156
23,20120928,01146,1.0240,20121031,0.9587
24,20120928,00590,17.0321,20121031,13.4485
25,20120928,01112,18.3282,20121031,17.9490
26,20120928,00073,3.6081,20121031,3.9781
27,20120928,02010,2.0351,20121031,2.3283
28,20120928,00082,0.5838,20121031,0.6346
29,20120928,00006,35.8906,20121031,36.5008
30,20120928,00173,2.7000,20121031,2.4805
31,20121031,00746,2.6830,20121130,2.8159
32,20121031,00067,59.8873,20121130,60.2687
33,20121031,03393,1.8598,20121130,2.2709
34,20121031,01685,2.3990,20121130,2.8304
35,20121031,01157,7.5016,20121130,6.9120
36,20121031,02238,2.9053,20121130,3.5553
37,20121031,00425,6.4254,20121130,6.6264
38,20121031,01368,2.2692,20121130,2.0666
39,20121031,01234,2.4156,20121130,2.3595
40,20121031,01146,0.9587,20121130,1.0095
41,20121031,00590,13.4485,20121130,15.6695
42,20121031,00116,12.4206,20121130,14.0836
43,20121031,01112,17.9490,20121130,21.4431
44,20121031,00886,2.1667,20121130,1.6200
45,20121031,02010,2.3283,20121130,2.3714
46,20121031,00082,0.6346,20121130,0.6008
47,20121031,00006,36.5008,20121130,37.8876
48,20121031,00173,2.4805,20121130,2.8097
49,20121130,01685,2.8304,20121231,3.2446
50,20121130,01157,6.9120,20121231,8.0841
51,20121130,02238,3.5553,20121231,3.8053
52,20121130,00425,6.6264,20121231,7.2135
53,20121130,01368,2.0666,20121231,2.2016
54,20121130,01234,2.3595,20121231,2.5842
55,20121130,01146,1.0095,20121231,1.1112
56,20121130,00590,15.6695,20121231,16.7470
57,20121130,00116,14.0836,20121231,13.6042
58,20121130,00886,1.6200,20121231,1.6600
59,20121130,00829,2.1370,20121231,2.1974
60,20121130,02010,2.3714,20121231,2.4146
61,20121130,00082,0.6008,20121231,0.6177
62,20121130,00006,37.8876,20121231,36.5008
63,20121130,00173,2.8097,20121231,2.7219
64,20121231,00746,2.8889,20130131,3.3206
65,20121231,00067,63.7018,20130131,72.4751
66,20121231,03393,2.3818,20130131,2.7276
67,20121231,01157,8.0841,20130131,7.3737
68,20121231,02238,3.8053,20130131,3.6108
69,20121231,00425,7.2135,20130131,8.3152
70,20121231,03998,1.6750,20130131,1.6025
71,20121231,01368,2.2016,20130131,2.2354
72,20121231,01234,2.5842,20130131,2.9212
73,20121231,00590,16.7470,20130131,19.4805
74,20121231,00116,13.6042,20130131,15.7692
75,20121231,01112,21.9397,20130131,28.8917
76,20121231,00829,2.1974,20130131,2.2963
77,20121231,02010,2.4146,20130131,2.3283
78,20121231,00173,2.7219,20130131,3.3658
79,20130131,00746,3.3206,20130228,3.2874
80,20130131,01157,7.3737,20130228,7.2459
81,20130131,02238,3.6108,20130228,3.6608
82,20130131,00425,8.3152,20130228,8.3634
83,20130131,03998,1.6025,20130228,1.7403
84,20130131,01368,2.2354,20130228,2.0395
85,20130131,01234,2.9212,20130228,2.5729
86,20130131,00590,19.4805,20130228,17.4044
87,20130131,01112,28.8917,20130228,30.1106
88,20130131,00829,2.2963,20130228,2.1425
89,20130131,02010,2.3283,20130228,1.9920
90,20130131,00511,34.5877,20130228,36.6839
91,20130131,00173,3.3658,20130228,3.1683
92,20130228,00746,3.2874,20130328,2.9620
93,20130228,01157,7.2459,20130328,6.5710
94,20130228,02238,3.6608,20130328,3.4886
95,20130228,00425,8.3634,20130328,9.0550
96,20130228,03998,1.7403,20130328,1.7910
97,20130228,01368,2.0395,20130328,2.0260
98,20130228,01234,2.5729,20130328,2.7527
