,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,02020,6.6733,20100226,7.5676
1,20100129,00006,21.0957,20100226,21.3410
2,20100129,01387,14.8583,20100226,15.3737
3,20100129,00001,44.5884,20100226,45.8170
4,20100226,02020,7.5676,20100331,8.8446
5,20100226,00006,21.3410,20100331,22.4939
6,20100226,00001,45.8170,20100331,48.6595
7,20100331,02899,2.7713,20100430,2.8351
8,20100331,00148,19.4701,20100430,22.7279
9,20100331,00425,9.6131,20100430,8.2398
10,20100331,02020,8.8446,20100430,9.5103
11,20100331,00006,22.4939,20100430,23.1541
12,20100430,01333,4.3185,20100531,3.8106
13,20100430,00242,3.0542,20100531,2.8178
14,20100430,00825,5.0469,20100531,4.7576
15,20100430,00220,3.6186,20100531,3.5227
16,20100430,01888,4.1220,20100531,3.3866
17,20100430,00127,3.0613,20100531,3.0034
18,20100531,01333,3.8106,20100630,3.2919
19,20100531,00242,2.8178,20100630,2.7674
20,20100531,00825,4.7576,20100630,5.1915
21,20100531,00220,3.5227,20100630,3.6719
22,20100531,01888,3.3866,20100630,3.2316
23,20100531,00127,3.0034,20100630,3.1893
24,20100630,01333,3.2919,20100730,3.2187
25,20100630,00148,17.8904,20100730,18.9174
26,20100630,00242,2.7674,20100730,2.9941
27,20100630,00555,0.6244,20100730,0.5389
28,20100630,02020,9.6597,20100730,9.4559
29,20100630,00116,9.3369,20100730,10.7897
30,20100630,00220,3.6719,20100730,3.6305
31,20100630,00127,3.1893,20100730,3.3474
32,20100630,00004,9.9141,20100730,11.0230
33,20100730,01333,3.2187,20100831,3.0258
34,20100730,00148,18.9174,20100831,19.8633
35,20100730,00242,2.9941,20100831,3.1932
36,20100730,00555,0.5389,20100831,0.5645
37,20100730,02020,9.4559,20100831,10.8290
38,20100730,00178,1.8731,20100831,1.7522
39,20100730,00116,10.7897,20100831,10.2255
40,20100730,00220,3.6305,20100831,3.8045
41,20100730,02877,13.9708,20100831,13.5310
42,20100730,01888,3.7618,20100831,3.7918
43,20100730,00127,3.3474,20100831,3.1382
44,20100730,00004,11.0230,20100831,10.7621
45,20100831,01333,3.0258,20100930,3.1057
46,20100831,00148,19.8633,20100930,21.2836
47,20100831,00242,3.1932,20100930,3.3718
48,20100831,00555,0.5645,20100930,0.6158
49,20100831,02020,10.8290,20100930,11.9711
50,20100831,00178,1.7522,20100930,2.0346
51,20100831,01888,3.7918,20100930,4.0561
52,20100831,00522,49.0262,20100930,55.5394
53,20100831,01387,14.1650,20100930,13.4339
54,20100930,01333,3.1057,20101029,3.1988
55,20100930,00148,21.2836,20101029,20.3249
56,20100930,00555,0.6158,20101029,0.6274
57,20100930,00178,2.0346,20101029,2.3136
58,20100930,01888,4.0561,20101029,3.7802
59,20100930,00522,55.5394,20101029,55.5789
60,20101029,01333,3.1988,20101130,2.8197
61,20101029,00148,20.3249,20101130,22.4615
62,20101029,00555,0.6274,20101130,0.7477
63,20101029,02020,11.0079,20101130,10.0447
64,20101029,01888,3.7802,20101130,3.8313
65,20101029,00522,55.5789,20101130,55.6578
66,20101130,01333,2.8197,20101231,2.9128
67,20101130,00148,22.4615,20101231,25.1459
68,20101130,00555,0.7477,20101231,0.6789
69,20101130,02020,10.0447,20101231,8.4898
70,20101130,01888,3.8313,20101231,4.0612
71,20101130,00522,55.6578,20101231,78.7104
72,20101231,01080,1.3929,20110131,1.4311
73,20101231,01333,2.9128,20110131,2.5138
74,20101231,00659,6.9149,20110131,7.6274
75,20101231,00148,25.1459,20110131,24.4337
76,20101231,01382,2.1837,20110131,2.1449
77,20101231,00555,0.6789,20110131,0.6961
78,20101231,02020,8.4898,20110131,8.5862
79,20101231,00220,3.4150,20110131,3.6802
80,20101231,00082,1.8141,20110131,1.9415
81,20101231,01888,4.0612,20110131,3.9846
82,20101231,00522,78.7104,20110131,74.9604
83,20101231,01200,4.4835,20110131,4.4764
84,20110131,01080,1.4311,20110228,1.4311
85,20110131,01333,2.5138,20110228,2.1281
86,20110131,00659,7.6274,20110228,7.1369
87,20110131,00148,24.4337,20110228,21.3658
88,20110131,01382,2.1449,20110228,1.8773
89,20110131,00555,0.6961,20110228,0.7391
90,20110131,02020,8.5862,20110228,8.2559
91,20110131,00220,3.6802,20110228,3.1746
92,20110131,00082,1.9415,20110228,1.8441
93,20110131,01888,3.9846,20110228,3.4226
94,20110131,00522,74.9604,20110228,83.2893
95,20110131,01200,4.4764,20110228,4.4194
96,20110228,01080,1.4311,20110331,1.3070
97,20110228,01333,2.1281,20110331,2.4938
98,20110228,00659,7.1369,20110331,7.0522
99,20110228,00148,21.3658,20110331,23.3654
100,20110228,00242,2.9185,20110331,2.9735
101,20110228,01382,1.8773,20110331,1.9162
102,20110228,00555,0.7391,20110331,0.7133
103,20110228,02020,8.2559,20110331,8.3935
104,20110228,00220,3.1746,20110331,3.2326
105,20110228,00082,1.8441,20110331,1.8966
106,20110228,01888,3.4226,20110331,3.3205
107,20110228,00522,83.2893,20110331,77.6446
108,20110228,01200,4.4194,20110331,4.3053
109,20110228,00041,16.9452,20110331,16.9780
110,20110331,00659,7.0522,20110429,7.0161
111,20110331,00148,23.3654,20110429,23.7425
112,20110331,01382,1.9162,20110429,2.1190
113,20110331,00555,0.7133,20110429,0.6961
114,20110331,02020,8.3935,20110429,8.6117
115,20110331,01888,3.3205,20110429,3.6402
116,20110331,00522,77.6446,20110429,85.6138
117,20110331,00053,69.0217,20110429,67.7514
118,20110429,02300,1.9046,20110531,1.7552
119,20110429,00893,3.3805,20110531,2.6634
120,20110429,01882,9.0861,20110531,8.2328
121,20110429,00148,23.7425,20110531,21.0211
122,20110429,01382,2.1190,20110531,2.2010
123,20110429,00555,0.6961,20110531,0.6789
124,20110429,00116,15.0266,20110531,17.6723
125,20110429,02010,4.4438,20110531,4.4187
126,20110429,01888,3.6402,20110531,3.4517
127,20110429,00303,48.3394,20110531,50.0893
128,20110429,00053,67.7514,20110531,69.0217
129,20110429,00017,30.5407,20110531,29.1056
130,20110531,02300,1.7552,20110630,1.9072
131,20110531,00893,2.6634,20110630,2.7472
132,20110531,01882,8.2328,20110630,7.9957
133,20110531,00148,21.0211,20110630,19.9104
134,20110531,01382,2.2010,20110630,2.2355
135,20110531,00555,0.6789,20110630,0.6408
136,20110531,00116,17.6723,20110630,17.9963
137,20110531,02010,4.4187,20110630,4.2514
138,20110531,01888,3.4517,20110630,3.2998
139,20110531,00303,50.0893,20110630,51.3470
140,20110531,00053,69.0217,20110630,66.7281
