,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,00857,7.2288,20120928,7.9583
1,20120831,00358,13.7137,20120928,15.8729
2,20120831,00659,8.0111,20120928,7.8173
3,20120831,00242,2.2722,20120928,2.3838
4,20120831,00066,20.2383,20120928,21.2882
5,20120831,02238,3.0835,20120928,2.7287
6,20120831,03998,1.4630,20120928,1.5337
7,20120831,00069,13.2258,20120928,13.6433
8,20120831,02020,3.5880,20120928,4.2618
9,20120831,00073,3.3305,20120928,3.6081
10,20120831,01338,0.5900,20120928,0.6000
11,20120831,00853,3.1209,20120928,3.7256
12,20120831,00460,1.1419,20120928,1.0357
13,20120831,00005,45.0305,20120928,48.5610
14,20120831,01051,0.2998,20120928,0.2660
15,20120831,01299,23.7573,20120928,25.9985
16,20120831,00082,0.5838,20120928,0.5838
17,20120831,02038,2.0708,20120928,2.1547
18,20120831,00728,3.4231,20120928,3.5581
19,20120831,01038,35.2086,20120928,34.6814
20,20120831,00016,74.4925,20120928,85.3489
21,20120928,00857,7.9583,20121031,8.3193
22,20120928,00358,15.8729,20121031,16.4828
23,20120928,00659,7.8173,20121031,7.7786
24,20120928,00242,2.3838,20121031,2.4635
25,20120928,00066,21.2882,20121031,21.7226
26,20120928,02238,2.7287,20121031,2.9053
27,20120928,02313,11.0405,20121031,12.3853
28,20120928,00069,13.6433,20121031,13.9908
29,20120928,02020,4.2618,20121031,5.0217
30,20120928,00073,3.6081,20121031,3.9781
31,20120928,00853,3.7256,20121031,3.7451
32,20120928,00460,1.0357,20121031,1.0833
33,20120928,00005,48.5610,20121031,51.2933
34,20120928,01051,0.2660,20121031,0.3040
35,20120928,01299,25.9985,20121031,27.5674
36,20120928,00082,0.5838,20121031,0.6346
37,20120928,02038,2.1547,20121031,2.2301
38,20120928,00728,3.5581,20121031,3.6375
39,20120928,01038,34.6814,20121031,34.4179
40,20120928,00016,85.3489,20121031,80.8411
41,20121031,00857,8.3193,20121130,8.0054
42,20121031,00358,16.4828,20121130,16.1201
43,20121031,00659,7.7786,20121130,8.2157
44,20121031,00242,2.4635,20121130,2.9818
45,20121031,00066,21.7226,20121130,22.3743
46,20121031,02238,2.9053,20121130,3.5553
47,20121031,01368,2.2692,20121130,2.0666
48,20121031,00069,13.9908,20121130,13.7165
49,20121031,00330,9.5644,20121130,11.8575
50,20121031,00073,3.9781,20121130,3.4838
51,20121031,02010,2.3283,20121130,2.3714
52,20121031,00460,1.0833,20121130,1.1455
53,20121031,00005,51.2933,20121130,52.4361
54,20121031,01051,0.3040,20121130,0.3040
55,20121031,00082,0.6346,20121130,0.6008
56,20121031,02038,2.2301,20121130,3.3368
57,20121031,00728,3.6375,20121130,3.3357
58,20121031,01038,34.4179,20121130,35.4346
59,20121031,00016,80.8411,20121130,87.8868
60,20121130,00857,8.0054,20121231,8.6333
61,20121130,00358,16.1201,20121231,16.7300
62,20121130,00659,8.2157,20121231,8.6245
63,20121130,00242,2.9818,20121231,3.3166
64,20121130,00066,22.3743,20121231,22.0485
65,20121130,02238,3.5553,20121231,3.8053
66,20121130,01368,2.0666,20121231,2.2016
67,20121130,00069,13.7165,20121231,14.0822
68,20121130,00330,11.8575,20121231,10.6715
69,20121130,00073,3.4838,20121231,3.6089
70,20121130,02010,2.3714,20121231,2.4146
71,20121130,00460,1.1455,20121231,1.2370
72,20121130,00005,52.4361,20121231,54.6882
73,20121130,01051,0.3040,20121231,0.2998
74,20121130,00082,0.6008,20121231,0.6177
75,20121130,02038,3.3368,20121231,3.0601
76,20121130,00728,3.3357,20121231,3.3993
77,20121130,01038,35.4346,20121231,35.8111
78,20121130,00016,87.8868,20121231,89.0382
79,20121231,00857,8.6333,20130131,8.6647
80,20121231,00358,16.7300,20130131,16.9772
81,20121231,00659,8.6245,20130131,9.0465
82,20121231,00242,3.3166,20130131,3.3485
83,20121231,00066,22.0485,20130131,23.1346
84,20121231,02238,3.8053,20130131,3.6108
85,20121231,01368,2.2016,20130131,2.2354
86,20121231,00069,14.0822,20130131,16.8072
87,20121231,00330,10.6715,20130131,10.7112
88,20121231,01068,5.6000,20130131,5.8000
89,20121231,02010,2.4146,20130131,2.3283
90,20121231,00005,54.6882,20130131,59.3940
91,20121231,01051,0.2998,20130131,0.3589
92,20121231,00082,0.6177,20130131,0.5838
93,20121231,02038,3.0601,20130131,2.6661
94,20121231,00728,3.3993,20130131,3.3675
95,20121231,01038,35.8111,20130131,36.6772
96,20121231,00016,89.0382,20130131,99.2468
97,20130131,00857,8.6647,20130228,8.3978
98,20130131,00358,16.9772,20130228,15.3290
99,20130131,00659,9.0465,20130228,9.7058
100,20130131,00242,3.3485,20130228,3.3644
101,20130131,00066,23.1346,20130228,22.8812
102,20130131,02238,3.6108,20130228,3.6608
103,20130131,01368,2.2354,20130228,2.0395
104,20130131,00069,16.8072,20130228,16.5329
105,20130131,00330,10.7112,20130228,10.1955
106,20130131,01068,5.8000,20130228,5.4600
107,20130131,02010,2.3283,20130228,1.9920
108,20130131,00005,59.3940,20130228,57.4780
109,20130131,01051,0.3589,20130228,0.3716
110,20130131,00082,0.5838,20130228,0.5585
111,20130131,02038,2.6661,20130228,2.6996
112,20130131,00728,3.3675,20130228,3.1530
113,20130131,01038,36.6772,20130228,38.8613
114,20130131,00016,99.2468,20130228,91.9549
115,20130228,00857,8.3978,20130328,7.9583
116,20130228,00358,15.3290,20130328,13.9444
117,20130228,00659,9.7058,20130328,9.3303
118,20130228,00242,3.3644,20130328,3.3565
119,20130228,00066,22.8812,20130328,22.5915
120,20130228,02238,3.6608,20130328,3.4886
121,20130228,01368,2.0395,20130328,2.0260
122,20130228,00069,16.5329,20130328,14.2285
123,20130228,00330,10.1955,20130328,9.2136
124,20130228,01068,5.4600,20130328,5.3000
125,20130228,02010,1.9920,20130328,1.7506
126,20130228,00005,57.4780,20130328,56.0406
127,20130228,01051,0.3716,20130328,0.3420
128,20130228,00082,0.5585,20130328,0.4823
129,20130228,02038,2.6996,20130328,2.4649
130,20130228,00728,3.1530,20130328,3.1213
131,20130228,01038,38.8613,20130328,40.2922
132,20130228,00016,91.9549,20130328,81.4358
133,20130328,00857,7.9583,20130430,7.7621
134,20130328,00358,13.9444,20130430,12.3621
135,20130328,00659,9.3303,20130430,9.1553
136,20130328,00242,3.3565,20130430,3.2847
137,20130328,00066,22.5915,20130430,23.0260
138,20130328,02238,3.4886,20130430,3.4831
139,20130328,03818,0.6603,20130430,0.7213
140,20130328,00069,14.2285,20130430,13.8994
141,20130328,00330,9.2136,20130430,10.5327
142,20130328,01068,5.3000,20130430,4.6000
143,20130328,02010,1.7506,20130430,1.7678
144,20130328,00939,4.1030,20130430,4.1606
145,20130328,01051,0.3420,20130430,0.3125
146,20130328,01299,30.5259,20130430,30.8845
147,20130328,00082,0.4823,20130430,0.4823
148,20130328,02038,2.4649,20130430,2.4481
149,20130328,00728,3.1213,20130430,3.1133
150,20130328,00002,51.7131,20130430,52.0173
151,20130328,00016,81.4358,20130430,87.3190
152,20130430,00857,7.7621,20130531,7.3724
153,20130430,00336,2.2467,20130531,2.2923
154,20130430,00659,9.1553,20130531,9.1014
155,20130430,00242,3.2847,20130531,3.3166
156,20130430,00066,23.0260,20130531,23.1673
157,20130430,00425,11.0655,20130531,11.1776
158,20130430,03818,0.7213,20130531,0.8284
159,20130430,00069,13.8994,20130531,13.1312
160,20130430,00330,10.5327,20130531,11.8418
161,20130430,01068,4.6000,20130531,5.3500
162,20130430,02010,1.7678,20130531,2.1817
163,20130430,03328,3.8830,20130531,3.7264
164,20130430,00142,8.2747,20130531,7.9984
165,20130430,01299,30.8845,20130531,31.5984
166,20130430,00082,0.4823,20130531,0.5162
167,20130430,02038,2.4481,20130531,3.3368
168,20130430,00728,3.1133,20130531,2.9942
169,20130430,00002,52.0173,20130531,51.2113
170,20130430,00016,87.3190,20130531,80.5068
171,20130531,00857,7.3724,20130628,6.4618
172,20130531,00336,2.2923,20130628,2.1881
173,20130531,00659,9.1014,20130628,7.6743
174,20130531,00242,3.3166,20130628,2.9897
175,20130531,00066,23.1673,20130628,20.6259
176,20130531,02238,4.6663,20130628,3.9997
177,20130531,03818,0.8284,20130628,0.7053
178,20130531,00069,13.1312,20130628,12.2488
179,20130531,00330,11.8418,20130628,11.3856
180,20130531,01068,5.3500,20130628,4.6900
181,20130531,02010,2.1817,20130628,1.9229
182,20130531,03328,3.7264,20130628,3.2473
183,20130531,00142,7.9984,20130628,6.6694
184,20130531,01299,31.5984,20130628,29.7928
185,20130531,00082,0.5162,20130628,0.4569
186,20130531,02038,3.3368,20130628,3.5380
187,20130531,00728,2.9942,20130628,3.0545
188,20130531,00002,51.2113,20130628,48.2981
189,20130531,00016,80.5068,20130628,76.6363
190,20130628,00857,6.4618,20130731,7.2605
191,20130628,00914,16.9826,20130731,18.9469
192,20130628,00659,7.6743,20130731,7.9301
193,20130628,00242,2.9897,20130731,2.6802
194,20130628,00066,20.6259,20130731,21.3257
195,20130628,02238,3.9997,20130731,4.0926
196,20130628,02222,0.4173,20130731,0.3638
197,20130628,00069,12.2488,20130731,11.0516
198,20130628,00330,11.3856,20130731,12.4964
199,20130628,01068,4.6900,20130731,5.5700
200,20130628,03331,7.2653,20130731,7.1270
201,20130628,02010,1.9229,20130731,1.8704
202,20130628,03328,3.2473,20130731,3.3735
203,20130628,00142,6.6694,20130731,7.1130
204,20130628,01299,29.7928,20130731,33.0429
205,20130628,00082,0.4569,20130731,0.5415
206,20130628,02038,3.5380,20130731,3.4374
207,20130628,00728,3.0545,20130731,3.0707
208,20130628,00002,48.2981,20130731,49.4864
209,20130628,00016,76.6363,20130731,80.2746
210,20130731,00857,7.2605,20130830,6.6695
211,20130731,00914,18.9469,20130830,20.7474
212,20130731,00659,7.9301,20130830,7.7820
213,20130731,00242,2.6802,20130830,3.2830
214,20130731,00066,21.3257,20130830,21.0679
215,20130731,02238,4.0926,20130830,4.3045
216,20130731,00210,5.5110,20130830,4.8586
217,20130731,00069,11.0516,20130830,11.0331
218,20130731,00330,12.4964,20130830,13.3493
219,20130731,01068,5.5700,20130830,5.1300
220,20130731,03331,7.1270,20130830,7.3390
221,20130731,03328,3.3735,20130830,3.3536
222,20130731,00142,7.1130,20130830,6.3764
223,20130731,02601,20.3919,20130830,20.7490
224,20130731,02038,3.4374,20130830,4.1752
225,20130731,00728,3.0707,20130830,3.2170
226,20130731,01038,40.7539,20130830,40.4454
227,20130731,00016,80.2746,20130830,76.9847
228,20130830,00857,6.6695,20130930,7.0823
229,20130830,00358,12.9724,20130930,13.1786
230,20130830,00659,7.7820,20130930,8.2128
231,20130830,00242,3.2830,20130930,3.4704
232,20130830,00066,21.0679,20130930,22.7656
233,20130830,02238,4.3045,20130930,4.6739
234,20130830,01368,2.6979,20130930,2.6676
235,20130830,00069,11.0331,20130930,11.9560
236,20130830,00330,13.3493,20130930,11.9013
237,20130830,01068,5.1300,20130930,5.0100
238,20130830,03331,7.3390,20130930,10.0865
239,20130830,02877,8.5642,20130930,8.2961
240,20130830,03328,3.3536,20130930,3.8118
241,20130830,00142,6.3764,20130930,6.7489
242,20130830,01299,31.0442,20130930,33.2649
243,20130830,02038,4.1752,20130930,3.9824
244,20130830,00728,3.2170,20130930,3.1601
245,20130830,01038,40.4454,20130930,41.7287
246,20130830,00016,76.9847,20130930,83.1388
247,20130930,00857,7.0823,20131031,7.2131
248,20130930,00358,13.1786,20131031,12.5944
249,20130930,00659,8.2128,20131031,8.0512
250,20130930,00242,3.4704,20131031,3.6903
251,20130930,00066,22.7656,20131031,22.2828
252,20130930,02238,4.6739,20131031,5.3151
253,20130930,01368,2.6676,20131031,2.7038
254,20130930,00069,11.9560,20131031,12.9755
255,20130930,00330,11.9013,20131031,13.7658
256,20130930,01068,5.0100,20131031,5.1400
257,20130930,02877,8.2961,20131031,8.9782
258,20130930,03328,3.8118,20131031,3.7919
259,20130930,00142,6.7489,20131031,7.0368
260,20130930,02328,5.3945,20131031,5.9068
261,20130930,02038,3.9824,20131031,3.5464
262,20130930,00728,3.1601,20131031,3.2576
263,20130930,01038,41.7287,20131031,42.3121
264,20130930,00016,83.1388,20131031,78.9586
265,20131031,00857,7.2131,20131129,7.5239
266,20131031,00358,12.5944,20131129,12.9380
267,20131031,00659,8.0512,20131129,8.0601
268,20131031,00242,3.6903,20131129,3.6659
269,20131031,00066,22.2828,20131129,22.3942
270,20131031,02238,5.3151,20131129,5.7257
271,20131031,01368,2.7038,20131129,2.9785
272,20131031,00069,12.9755,20131129,13.7725
273,20131031,00330,13.7658,20131129,16.0668
274,20131031,01068,5.1400,20131129,5.0700
275,20131031,02877,8.9782,20131129,8.4359
276,20131031,03328,3.7919,20131129,3.8583
277,20131031,00142,7.0368,20131129,7.1728
278,20131031,02601,21.8598,20131129,25.7874
279,20131031,02038,3.5464,20131129,3.2110
280,20131031,00728,3.2576,20131129,3.3632
281,20131031,01038,42.3121,20131129,39.6676
282,20131031,00001,66.1618,20131129,66.9739
283,20131129,00857,7.5239,20131231,6.9514
284,20131129,00358,12.9380,20131231,11.9930
285,20131129,00659,8.0601,20131231,8.0188
286,20131129,00242,3.6659,20131231,3.7229
287,20131129,00066,22.3942,20131231,21.9857
288,20131129,02238,5.7257,20131231,4.8089
289,20131129,01368,2.9785,20131231,2.8628
290,20131129,00069,13.7725,20131231,13.9023
291,20131129,00330,16.0668,20131231,14.8370
292,20131129,01068,5.0700,20131231,4.9900
293,20131129,02877,8.4359,20131231,7.9087
294,20131129,03328,3.8583,20131231,3.5794
295,20131129,00142,7.1728,20131231,7.1088
296,20131129,02038,3.2110,20131231,3.4793
297,20131129,00728,3.3632,20131231,3.1926
298,20131129,01038,39.6676,20131231,38.1120
299,20131129,00001,66.9739,20131231,66.5408
300,20131231,00857,6.9514,20140130,6.1745
301,20131231,00358,11.9930,20140130,11.9243
302,20131231,00659,8.0188,20140130,7.7162
303,20131231,00242,3.7229,20140130,3.6007
304,20131231,00066,21.9857,20140130,20.2773
305,20131231,02238,4.8089,20140130,4.3196
306,20131231,01368,2.8628,20140130,2.8267
307,20131231,00069,13.9023,20140130,12.1413
308,20131231,00330,14.8370,20140130,14.6783
309,20131231,01068,4.9900,20140130,4.5200
310,20131231,02877,7.9087,20140130,8.6619
311,20131231,03328,3.5794,20140130,3.3337
312,20131231,00142,7.1088,20140130,6.0613
313,20131231,02038,3.4793,20140130,3.0937
314,20131231,00728,3.1926,20140130,2.9245
315,20131231,01038,38.1120,20140130,35.0786
316,20131231,00001,66.5408,20140130,61.6680
317,20140130,00857,6.1745,20140228,6.7551
318,20140130,00358,11.9243,20140228,11.6150
319,20140130,00659,7.7162,20140228,7.9638
