,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00276,146.0000,20100226,140.0000
1,20100129,00358,12.2234,20100226,12.3470
2,20100129,00148,18.2933,20100226,17.9189
3,20100129,00242,2.9886,20100226,2.6930
4,20100129,01138,10.2473,20100226,11.1865
5,20100129,03998,0.8706,20100226,0.9336
6,20100129,00200,2.9386,20100226,2.9951
7,20100129,00682,7.3605,20100226,8.4626
8,20100129,03988,1.8934,20100226,1.9240
9,20100129,00087,9.4824,20100226,9.9156
10,20100129,00728,2.3803,20100226,2.4770
11,20100129,00006,21.0957,20100226,21.3410
12,20100129,00016,70.5719,20100226,76.9234
13,20100226,00276,140.0000,20100331,146.8000
14,20100226,00358,12.3470,20100331,13.4442
15,20100226,00148,17.9189,20100331,19.4701
16,20100226,00242,2.6930,20100331,3.2841
17,20100226,01138,11.1865,20100331,10.8678
18,20100226,03998,0.9336,20100331,0.9794
19,20100226,00200,2.9951,20100331,3.3718
20,20100226,00682,8.4626,20100331,8.3642
21,20100226,03988,1.9240,20100331,2.1180
22,20100226,00087,9.9156,20100331,10.3849
23,20100226,00728,2.4770,20100331,2.8936
24,20100226,00006,21.3410,20100331,22.4939
25,20100226,00016,76.9234,20100331,85.3079
26,20100331,00276,146.8000,20100430,0.0000
27,20100331,00347,9.3444,20100430,7.9376
28,20100331,00659,5.6920,20100430,5.2568
29,20100331,00242,3.2841,20100430,3.0542
30,20100331,00066,20.1214,20100430,18.7549
31,20100331,03998,0.9794,20100430,1.3001
32,20100331,00200,3.3718,20100430,3.2023
33,20100331,00682,8.3642,20100430,8.8562
34,20100331,00998,3.3857,20100430,2.9905
35,20100331,00087,10.3849,20100430,10.0961
36,20100331,00728,2.8936,20100430,2.6766
37,20100331,01038,19.9993,20100430,20.4978
38,20100331,00016,85.3079,20100430,78.0567
39,20100430,00857,6.2685,20100531,6.0017
40,20100430,00358,12.7952,20100531,12.3436
41,20100430,00148,22.7279,20100531,19.5660
42,20100430,00242,3.0542,20100531,2.8178
43,20100430,00066,18.7549,20100531,18.2425
44,20100430,00200,3.2023,20100531,2.9009
45,20100430,00682,8.8562,20100531,7.4293
46,20100430,03988,2.0567,20100531,2.0623
47,20100430,00087,10.0961,20100531,9.7774
48,20100430,00728,2.6766,20100531,2.7222
49,20100430,00006,23.1541,20100531,23.4324
50,20100430,00016,78.0567,20100531,74.0046
51,20100531,00857,6.0017,20100630,6.0371
52,20100531,01333,3.8106,20100630,3.2919
53,20100531,00148,19.5660,20100630,17.8904
54,20100531,00242,2.8178,20100630,2.7674
55,20100531,00066,18.2425,20100630,18.1400
56,20100531,00200,2.9009,20100630,2.9574
57,20100531,00682,7.4293,20100630,7.3801
58,20100531,03988,2.0623,20100630,2.1101
59,20100531,00087,9.7774,20100630,10.2724
60,20100531,00728,2.7222,20100630,2.7679
61,20100531,00006,23.4324,20100630,23.2806
62,20100531,00016,74.0046,20100630,75.4264
63,20100630,00857,6.0371,20100730,6.2423
64,20100630,01333,3.2919,20100730,3.2187
65,20100630,00148,17.8904,20100730,18.9174
