,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00010,26.3309,20100226,28.9249
1,20100129,00101,18.5314,20100226,20.8857
2,20100129,00386,2.6445,20100226,2.5881
3,20100129,01038,19.3923,20100226,19.8982
4,20100129,00551,12.8622,20100226,12.9164
5,20100129,03988,1.8934,20100226,1.9240
6,20100129,00857,6.0461,20100226,6.0044
7,20100129,00998,2.9846,20100226,3.0613
8,20100226,00010,28.9249,20100331,31.3826
9,20100226,00101,20.8857,20100331,22.1472
10,20100226,00386,2.5881,20100331,2.7745
11,20100226,00551,12.9164,20100331,0.0000
12,20100226,01038,19.8982,20100331,19.9993
13,20100226,03988,1.9240,20100331,2.1180
14,20100226,00857,6.0044,20100331,6.3241
15,20100226,00998,3.0613,20100331,3.3857
16,20100331,00010,31.3826,20100430,29.8324
17,20100331,00101,22.1472,20100430,20.1147
18,20100331,00053,54.9572,20100430,55.0256
19,20100331,00656,4.6160,20100430,4.5635
20,20100331,03988,2.1180,20100430,2.0567
21,20100331,01038,19.9993,20100430,20.4978
22,20100331,00857,6.3241,20100430,6.2685
23,20100430,00087,10.0961,20100531,9.7774
24,20100430,00127,3.0613,20100531,3.0034
25,20100430,00019,52.1202,20100531,52.0311
26,20100430,00010,29.8324,20100531,28.0175
27,20100430,00101,20.1147,20100531,19.1335
28,20100430,00053,55.0256,20100531,54.3079
29,20100430,00012,19.1716,20100531,17.7557
30,20100430,03988,2.0567,20100531,2.0623
31,20100430,00813,7.1757,20100531,6.9282
32,20100430,00998,2.9905,20100531,2.7992
33,20100531,00087,9.7774,20100630,10.2724
34,20100531,00127,3.0034,20100630,3.1893
35,20100531,00019,52.0311,20100630,52.8131
36,20100531,00010,28.0175,20100630,31.6473
37,20100531,00101,19.1335,20100630,21.0609
38,20100531,00053,54.3079,20100630,51.2661
39,20100531,00012,17.7557,20100630,17.6409
40,20100531,03988,2.0623,20100630,2.1101
41,20100531,00813,6.9282,20100630,7.3619
42,20100531,00998,2.7992,20100630,2.9319
43,20100630,00754,7.9716,20100730,8.8020
44,20100630,00127,3.1893,20100730,3.3474
45,20100630,00019,52.8131,20100730,55.9410
46,20100630,00010,31.6473,20100730,33.9537
47,20100630,01333,3.2919,20100730,3.2187
48,20100630,00053,51.2661,20100730,52.1547
49,20100630,00101,21.0609,20100730,22.6028
50,20100630,00410,1.8066,20100730,2.0221
51,20100630,00845,2.2000,20100730,2.5200
52,20100630,00012,17.6409,20100730,18.8654
53,20100730,00127,3.3474,20100831,3.1382
54,20100730,00754,8.8020,20100831,7.7225
55,20100730,00019,55.9410,20100831,56.4523
56,20100730,00010,33.9537,20100831,34.2562
57,20100730,01333,3.2187,20100831,3.0258
58,20100730,00101,22.6028,20100831,24.4601
59,20100730,00053,52.1547,20100831,53.0433
60,20100730,00410,2.0221,20100831,2.0387
61,20100730,00845,2.5200,20100831,2.0800
62,20100730,00012,18.8654,20100831,17.8705
63,20100831,00019,56.4523,20100930,65.5908
64,20100831,00410,2.0387,20100930,2.3331
65,20100831,00682,5.9828,20100930,6.5437
66,20100831,00010,34.2562,20100930,38.1507
67,20100831,01333,3.0258,20100930,3.1057
68,20100831,00012,17.8705,20100930,21.0422
69,20100831,00053,53.0433,20100930,57.4522
70,20100831,00101,24.4601,20100930,26.5627
71,20100831,00845,2.0800,20100930,2.1600
72,20100831,00014,17.0724,20100930,19.7289
73,20100930,00019,65.5908,20101029,67.2913
74,20100930,00410,2.3331,20101029,2.7198
75,20100930,00682,6.5437,20101029,6.1993
76,20100930,01333,3.1057,20101029,3.1988
77,20100930,00012,21.0422,20101029,21.5427
78,20100930,00845,2.1600,20101029,2.5600
79,20100930,00045,11.6738,20101029,11.5549
80,20100930,00014,19.7289,20101029,20.9686
81,20100930,00813,7.9207,20101029,7.7867
82,20100930,00998,3.0163,20101029,3.3180
83,20101029,00019,67.2913,20101130,70.9960
84,20101029,00682,6.1993,20101130,6.2091
85,20101029,00017,33.9258,20101130,33.7892
86,20101029,01333,3.1988,20101130,2.8197
87,20101029,00410,2.7198,20101130,2.4904
88,20101029,00012,21.5427,20101130,20.9074
89,20101029,00045,11.5549,20101130,11.2150
90,20101029,00813,7.7867,20101130,7.1652
91,20101029,00014,20.9686,20101130,22.4917
92,20101029,00845,2.5600,20101130,2.7600
93,20101130,00019,70.9960,20101231,77.7372
94,20101130,00682,6.2091,20101231,5.9607
95,20101130,00017,33.7892,20101231,32.7653
96,20101130,00410,2.4904,20101231,2.5499
97,20101130,01333,2.8197,20101231,2.9128
98,20101130,00012,20.9074,20101231,20.4454
99,20101130,00045,11.2150,20101231,11.5549
100,20101130,00813,7.1652,20101231,7.2383
101,20101130,00998,3.2456,20101231,3.0284
102,20101130,00845,2.7600,20101231,2.7200
103,20101231,00019,77.7372,20110131,75.0043
104,20101231,00682,5.9607,20110131,5.4640
105,20101231,00272,2.3731,20110131,2.3481
106,20101231,00017,32.7653,20110131,32.7208
107,20101231,00410,2.5499,20110131,2.5923
108,20101231,01333,2.9128,20110131,2.5138
109,20101231,00012,20.4454,20110131,20.8304
110,20101231,00045,11.5549,20110131,11.5549
111,20101231,00813,7.2383,20110131,7.2261
112,20101231,00998,3.0284,20110131,3.0465
113,20110131,00019,75.0043,20110228,64.6798
114,20110131,00682,5.4640,20110228,4.7288
115,20110131,01333,2.5138,20110228,2.1281
116,20110131,00272,2.3481,20110228,2.2541
117,20110131,00017,32.7208,20110228,30.7620
118,20110131,00410,2.5923,20110228,2.3544
119,20110131,00012,20.8304,20110228,18.2699
120,20110131,00045,11.5549,20110228,11.2150
121,20110131,00845,2.2900,20110228,2.0600
122,20110131,00813,7.2261,20110228,6.1781
123,20110228,00019,64.6798,20110331,70.4494
124,20110228,00682,4.7288,20110331,4.8300
125,20110228,00041,16.9452,20110331,16.9780
126,20110228,01333,2.1281,20110331,2.4938
127,20110228,00410,2.3544,20110331,2.8558
128,20110228,00017,30.7620,20110331,30.8995
129,20110228,00012,18.2699,20110331,20.4069
130,20110228,00813,6.1781,20110331,6.8118
131,20110228,00845,2.0600,20110331,2.1200
132,20110228,00045,11.2150,20110331,11.5039
133,20110331,00019,70.4494,20110429,71.2996
134,20110331,00017,30.8995,20110429,30.5407
135,20110331,00053,69.0217,20110429,67.7514
136,20110331,01333,2.4938,20110429,2.6401
137,20110331,00045,11.5039,20110429,11.4869
138,20110331,00813,6.8118,20110429,6.5559
139,20110331,00012,20.4069,20110429,20.8667
140,20110331,00410,2.8558,20110429,2.8983
141,20110331,01888,3.3205,20110429,3.6402
142,20110331,00083,8.4709,20110429,8.3609
143,20110429,00041,17.9613,20110531,18.1548
144,20110429,00017,30.5407,20110531,29.1056
145,20110429,00272,2.1915,20110531,2.1913
146,20110429,00293,14.1130,20110531,13.8482
147,20110429,00053,67.7514,20110531,69.0217
148,20110429,00813,6.5559,20110531,6.4158
149,20110429,01333,2.6401,20110531,2.3254
150,20110429,00656,4.6482,20110531,4.7567
151,20110429,00012,20.8667,20110531,20.4766
152,20110429,00410,2.8983,20110531,2.9457
153,20110531,00041,18.1548,20110630,17.3901
154,20110531,00017,29.1056,20110630,25.9215
155,20110531,00293,13.8482,20110630,13.6384
156,20110531,00272,2.1913,20110630,2.0961
157,20110531,00053,69.0217,20110630,66.7281
158,20110531,00813,6.4158,20110630,5.9227
159,20110531,00012,20.4766,20110630,19.1895
160,20110531,00656,4.7567,20110630,4.7103
161,20110531,03377,2.5845,20110630,2.4710
162,20110531,00410,2.9457,20110630,2.9108
163,20110630,00041,17.3901,20110729,17.1906
164,20110630,00017,25.9215,20110729,25.7870
165,20110630,00293,13.6384,20110729,13.8482
166,20110630,00053,66.7281,20110729,66.7986
167,20110630,00813,5.9227,20110729,6.4907
168,20110630,00012,19.1895,20110729,19.1310
169,20110630,00656,4.7103,20110729,5.0456
170,20110630,03377,2.4710,20110729,2.7736
171,20110630,03988,2.1738,20110729,2.0929
172,20110630,00083,7.4563,20110729,8.0186
173,20110729,00041,17.1906,20110831,15.6278
174,20110729,00017,25.7870,20110831,22.2665
175,20110729,00293,13.8482,20110831,11.6900
176,20110729,00272,2.1786,20110831,1.8738
177,20110729,00053,66.7986,20110831,61.7879
178,20110729,01888,2.5665,20110831,2.4617
179,20110729,00813,6.4907,20110831,4.9304
180,20110729,00012,19.1310,20110831,17.5124
181,20110729,03988,2.0929,20110831,1.8327
182,20110729,03328,4.1771,20110831,3.4676
183,20110831,00041,15.6278,20110930,12.0242
184,20110831,00017,22.2665,20110930,17.0194
185,20110831,00813,4.9304,20110930,3.9336
186,20110831,00656,4.2472,20110930,3.3930
187,20110831,00053,61.7879,20110930,52.9308
188,20110831,01813,2.4861,20110930,1.6247
189,20110831,00293,11.6900,20110930,10.1600
190,20110831,03988,1.8327,20110930,1.4685
191,20110831,00272,1.8738,20110930,1.2871
192,20110831,00012,17.5124,20110930,14.5688
193,20110930,00041,12.0242,20111031,11.7818
194,20110930,00813,3.9336,20111031,4.9219
195,20110930,00017,17.0194,20111031,21.5176
196,20110930,00656,3.3930,20111031,3.6165
197,20110930,00272,1.2871,20111031,1.5766
198,20110930,00053,52.9308,20111031,53.6012
199,20110930,01101,11.1524,20111031,12.9782
200,20110930,03988,1.4685,20111031,1.6419
201,20110930,00148,12.5210,20111031,15.1718
202,20110930,03377,1.7149,20111031,2.2076
203,20111031,00813,4.9219,20111130,3.9336
204,20111031,00656,3.6165,20111130,3.3610
205,20111031,00272,1.5766,20111130,1.3771
206,20111031,03988,1.6419,20111130,1.4107
207,20111031,00017,21.5176,20111130,17.2945
208,20111031,00293,11.0244,20111130,9.8871
209,20111031,00016,77.6448,20111130,69.7930
210,20111031,01101,12.9782,20111130,11.0537
211,20111031,00053,53.6012,20111130,52.7309
