,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,00163,1.0238,20120928,1.2441
1,20120831,01238,0.8436,20120928,0.8112
2,20120831,01668,0.8079,20120928,0.8153
3,20120831,01777,0.5144,20120928,0.5007
4,20120831,00893,1.0941,20120928,1.1430
5,20120831,00073,3.3305,20120928,3.6081
6,20120831,00272,1.8589,20120928,1.9216
7,20120831,00998,2.4346,20120928,2.4080
8,20120831,01393,1.7000,20120928,1.8300
9,20120831,00743,2.0779,20120928,2.3420
10,20120928,00163,1.2441,20121031,1.1663
11,20120928,01238,0.8112,20121031,0.8436
12,20120928,01668,0.8153,20121031,0.9413
13,20120928,01777,0.5007,20121031,0.5281
14,20120928,00998,2.4080,20121031,2.6076
15,20120928,00893,1.1430,20121031,1.4067
16,20120928,00272,1.9216,20121031,2.1894
17,20120928,03618,1.9554,20121031,2.3309
18,20120928,01813,2.4048,20121031,2.6114
19,20120928,01393,1.8300,20121031,1.9000
20,20121031,00163,1.1663,20121130,1.3737
21,20121031,01238,0.8436,20121130,1.0189
22,20121031,01668,0.9413,20121130,0.8894
23,20121031,01777,0.5281,20121130,0.6584
24,20121031,00998,2.6076,20121130,2.6475
25,20121031,00893,1.4067,20121130,1.6314
26,20121031,01393,1.9000,20121130,1.9800
27,20121031,01813,2.6114,20121130,3.1796
28,20121031,01098,2.9454,20121130,3.1239
29,20121031,00285,1.5382,20121130,1.7153
30,20121130,00163,1.3737,20121231,1.4265
31,20121130,01238,1.0189,20121231,1.0643
32,20121130,01668,0.8894,20121231,0.8746
33,20121130,00998,2.6475,20121231,3.0133
34,20121130,01777,0.6584,20121231,0.8368
35,20121130,00073,3.4838,20121231,3.6089
36,20121130,01393,1.9800,20121231,2.0200
37,20121130,03618,2.2986,20121231,2.7065
38,20121130,03988,1.9998,20121231,2.1356
39,20121130,00893,1.6314,20121231,1.7877
40,20121231,00163,1.4265,20130131,1.6322
41,20121231,01238,1.0643,20130131,1.3823
42,20121231,01668,0.8746,20130131,0.9116
43,20121231,00073,3.6089,20130131,3.3586
44,20121231,00998,3.0133,20130131,3.5588
45,20121231,00019,72.2654,20130131,75.5519
46,20121231,01393,2.0200,20130131,2.2600
47,20121231,03988,2.1356,20130131,2.3578
48,20121231,00893,1.7877,20130131,1.7389
49,20121231,00034,5.4153,20130131,7.0573
50,20130131,00163,1.6322,20130228,1.5791
51,20130131,01238,1.3823,20130228,1.2330
52,20130131,01668,0.9116,20130228,0.9561
53,20130131,00073,3.3586,20130228,3.5992
54,20130131,00019,75.5519,20130228,74.9853
55,20130131,00893,1.7389,20130228,1.7389
56,20130131,00998,3.5588,20130228,3.2195
57,20130131,01393,2.2600,20130228,2.0800
58,20130131,01813,3.4436,20130228,3.0419
59,20130131,01098,3.9662,20130228,3.8491
60,20130228,00163,1.5791,20130328,1.4265
61,20130228,01238,1.2330,20130328,1.1681
62,20130228,01668,0.9561,20130328,0.9635
63,20130228,00272,2.3367,20130328,2.2363
64,20130228,01393,2.0800,20130328,1.8000
65,20130228,00998,3.2195,20130328,3.1863
66,20130228,01813,3.0419,20130328,2.7377
67,20130228,00893,1.7389,20130328,1.7291
68,20130228,03988,2.2343,20130328,2.2220
69,20130228,00083,9.9536,20130328,9.3346
70,20130328,00163,1.4265,20130430,1.4531
71,20130328,01238,1.1681,20130430,1.2071
72,20130328,01668,0.9635,20130430,0.9783
73,20130328,01777,0.8093,20130430,0.8230
74,20130328,01813,2.7377,20130430,3.0304
75,20130328,00019,74.0409,20130430,76.7857
76,20130328,01361,1.5999,20130430,1.5215
77,20130328,00998,3.1863,20130430,2.8537
78,20130328,03988,2.2220,20130430,2.2281
79,20130328,00083,9.3346,20130430,9.3346
80,20130430,00163,1.4531,20130531,1.5659
81,20130430,00410,3.1448,20130531,3.1727
82,20130430,01238,1.2071,20130531,1.1502
83,20130430,01668,0.9783,20130531,1.3192
84,20130430,01777,0.8230,20130531,0.9322
85,20130430,01361,1.5215,20130531,1.4044
86,20130430,00019,76.7857,20130531,75.8161
87,20130430,00998,2.8537,20130531,2.9193
88,20130430,00083,9.3346,20130531,8.4532
89,20130430,00067,64.4647,20130531,64.8461
90,20130531,00163,1.5659,20130628,1.4199
91,20130531,00173,2.9268,20130628,2.6531
92,20130531,01238,1.1502,20130628,1.0338
93,20130531,00410,3.1727,20130628,2.9063
94,20130531,01361,1.4044,20130628,1.3093
95,20130531,01668,1.3192,20130628,1.2600
96,20130531,01777,0.9322,20130628,0.8676
97,20130531,03900,10.8987,20130628,9.8420
98,20130531,01813,3.0189,20130628,2.3678
99,20130531,00998,2.9193,20130628,2.4606
100,20130628,00163,1.4199,20130731,1.4332
101,20130628,00173,2.6531,20130731,2.6456
102,20130628,01238,1.0338,20130731,1.0543
103,20130628,00410,2.9063,20130731,3.0758
104,20130628,01813,2.3678,20130731,2.6124
105,20130628,00998,2.4606,20130731,2.4884
106,20130628,01361,1.3093,20130731,1.3020
107,20130628,03618,2.1807,20130731,2.1807
108,20130628,01777,0.8676,20130731,0.9107
109,20130628,00083,7.6585,20130731,8.0197
110,20130731,00163,1.4332,20130830,1.3559
111,20130731,00173,2.6456,20130830,2.7508
112,20130731,01238,1.0543,20130830,1.0201
113,20130731,00410,3.0758,20130830,3.2115
114,20130731,01361,1.3020,20130830,1.3605
115,20130731,01668,1.4008,20130830,1.5490
116,20130731,03618,2.1807,20130830,2.3579
117,20130731,00998,2.4884,20130830,2.5440
118,20130731,01813,2.6124,20130830,3.0955
119,20130731,01030,0.6427,20130830,0.6713
120,20130830,00163,1.3559,20130930,1.5126
121,20130830,01238,1.0201,20130930,1.0680
122,20130830,01777,0.8963,20130930,0.8820
123,20130830,00173,2.7508,20130930,3.1726
124,20130830,00998,2.5440,20130930,2.7872
125,20130830,01668,1.5490,20130930,1.8370
126,20130830,03618,2.3579,20130930,2.5010
127,20130830,03383,4.5614,20130930,4.8654
128,20130830,00041,18.5380,20130930,20.2395
129,20130830,01030,0.6713,20130930,0.6570
130,20130930,00163,1.5126,20131031,1.5194
131,20130930,00410,3.3046,20131031,3.3046
132,20130930,01238,1.0680,20131031,1.0954
133,20130930,01813,2.9225,20131031,2.8808
134,20130930,01777,0.8820,20131031,0.9322
135,20130930,03333,1.8200,20131031,1.8828
136,20130930,03383,4.8654,20131031,5.2092
137,20130930,00998,2.7872,20131031,2.9888
138,20130930,01030,0.6570,20131031,0.6284
139,20130930,03618,2.5010,20131031,2.6578
140,20131031,00163,1.5194,20131129,1.5467
141,20131031,00410,3.3046,20131129,3.4433
142,20131031,01238,1.0954,20131129,1.1228
143,20131031,01813,2.8808,20131129,2.7376
144,20131031,03333,1.8828,20131129,1.8886
145,20131031,01777,0.9322,20131129,1.0397
146,20131031,01030,0.6284,20131129,0.6641
147,20131031,00998,2.9888,20131129,3.1209
148,20131031,00017,29.6473,20131129,29.5910
149,20131031,03618,2.6578,20131129,2.7464
150,20131129,00163,1.5467,20131231,1.4671
151,20131129,01238,1.1228,20131231,1.1365
152,20131129,01813,2.7376,20131231,2.5050
153,20131129,01668,1.5568,20131231,1.7125
154,20131129,03333,1.8886,20131231,1.7361
155,20131129,00017,29.5910,20131231,27.5619
156,20131129,03383,4.9284,20131231,4.8081
157,20131129,03900,10.8918,20131231,9.7764
158,20131129,01777,1.0397,20131231,0.9608
159,20131129,01030,0.6641,20131231,0.6641
160,20131231,00163,1.4671,20140130,1.4252
161,20131231,01238,1.1365,20140130,1.0270
162,20131231,01813,2.5050,20140130,2.4096
163,20131231,03333,1.7361,20140130,1.8182
164,20131231,03900,9.7764,20140130,8.7922
165,20131231,01777,0.9608,20140130,0.9322
166,20131231,00017,27.5619,20140130,27.0546
167,20131231,03383,4.8081,20140130,4.0688
168,20131231,00998,2.8846,20140130,2.6204
169,20131231,01668,1.7125,20140130,2.9423
170,20140130,00163,1.4252,20140228,1.4252
171,20140130,00410,3.0321,20140228,2.9429
172,20140130,01238,1.0270,20140228,0.9722
173,20140130,01813,2.4096,20140228,2.3559
174,20140130,03383,4.0688,20140228,3.7593
175,20140130,03900,8.7922,20140228,8.2673
176,20140130,00998,2.6204,20140228,3.0514
177,20140130,03333,1.8182,20140228,1.9707
178,20140130,03618,2.2080,20140228,2.2421
179,20140130,00017,27.0546,20140228,27.9001
180,20140228,00163,1.4252,20140331,1.3274
181,20140228,00410,2.9429,20140331,3.0965
182,20140228,01238,0.9722,20140331,0.8216
183,20140228,01813,2.3559,20140331,2.5229
184,20140228,01638,2.2401,20140331,2.3849
185,20140228,03900,8.2673,20140331,6.5695
186,20140228,03383,3.7593,20140331,3.5358
187,20140228,01030,0.5427,20140331,0.5713
188,20140228,03333,1.9707,20140331,2.1115
189,20140228,03618,2.2421,20140331,2.3307
190,20140331,00163,1.3274,20140430,1.2296
191,20140331,03900,6.5695,20140430,6.5695
192,20140331,01628,0.9678,20140430,1.0297
193,20140331,03333,2.1115,20140430,2.0411
194,20140331,01813,2.5229,20140430,2.4931
195,20140331,03383,3.5358,20140430,3.6103
196,20140331,01030,0.5713,20140430,0.5427
197,20140331,00884,1.0071,20140430,1.0194
198,20140331,01638,2.3849,20140430,2.2648
199,20140331,00067,0.0000,20140430,0.0000
200,20140430,00163,1.2296,20140530,1.1877
201,20140430,03900,6.5695,20140530,6.4957
202,20140430,03333,2.0411,20140530,2.0587
203,20140430,01918,3.1523,20140530,3.2841
204,20140430,01628,1.0297,20140530,1.0522
205,20140430,01030,0.5427,20140530,0.5585
206,20140430,01638,2.2648,20140530,2.2648
207,20140430,00410,2.9924,20140530,3.1892
208,20140430,01813,2.4931,20140530,2.8092
209,20140430,03383,3.6103,20140530,3.5072
210,20140530,00163,1.1877,20140630,1.2226
211,20140530,03900,6.4957,20140630,6.0528
212,20140530,03333,2.0587,20140630,2.0523
213,20140530,01777,0.6806,20140630,0.7115
214,20140530,01030,0.5585,20140630,0.5197
215,20140530,01918,3.2841,20140630,3.4919
216,20140530,01638,2.2648,20140630,2.0491
217,20140530,00410,3.1892,20140630,3.0417
218,20140530,03383,3.5072,20140630,3.1962
219,20140530,01628,1.0522,20140630,1.0517
220,20140630,03900,6.0528,20140731,8.3526
221,20140630,03333,2.0523,20140731,2.3495
222,20140630,01030,0.5197,20140731,0.5662
223,20140630,03383,3.1962,20140731,3.9785
224,20140630,01628,1.0517,20140731,1.1189
225,20140630,02777,5.4368,20140731,6.4457
226,20140630,01638,2.0491,20140731,2.5614
227,20140630,01777,0.7115,20140731,0.7193
228,20140630,00410,3.0417,20140731,3.2858
229,20140630,00163,1.2226,20140731,1.3833
230,20140731,03333,2.3495,20140829,2.2735
231,20140731,01628,1.1189,20140829,1.0884
232,20140731,01030,0.5662,20140829,0.5274
233,20140731,03900,8.3526,20140829,7.1103
234,20140731,01777,0.7193,20140829,0.7193
235,20140731,00410,3.2858,20140829,3.2146
236,20140731,03383,3.9785,20140829,3.7359
237,20140731,00884,1.0888,20140829,1.0680
238,20140731,00163,1.3833,20140829,1.3318
239,20140731,01638,2.5614,20140829,2.5074
240,20140829,00194,7.3190,20140930,7.2646
241,20140829,01628,1.0884,20140930,1.0272
242,20140829,03333,2.2735,20140930,2.0385
243,20140829,01030,0.5274,20140930,0.4964
244,20140829,00410,3.2146,20140930,3.0216
245,20140829,02777,5.4195,20140930,4.5259
246,20140829,03383,3.7359,20140930,3.0235
247,20140829,01638,2.5074,20140930,2.6333
248,20140829,00832,1.4717,20140930,1.2545
249,20140829,00163,1.3318,20140930,1.2310
250,20140930,00194,7.2646,20141031,7.1323
251,20140930,01628,1.0272,20141031,1.1006
252,20140930,03333,2.0385,20141031,2.0731
253,20140930,02777,4.5259,20141031,4.8141
254,20140930,03383,3.0235,20141031,2.6873
255,20140930,01030,0.4964,20141031,0.5197
256,20140930,00410,3.0216,20141031,2.9903
257,20140930,00163,1.2310,20141031,1.2166
258,20140930,00832,1.2545,20141031,1.2895
259,20140930,03900,6.2997,20141031,7.0486
260,20141031,00194,7.1323,20141128,7.3382
261,20141031,03333,2.0731,20141128,2.1629
262,20141031,01628,1.1006,20141128,1.1006
263,20141031,03383,2.6873,20141128,2.7806
264,20141031,00410,2.9903,20141128,3.0737
265,20141031,01030,0.5197,20141128,0.5197
266,20141031,02777,4.8141,20141128,5.3964
267,20141031,00832,1.2895,20141128,1.3316
268,20141031,00163,1.2166,20141128,1.3030
269,20141031,01638,2.5164,20141128,2.7141
270,20141128,00194,7.3382,20141231,7.1176
271,20141128,01628,1.1006,20141231,1.1617
272,20141128,03333,2.1629,20141231,2.1560
273,20141128,03383,2.7806,20141231,2.7682
274,20141128,00410,3.0737,20141231,2.7924
275,20141128,01030,0.5197,20141231,0.5585
276,20141128,02777,5.3964,20141231,5.4887
277,20141128,00832,1.3316,20141231,1.1774
278,20141128,03900,6.8812,20141231,6.6081
279,20141128,01638,2.7141,20141231,0.0000
280,20141231,00194,7.1176,20150130,7.0440
281,20141231,01638,0.0000,20150130,0.0000
282,20141231,03333,2.1560,20150130,2.2113
283,20141231,00410,2.7924,20150130,2.8132
284,20141231,01628,1.1617,20150130,1.1434
285,20141231,03383,2.7682,20150130,2.9423
286,20141231,00832,1.1774,20150130,1.3596
287,20141231,01030,0.5585,20150130,0.5972
288,20141231,02777,5.4887,20150130,5.1139
289,20141231,03900,6.6081,20150130,6.0970
290,20150130,00194,7.0440,20150227,7.0955
291,20150130,01638,0.0000,20150227,1.4020
292,20150130,01628,1.1434,20150227,1.1373
293,20150130,00410,2.8132,20150227,2.9539
294,20150130,03333,2.2113,20150227,2.3495
295,20150130,02777,5.1139,20150227,5.1889
296,20150130,03383,2.9423,20150227,2.8988
297,20150130,03900,6.0970,20150227,6.0530
298,20150130,01030,0.5972,20150227,0.6205
299,20150130,00832,1.3596,20150227,1.3526
300,20150227,00194,7.0955,20150331,7.1102
301,20150227,01638,1.4020,20150331,0.0000
302,20150227,01628,1.1373,20150331,1.2295
303,20150227,00410,2.9539,20150331,2.7924
304,20150227,03333,2.3495,20150331,2.8677
305,20150227,03383,2.8988,20150331,3.2658
306,20150227,02777,5.1889,20150331,4.9583
307,20150227,03900,6.0530,20150331,6.1940
308,20150227,00832,1.3526,20150331,1.3105
309,20150227,01030,0.6205,20150331,0.7679
310,20150331,00194,7.1102,20150430,7.6470
311,20150331,01638,0.0000,20150430,0.0000
312,20150331,00242,3.0921,20150430,3.7106
313,20150331,01238,0.9106,20150430,1.1228
314,20150331,01233,1.9024,20150430,2.0895
315,20150331,03383,3.2658,20150430,3.6950
316,20150331,01777,0.7038,20150430,0.9822
317,20150331,03333,2.8677,20150430,4.3120
318,20150331,01813,3.7333,20150430,4.7310
319,20150331,00163,1.2810,20150430,1.3920
320,20150430,00194,7.6470,20150529,7.6501
321,20150430,01638,0.0000,20150529,0.0000
322,20150430,00242,3.7106,20150529,3.7930
323,20150430,01233,2.0895,20150529,2.2455
324,20150430,01238,1.1228,20150529,1.3213
325,20150430,00163,1.3920,20150529,1.3698
326,20150430,01777,0.9822,20150529,1.0491
327,20150430,03383,3.6950,20150529,3.9003
328,20150430,01628,1.4488,20150529,1.4555
329,20150430,03380,2.0959,20150529,2.3943
330,20150529,00194,7.6501,20150630,7.5296
331,20150529,01638,0.0000,20150630,0.0000
332,20150529,00242,3.7930,20150630,3.6695
333,20150529,01233,2.2455,20150630,2.1596
