,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00386,2.6445,20100226,2.5881
1,20100129,00659,4.8106,20100226,4.8474
2,20100226,00386,2.5881,20100331,2.7745
3,20100226,00659,4.8474,20100331,5.6920
4,20100331,00087,10.3849,20100430,10.0961
5,20100331,00127,3.0195,20100430,3.0613
6,20100331,00019,55.3997,20100430,52.1202
7,20100331,02678,1.4995,20100430,2.1936
8,20100331,00386,2.7745,20100430,2.6965
9,20100331,00659,5.6920,20100430,5.2568
10,20100331,00086,3.4827,20100430,4.5241
11,20100331,00014,15.4754,20100430,16.0256
12,20100331,00034,4.9731,20100430,4.7893
13,20100331,00902,2.7324,20100430,2.6613
14,20100430,00087,10.0961,20100531,9.7774
15,20100430,00127,3.0613,20100531,3.0034
16,20100430,00242,3.0542,20100531,2.8178
17,20100430,00019,52.1202,20100531,52.0311
18,20100430,00272,2.1821,20100531,2.0656
19,20100430,00410,1.7704,20100531,1.7238
20,20100430,00659,5.2568,20100531,5.2415
21,20100430,00173,1.8728,20100531,1.6610
22,20100430,00386,2.6965,20100531,2.6878
23,20100430,00014,16.0256,20100531,14.2636
24,20100531,00087,9.7774,20100630,10.2724
25,20100531,00127,3.0034,20100630,3.1893
26,20100531,00242,2.8178,20100630,2.7674
27,20100531,00272,2.0656,20100630,2.0841
28,20100531,00410,1.7238,20100630,1.8066
29,20100531,00173,1.6610,20100630,1.6618
30,20100531,00868,1.5093,20100630,1.5093
31,20100531,00659,5.2415,20100630,5.3256
32,20100531,00034,4.0238,20100630,3.8683
33,20100531,00014,14.2636,20100630,15.5667
34,20100630,00480,1.7827,20100730,1.9910
35,20100630,01238,1.3515,20100730,1.3397
36,20100630,00242,2.7674,20100730,2.9941
37,20100630,00127,3.1893,20100730,3.3474
38,20100630,01168,1.1400,20100730,1.1900
39,20100630,00019,52.8131,20100730,55.9410
40,20100630,00983,7.1133,20100730,7.8973
41,20100630,00272,2.0841,20100730,2.1766
42,20100630,01098,2.7424,20100730,3.0199
43,20100630,00053,51.2661,20100730,52.1547
44,20100730,00480,1.9910,20100831,1.9712
45,20100730,01238,1.3397,20100831,1.2923
46,20100730,00242,2.9941,20100831,3.1932
47,20100730,00127,3.3474,20100831,3.1382
48,20100730,00019,55.9410,20100831,56.4523
49,20100730,00983,7.8973,20100831,7.3444
50,20100730,00272,2.1766,20100831,2.0902
51,20100730,00053,52.1547,20100831,53.0433
52,20100730,00581,1.5138,20100831,1.7340
53,20100730,00410,2.0221,20100831,2.0387
54,20100831,00480,1.9712,20100930,2.2383
55,20100831,01238,1.2923,20100930,1.2508
56,20100831,00019,56.4523,20100930,65.5908
57,20100831,00272,2.0902,20100930,2.4044
58,20100831,00581,1.7340,20100930,2.2088
59,20100831,00242,3.1932,20100930,3.3718
60,20100831,01098,3.0522,20100930,3.2478
61,20100831,00053,53.0433,20100930,57.4522
62,20100831,00656,4.5010,20100930,4.8264
63,20100831,01093,2.7735,20100930,2.8584
64,20100930,01238,1.2508,20101029,1.3397
