,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20161031,03380,2.4974,20161130,2.4974
1,20161031,02333,6.3191,20161130,6.0379
2,20161031,01813,3.3095,20161130,3.2287
3,20161031,00884,1.8143,20161130,1.7902
4,20161031,00960,8.9212,20161130,8.6296
5,20161031,02777,7.5980,20161130,6.8451
6,20161031,01339,2.7759,20161130,2.9483
7,20161031,01628,2.0967,20161130,2.0679
8,20161031,01668,1.5410,20161130,1.6300
9,20161031,00813,8.5450,20161130,8.5119
10,20161130,03380,2.4974,20161230,2.2833
11,20161130,02333,6.0379,20161230,5.9552
12,20161130,01813,3.2287,20161230,3.1407
13,20161130,00960,8.6296,20161230,8.2779
14,20161130,00884,1.7902,20161230,1.6611
15,20161130,02777,6.8451,20161230,6.3133
16,20161130,01628,2.0679,20161230,1.8733
17,20161130,01339,2.9483,20161230,2.7487
18,20161130,01668,1.6300,20161230,1.4430
19,20161130,00813,8.5119,20161230,8.3293
20,20161230,03380,2.2833,20170127,2.5449
21,20161230,02333,5.9552,20170127,6.5342
22,20161230,01813,3.1407,20170127,3.2874
23,20161230,00884,1.6611,20170127,1.7337
24,20161230,00960,8.2779,20170127,9.6246
25,20161230,01628,1.8733,20170127,1.8589
26,20161230,01339,2.7487,20170127,2.7669
27,20161230,01668,1.4430,20170127,1.4875
28,20161230,00751,4.0451,20170127,4.7873
29,20161230,00813,8.3293,20170127,8.7607
30,20170127,03380,2.5449,20170228,2.6876
31,20170127,02333,6.5342,20170228,8.0809
32,20170127,01813,3.2874,20170228,3.6690
33,20170127,00884,1.7337,20170228,2.0482
34,20170127,01339,2.7669,20170228,2.9211
35,20170127,00960,9.6246,20170228,10.5854
36,20170127,02777,6.9073,20170228,7.3770
37,20170127,02328,6.6372,20170228,6.6709
38,20170127,01668,1.4875,20170228,1.4519
39,20170127,00813,8.7607,20170228,9.2253
40,20170228,03380,2.6876,20170331,3.0682
41,20170228,01813,3.6690,20170331,4.1166
42,20170228,02333,8.0809,20170331,7.3613
43,20170228,01628,1.9238,20170331,2.3200
44,20170228,00884,2.0482,20170331,2.3707
45,20170228,01339,2.9211,20170331,2.9483
46,20170228,00960,10.5854,20170331,11.0314
47,20170228,02777,7.3770,20170331,8.5236
48,20170228,02328,6.6709,20170331,6.7270
49,20170228,01668,1.4519,20170331,1.4252
50,20170331,01966,2.3756,20170428,2.3676
51,20170331,03380,3.0682,20170428,3.5122
52,20170331,02333,7.3613,20170428,7.0139
53,20170331,00884,2.3707,20170428,2.3594
54,20170331,01813,4.1166,20170428,4.2781
55,20170331,01339,2.9483,20170428,2.9302
56,20170331,02328,6.7270,20170428,7.1089
57,20170331,00960,11.0314,20170428,11.6491
58,20170331,01628,2.3200,20170428,2.5362
59,20170331,02777,8.5236,20170428,9.0624
60,20170428,00200,15.5758,20170531,19.1042
61,20170428,01966,2.3676,20170531,2.3676
62,20170428,03380,3.5122,20170531,3.7262
63,20170428,01888,6.8273,20170531,6.6892
64,20170428,02329,2.0022,20170531,2.0795
65,20170428,00968,2.0026,20170531,2.0321
66,20170428,01958,6.4983,20170531,6.4726
67,20170428,02333,7.0139,20170531,7.1392
68,20170428,00884,2.3594,20170531,2.4942
69,20170428,00868,5.5295,20170531,6.1956
70,20170531,00200,19.1042,20170630,20.3420
71,20170531,01966,2.3676,20170630,2.8415
72,20170531,03380,3.7262,20170630,4.2230
73,20170531,01888,6.6892,20170630,7.1350
74,20170531,01958,6.4726,20170630,6.8960
75,20170531,02329,2.0795,20170630,2.1147
76,20170531,02333,7.1392,20170630,8.5115
77,20170531,00968,2.0321,20170630,1.9113
78,20170531,00884,2.4942,20170630,2.8313
79,20170531,00148,23.0751,20170630,25.3787
80,20170630,00200,20.3420,20170731,17.7371
81,20170630,01966,2.8415,20170731,3.2187
82,20170630,03380,4.2230,20170731,5.6612
83,20170630,01888,7.1350,20170731,8.2090
84,20170630,01958,6.8960,20170731,6.3422
85,20170630,00968,1.9113,20170731,1.9982
86,20170630,02329,2.1147,20170731,2.0883
87,20170630,02333,8.5115,20170731,8.7547
88,20170630,00884,2.8313,20170731,3.3369
89,20170630,00868,6.3683,20170731,6.5999
