,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,00163,1.0238,20120928,1.2441
1,20120831,00904,72.2479,20120928,73.9379
2,20120831,01798,0.6593,20120928,0.6504
3,20120831,00743,2.0779,20120928,2.3420
4,20120831,00067,50.3511,20120928,51.4954
5,20120831,00073,3.3305,20120928,3.6081
6,20120831,00272,1.8589,20120928,1.9216
7,20120831,01733,13.5997,20120928,14.2866
8,20120831,01668,0.8079,20120928,0.8153
9,20120831,00893,1.0941,20120928,1.1430
10,20120928,00904,73.9379,20121031,73.9379
11,20120928,00163,1.2441,20121031,1.1663
12,20120928,01798,0.6504,20121031,0.7663
13,20120928,01733,14.2866,20121031,16.8966
14,20120928,00272,1.9216,20121031,2.1894
15,20120928,00067,51.4954,20121031,59.8873
16,20120928,00743,2.3420,20121031,2.3063
17,20120928,00073,3.6081,20121031,3.9781
18,20120928,01668,0.8153,20121031,0.9413
19,20120928,00173,2.7000,20121031,2.4805
20,20121031,00904,73.9379,20121130,59.9953
21,20121031,00163,1.1663,20121130,1.3737
22,20121031,01798,0.7663,20121130,0.7663
23,20121031,00743,2.3063,20121130,2.3635
24,20121031,00272,2.1894,20121130,2.5844
25,20121031,01733,16.8966,20121130,16.4845
26,20121031,00067,59.8873,20121130,60.2687
27,20121031,00173,2.4805,20121130,2.8097
28,20121031,01668,0.9413,20121130,0.8894
29,20121031,00142,6.6628,20121130,6.4095
30,20121130,00904,59.9953,20121231,70.1354
31,20121130,00163,1.3737,20121231,1.4265
32,20121130,01798,0.7663,20121231,0.8643
33,20121130,01733,16.4845,20121231,17.5835
34,20121130,00743,2.3635,20121231,2.7705
35,20121130,00067,60.2687,20121231,63.7018
36,20121130,01668,0.8894,20121231,0.8746
37,20121130,00142,6.4095,20121231,6.5016
38,20121130,00173,2.8097,20121231,2.7219
39,20121130,00272,2.5844,20121231,2.5041
40,20121231,00163,1.4265,20130131,1.6322
41,20121231,01798,0.8643,20130131,0.9979
42,20121231,01733,17.5835,20130131,17.1714
43,20121231,01668,0.8746,20130131,0.9116
44,20121231,00067,63.7018,20130131,72.4751
45,20121231,00743,2.7705,20130131,2.8133
46,20121231,00272,2.5041,20130131,2.5175
47,20121231,00173,2.7219,20130131,3.3658
48,20121231,00142,6.5016,20130131,7.4841
49,20121231,01361,1.5648,20130131,1.5367
50,20130131,00163,1.6322,20130228,1.5791
51,20130131,01733,17.1714,20130228,14.9735
52,20130131,01668,0.9116,20130228,0.9561
53,20130131,00272,2.5175,20130228,2.3367
54,20130131,01798,0.9979,20130228,1.4434
55,20130131,00743,2.8133,20130228,2.8990
56,20130131,00067,72.4751,20130228,68.6606
57,20130131,00173,3.3658,20130228,3.1683
58,20130131,00142,7.4841,20130228,7.4841
59,20130131,00082,0.5838,20130228,0.5585
60,20130228,00163,1.5791,20130328,1.4265
61,20130228,01733,14.9735,20130328,13.0503
62,20130228,00272,2.3367,20130328,2.2363
63,20130228,01668,0.9561,20130328,0.9635
64,20130228,00067,68.6606,20130328,64.4647
65,20130228,00743,2.8990,20130328,2.7848
66,20130228,02010,1.9920,20130328,1.7506
67,20130228,00173,3.1683,20130328,3.1097
68,20130228,00082,0.5585,20130328,0.4823
69,20130228,00142,7.4841,20130328,7.9830
70,20130328,00163,1.4265,20130430,1.4531
71,20130328,01733,13.0503,20130430,9.8907
72,20130328,00272,2.2363,20130430,1.8144
73,20130328,00067,64.4647,20130430,64.4647
74,20130328,02010,1.7506,20130430,1.7678
75,20130328,00743,2.7848,20130430,3.0846
76,20130328,01668,0.9635,20130430,0.9783
77,20130328,00683,22.1490,20130430,22.8280
78,20130328,00082,0.4823,20130430,0.4823
79,20130328,00173,3.1097,20130430,3.0732
80,20130430,00163,1.4531,20130531,1.5659
81,20130430,01224,2.2183,20130531,2.0504
82,20130430,00034,5.9393,20130531,5.8811
83,20130430,03377,3.3201,20130531,3.2914
84,20130430,01668,0.9783,20130531,1.3192
85,20130430,00683,22.8280,20130531,20.9493
86,20130430,02866,1.6725,20130531,1.8081
87,20130430,00014,29.2470,20130531,26.3677
88,20130430,00004,19.8385,20130531,20.3246
89,20130430,00410,3.1448,20130531,3.1727
90,20130531,00163,1.5659,20130628,1.4199
91,20130531,01224,2.0504,20130628,1.9021
92,20130531,00034,5.8811,20130628,5.8229
93,20130531,03377,3.2914,20130628,2.8270
94,20130531,00683,20.9493,20130628,19.5702
95,20130531,00014,26.3677,20130628,25.0039
96,20130531,02866,1.8081,20130628,1.8262
97,20130531,01668,1.3192,20130628,1.2600
98,20130531,00004,20.3246,20130628,18.5817
99,20130531,00410,3.1727,20130628,2.9063
100,20130628,00163,1.4199,20130731,1.4332
101,20130628,01224,1.9021,20130731,1.7625
102,20130628,03377,2.8270,20130731,2.5645
103,20130628,00034,5.8229,20130731,5.6507
104,20130628,00683,19.5702,20130731,21.1463
105,20130628,00014,25.0039,20130731,24.6250
106,20130628,02866,1.8262,20130731,1.7267
107,20130628,00555,0.4744,20130731,0.4562
108,20130628,03328,3.2473,20130731,3.3735
109,20130628,00410,2.9063,20130731,3.0758
110,20130731,00163,1.4332,20130830,1.3559
111,20130731,01224,1.7625,20130830,1.7800
112,20130731,00034,5.6507,20130830,5.6023
113,20130731,03377,2.5645,20130830,3.0018
114,20130731,00683,21.1463,20130830,20.4239
115,20130731,00014,24.6250,20130830,25.5400
116,20130731,02866,1.7267,20130830,1.7629
117,20130731,01668,1.4008,20130830,1.5490
118,20130731,00555,0.4562,20130830,0.5200
119,20130731,03328,3.3735,20130830,3.3536
120,20130830,00163,1.3559,20130930,1.5126
121,20130830,01224,1.7800,20130930,1.8498
122,20130830,00034,5.6023,20130930,5.9952
123,20130830,00683,20.4239,20130930,22.1777
124,20130830,03377,3.0018,20130930,3.2138
125,20130830,00014,25.5400,20130930,26.6836
126,20130830,03383,4.5614,20130930,4.8654
127,20130830,02866,1.7629,20130930,1.8262
