,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,00682,7.3605,20100226,8.4626
1,20100129,03988,1.8934,20100226,1.9240
2,20100129,00552,2.7075,20100226,2.6608
3,20100129,02883,7.8592,20100226,8.5575
4,20100129,00998,2.9846,20100226,3.0613
5,20100129,01138,10.2473,20100226,11.1865
6,20100129,03323,5.0296,20100226,5.2843
7,20100129,01898,8.7611,20100226,9.3181
8,20100129,01186,7.7349,20100226,8.0512
9,20100129,03328,3.9878,20100226,4.2587
10,20100226,00682,8.4626,20100331,8.3642
11,20100226,03988,1.9240,20100331,2.1180
12,20100226,00552,2.6608,20100331,2.6341
13,20100226,00998,3.0613,20100331,3.3857
14,20100226,01138,11.1865,20100331,10.8678
15,20100226,03323,5.2843,20100331,5.9687
16,20100226,02883,8.5575,20100331,9.7428
17,20100226,01898,9.3181,20100331,9.3482
18,20100226,00691,3.4955,20100331,3.7224
19,20100226,01186,8.0512,20100331,7.5925
20,20100331,00682,8.3642,20100430,8.8562
21,20100331,00552,2.6341,20100430,2.6275
22,20100331,03988,2.1180,20100430,2.0567
23,20100331,01138,10.8678,20100430,9.8280
24,20100331,00998,3.3857,20100430,2.9905
25,20100331,01898,9.3482,20100430,8.8364
26,20100331,01186,7.5925,20100430,7.6083
27,20100331,02883,9.7428,20100430,8.8010
28,20100331,03323,5.9687,20100430,5.2047
29,20100331,00691,3.7224,20100430,3.3107
30,20100430,00173,1.8728,20100531,1.6610
31,20100430,00001,46.8769,20100531,43.9222
32,20100430,00004,11.0050,20100531,9.9532
33,20100430,00410,1.7704,20100531,1.7238
34,20100430,00682,8.8562,20100531,7.4293
35,20100430,01800,5.0905,20100531,4.7108
36,20100430,00813,7.1757,20100531,6.9282
37,20100430,00552,2.6275,20100531,2.3785
38,20100430,00390,4.2938,20100531,4.2297
39,20100430,03323,5.2047,20100531,5.0091
40,20100531,00173,1.6610,20100630,1.6618
41,20100531,00001,43.9222,20100630,45.4027
42,20100531,00004,9.9532,20100630,9.9141
43,20100531,00410,1.7238,20100630,1.8066
44,20100531,00682,7.4293,20100630,7.3801
45,20100531,01800,4.7108,20100630,4.9029
46,20100531,00552,2.3785,20100630,2.6066
47,20100531,00813,6.9282,20100630,7.3619
48,20100531,00390,4.2297,20100630,3.9814
