开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,682,7.3605,20100226,8.4626
20100129,3988,1.8934,20100226,1.924
20100129,552,2.7075,20100226,2.6608
20100129,2883,7.8592,20100226,8.5575
20100129,998,2.9846,20100226,3.0613
20100129,1138,10.2473,20100226,11.1865
20100129,3323,5.0296,20100226,5.2843
20100129,1898,8.7611,20100226,9.3181
20100129,1186,7.7349,20100226,8.0512
20100129,3328,3.9878,20100226,4.2587
20100226,682,8.4626,20100331,8.3642
20100226,3988,1.924,20100331,2.118
20100226,552,2.6608,20100331,2.6341
20100226,998,3.0613,20100331,3.3857
20100226,1138,11.1865,20100331,10.8678
20100226,3323,5.2843,20100331,5.9687
20100226,2883,8.5575,20100331,9.7428
20100226,1898,9.3181,20100331,9.3482
20100226,691,3.4955,20100331,3.7224
20100226,1186,8.0512,20100331,7.5925
20100331,682,8.3642,20100430,8.8562
20100331,552,2.6341,20100430,2.6275
20100331,3988,2.118,20100430,2.0567
20100331,1138,10.8678,20100430,9.828
20100331,998,3.3857,20100430,2.9905
20100331,1898,9.3482,20100430,8.8364
20100331,1186,7.5925,20100430,7.6083
20100331,2883,9.7428,20100430,8.801
20100331,3323,5.9687,20100430,5.2047
20100331,691,3.7224,20100430,3.3107
20100430,173,1.8728,20100531,1.661
20100430,1,46.8769,20100531,43.9222
20100430,4,11.005,20100531,9.9532
20100430,410,1.7704,20100531,1.7238
20100430,682,8.8562,20100531,7.4293
20100430,1800,5.0905,20100531,4.7108
20100430,813,7.1757,20100531,6.9282
20100430,552,2.6275,20100531,2.3785
20100430,390,4.2938,20100531,4.2297
20100430,3323,5.2047,20100531,5.0091
20100531,173,1.661,20100630,1.6618
20100531,1,43.9222,20100630,45.4027
20100531,4,9.9532,20100630,9.9141
20100531,410,1.7238,20100630,1.8066
20100531,682,7.4293,20100630,7.3801
20100531,1800,4.7108,20100630,4.9029
20100531,552,2.3785,20100630,2.6066
20100531,813,6.9282,20100630,7.3619
20100531,390,4.2297,20100630,3.9814
20100531,3323,5.0091,20100630,4.9209
20100630,433,0.28,20100730,0.28
20100630,173,1.6618,20100730,1.9859
20100630,1168,1.14,20100730,1.19
20100630,743,2.4543,20100730,2.5599
20100630,1,45.4027,20100730,46.3897
20100630,4,9.9141,20100730,11.023
20100630,680,0.0563,20100730,0.0573
20100630,1238,1.3515,20100730,1.3397
20100630,410,1.8066,20100730,2.0221
20100630,682,7.3801,20100730,7.8918
20100730,433,0.28,20100831,0.28
20100730,1168,1.19,20100831,1.13
20100730,173,1.9859,20100831,1.7515
20100730,743,2.5599,20100831,2.2102
20100730,1668,0.7959,20100831,0.8022
20100730,680,0.0573,20100831,0.0553
20100730,1,46.3897,20100831,47.8703
20100730,4,11.023,20100831,10.7621
20100730,1238,1.3397,20100831,1.2923
20100730,410,2.0221,20100831,2.0387
20100831,1168,1.13,20100930,1.21
20100831,433,0.28,20100930,0.315
20100831,173,1.7515,20100930,2.1169
