,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,00323,1.2719,20120928,1.4399
1,20120831,01733,13.5997,20120928,14.2866
2,20120831,03813,0.5443,20120928,0.4583
3,20120831,00904,72.2479,20120928,73.9379
4,20120831,02010,1.8710,20120928,2.0351
5,20120831,01393,1.7000,20120928,1.8300
6,20120831,00743,2.0779,20120928,2.3420
7,20120928,01733,14.2866,20121031,16.8966
8,20120928,03813,0.4583,20121031,0.4760
9,20120928,00323,1.4399,20121031,1.5359
10,20120928,00904,73.9379,20121031,73.9379
11,20120928,02010,2.0351,20121031,2.3283
12,20120928,01393,1.8300,20121031,1.9000
13,20120928,00743,2.3420,20121031,2.3063
14,20121031,01733,16.8966,20121130,16.4845
15,20121031,03813,0.4760,20121130,0.4474
16,20121031,00323,1.5359,20121130,1.6799
17,20121031,00904,73.9379,20121130,59.9953
18,20121031,02010,2.3283,20121130,2.3714
19,20121031,01393,1.9000,20121130,1.9800
20,20121031,00073,3.9781,20121130,3.4838
21,20121130,01733,16.4845,20121231,17.5835
22,20121130,03813,0.4474,20121231,0.4331
23,20121130,00323,1.6799,20121231,1.8959
24,20121130,00904,59.9953,20121231,70.1354
25,20121130,02010,2.3714,20121231,2.4146
26,20121130,00073,3.4838,20121231,3.6089
27,20121130,01393,1.9800,20121231,2.0200
28,20121231,01733,17.5835,20130131,17.1714
29,20121231,00323,1.8959,20130131,2.0479
30,20121231,00163,1.4265,20130131,1.6322
31,20121231,01668,0.8746,20130131,0.9116
32,20121231,02010,2.4146,20130131,2.3283
33,20121231,00073,3.6089,20130131,3.3586
34,20121231,01393,2.0200,20130131,2.2600
35,20121231,00555,0.5401,20130131,0.6031
36,20121231,00082,0.6177,20130131,0.5838
37,20130131,01733,17.1714,20130228,14.9735
38,20130131,00323,2.0479,20130228,1.8159
39,20130131,01668,0.9116,20130228,0.9561
40,20130131,02010,2.3283,20130228,1.9920
41,20130131,00073,3.3586,20130228,3.5992
42,20130131,01393,2.2600,20130228,2.0800
43,20130131,00082,0.5838,20130228,0.5585
44,20130228,01733,14.9735,20130328,13.0503
45,20130228,00323,1.8159,20130328,1.6559
46,20130228,01668,0.9561,20130328,0.9635
47,20130228,02010,1.9920,20130328,1.7506
48,20130228,01393,2.0800,20130328,1.8000
49,20130228,00082,0.5585,20130328,0.4823
50,20130228,00073,3.5992,20130328,4.0277
51,20130328,00082,0.4823,20130430,0.4823
52,20130328,01393,1.8000,20130430,1.8100
53,20130328,00323,1.6559,20130430,1.5359
54,20130328,01733,13.0503,20130430,9.8907
55,20130328,00163,1.4265,20130430,1.4531
56,20130328,01668,0.9635,20130430,0.9783
57,20130328,02010,1.7506,20130430,1.7678
58,20130328,01098,4.0381,20130430,4.0162
59,20130430,01393,1.8100,20130531,1.7300
60,20130430,00163,1.4531,20130531,1.5659
61,20130430,01668,0.9783,20130531,1.3192
62,20130430,01777,0.8230,20130531,0.9322
63,20130430,00073,3.2945,20130531,3.2260
64,20130430,01098,4.0162,20130531,4.1013
65,20130531,00073,3.2260,20130628,2.7372
66,20130531,01098,4.1013,20130628,4.0842
67,20130628,00163,1.4199,20130731,1.4332
68,20130628,00073,2.7372,20130731,2.5026
