,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,02678,0.8643,20100226,1.1001
1,20100226,02678,1.1001,20100331,1.4995
2,20100226,00008,1.1545,20100331,1.2629
3,20100226,00041,13.6952,20100331,13.7592
4,20100331,02678,1.4995,20100430,2.1936
5,20100331,00034,4.9731,20100430,4.7893
6,20100430,00173,1.8728,20100531,1.6610
7,20100430,00034,4.7893,20100531,4.0238
8,20100430,00914,13.5571,20100531,13.5046
9,20100531,00173,1.6610,20100630,1.6618
10,20100531,00868,1.5093,20100630,1.5093
11,20100531,00034,4.0238,20100630,3.8683
12,20100630,01238,1.3515,20100730,1.3397
13,20100630,01168,1.1400,20100730,1.1900
14,20100630,01098,2.6899,20100730,2.9621
15,20100630,00208,0.8784,20100730,1.0130
16,20100630,00581,1.4588,20100730,1.5138
17,20100630,00173,1.6618,20100730,1.9859
18,20100630,00034,3.8683,20100730,4.2546
19,20100630,03336,3.3479,20100730,3.7199
20,20100630,00743,2.4543,20100730,2.5599
21,20100630,02300,1.4073,20100730,1.4306
22,20100730,01238,1.3397,20100831,1.2923
23,20100730,01168,1.1900,20100831,1.1300
24,20100730,01628,0.8557,20100831,0.8420
25,20100730,01668,0.7959,20100831,0.8022
26,20100730,00581,1.5138,20100831,1.7340
27,20100730,01098,2.9621,20100831,2.9939
28,20100730,00208,1.0130,20100831,0.9492
29,20100730,00173,1.9859,20100831,1.7515
30,20100730,03336,3.7199,20100831,2.7301
31,20100730,00743,2.5599,20100831,2.2102
32,20100831,01238,1.2923,20100930,1.2508
33,20100831,01168,1.1300,20100930,1.2100
34,20100831,00581,1.7340,20100930,2.2088
35,20100831,01668,0.8022,20100930,0.8294
36,20100831,03336,2.7301,20100930,2.5906
37,20100831,01098,2.9939,20100930,3.1857
38,20100831,00173,1.7515,20100930,2.1169
39,20100831,00680,0.0553,20100930,0.0553
40,20100831,01777,0.7674,20100930,0.8245
41,20100831,02300,1.6402,20100930,2.0098
42,20100930,01238,1.2508,20101029,1.3397
43,20100930,01168,1.2100,20101029,1.1200
44,20100930,01668,0.8294,20101029,0.8362
45,20100930,03336,2.5906,20101029,2.4777
46,20100930,00581,2.2088,20101029,2.1194
47,20100930,01098,3.1857,20101029,3.2886
48,20100930,01628,0.8385,20101029,0.8317
49,20100930,00173,2.1169,20101029,2.0200
50,20100930,00680,0.0553,20101029,0.0660
51,20100930,01777,0.8245,20101029,0.7928
52,20101029,01238,1.3397,20101130,1.3337
53,20101029,01168,1.1200,20101130,1.1500
54,20101029,01668,0.8362,20101130,0.8974
55,20101029,00581,2.1194,20101130,2.0024
56,20101029,03336,2.4777,20101130,2.1190
57,20101029,01098,3.2886,20101130,3.2652
58,20101029,01628,0.8317,20101130,0.8351
59,20101029,00173,2.0200,20101130,2.0131
60,20101029,01777,0.7928,20101130,0.8182
61,20101029,00034,4.4041,20101130,4.3322
62,20101130,01238,1.3337,20101231,1.4879
63,20101130,01168,1.1500,20101231,1.1300
64,20101130,03336,2.1190,20101231,2.5574
65,20101130,00581,2.0024,20101231,2.1744
66,20101130,01668,0.8974,20101231,0.9994
67,20101130,01098,3.2652,20101231,3.2278
68,20101130,01628,0.8351,20101231,0.8351
69,20101130,00173,2.0131,20101231,2.0062
70,20101130,00680,0.0582,20101231,0.0553
71,20101130,01777,0.8182,20101231,0.8752
72,20101231,01238,1.4879,20110131,1.5827
73,20101231,01168,1.1300,20110131,1.1200
74,20101231,03336,2.5574,20110131,2.3847
75,20101231,01668,0.9994,20110131,0.9858
76,20101231,01098,3.2278,20110131,3.2932
77,20101231,01966,1.2924,20110131,1.2051
78,20101231,01628,0.8351,20110131,0.8489
79,20101231,00173,2.0062,20110131,2.3175
80,20101231,01777,0.8752,20110131,0.8372
81,20110131,01238,1.5827,20110228,1.4108
82,20110131,01168,1.1200,20110228,0.9500
83,20110131,03336,2.3847,20110228,1.9994
84,20110131,01668,0.9858,20110228,0.8702
85,20110131,01098,3.2932,20110228,3.1669
86,20110131,01966,1.2051,20110228,1.1701
87,20110131,01628,0.8489,20110228,0.7561
88,20110131,00173,2.3175,20110228,2.3452
89,20110131,01777,0.8372,20110228,0.7357
90,20110131,02300,2.0268,20110228,1.9385
91,20110228,01238,1.4108,20110331,1.5056
92,20110228,01168,0.9500,20110331,0.9100
93,20110228,03336,1.9994,20110331,1.6939
94,20110228,01668,0.8702,20110331,0.8566
95,20110228,01098,3.1669,20110331,3.1342
96,20110228,01966,1.1701,20110331,1.2051
97,20110228,01628,0.7561,20110331,0.8110
98,20110228,00904,248.0708,20110331,259.8644
