开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,2678,0.8643,20100226,1.1001
20100226,2678,1.1001,20100331,1.4995
20100226,8,1.1545,20100331,1.2629
20100226,41,13.6952,20100331,13.7592
20100331,2678,1.4995,20100430,2.1936
20100331,34,4.9731,20100430,4.7893
20100430,173,1.8728,20100531,1.661
20100430,34,4.7893,20100531,4.0238
20100430,914,13.5571,20100531,13.5046
20100531,173,1.661,20100630,1.6618
20100531,868,1.5093,20100630,1.5093
20100531,34,4.0238,20100630,3.8683
20100630,1238,1.3515,20100730,1.3397
20100630,1168,1.14,20100730,1.19
20100630,1098,2.6899,20100730,2.9621
20100630,208,0.8784,20100730,1.013
20100630,581,1.4588,20100730,1.5138
20100630,173,1.6618,20100730,1.9859
20100630,34,3.8683,20100730,4.2546
20100630,3336,3.3479,20100730,3.7199
20100630,743,2.4543,20100730,2.5599
20100630,2300,1.4073,20100730,1.4306
20100730,1238,1.3397,20100831,1.2923
20100730,1168,1.19,20100831,1.13
20100730,1628,0.8557,20100831,0.842
20100730,1668,0.7959,20100831,0.8022
20100730,581,1.5138,20100831,1.734
20100730,1098,2.9621,20100831,2.9939
20100730,208,1.013,20100831,0.9492
20100730,173,1.9859,20100831,1.7515
20100730,3336,3.7199,20100831,2.7301
20100730,743,2.5599,20100831,2.2102
20100831,1238,1.2923,20100930,1.2508
20100831,1168,1.13,20100930,1.21
20100831,581,1.734,20100930,2.2088
20100831,1668,0.8022,20100930,0.8294
20100831,3336,2.7301,20100930,2.5906
20100831,1098,2.9939,20100930,3.1857
20100831,173,1.7515,20100930,2.1169
20100831,680,0.0553,20100930,0.0553
20100831,1777,0.7674,20100930,0.8245
20100831,2300,1.6402,20100930,2.0098
20100930,1238,1.2508,20101029,1.3397
20100930,1168,1.21,20101029,1.12
20100930,1668,0.8294,20101029,0.8362
20100930,3336,2.5906,20101029,2.4777
20100930,581,2.2088,20101029,2.1194
20100930,1098,3.1857,20101029,3.2886
20100930,1628,0.8385,20101029,0.8317
20100930,173,2.1169,20101029,2.02
20100930,680,0.0553,20101029,0.066
20100930,1777,0.8245,20101029,0.7928
20101029,1238,1.3397,20101130,1.3337
20101029,1168,1.12,20101130,1.15
20101029,1668,0.8362,20101130,0.8974
20101029,581,2.1194,20101130,2.0024
20101029,3336,2.4777,20101130,2.119
20101029,1098,3.2886,20101130,3.2652
20101029,1628,0.8317,20101130,0.8351
20101029,173,2.02,20101130,2.0131
20101029,1777,0.7928,20101130,0.8182
20101029,34,4.4041,20101130,4.3322
20101130,1238,1.3337,20101231,1.4879
20101130,1168,1.15,20101231,1.13
20101130,3336,2.119,20101231,2.5574
20101130,581,2.0024,20101231,2.1744
20101130,1668,0.8974,20101231,0.9994
20101130,1098,3.2652,20101231,3.2278
20101130,1628,0.8351,20101231,0.8351
20101130,173,2.0131,20101231,2.0062
20101130,680,0.0582,20101231,0.0553
20101130,1777,0.8182,20101231,0.8752
20101231,1238,1.4879,20110131,1.5827
20101231,1168,1.13,20110131,1.12
20101231,3336,2.5574,20110131,2.3847
20101231,1668,0.9994,20110131,0.9858
20101231,1098,3.2278,20110131,3.2932
20101231,1966,1.2924,20110131,1.2051
20101231,1628,0.8351,20110131,0.8489
20101231,173,2.0062,20110131,2.3175
20101231,1777,0.8752,20110131,0.8372
20110131,1238,1.5827,20110228,1.4108
20110131,1168,1.12,20110228,0.95
20110131,3336,2.3847,20110228,1.9994
20110131,1668,0.9858,20110228,0.8702
20110131,1098,3.2932,20110228,3.1669
20110131,1966,1.2051,20110228,1.1701
20110131,1628,0.8489,20110228,0.7561
20110131,173,2.3175,20110228,2.3452
20110131,1777,0.8372,20110228,0.7357
20110131,2300,2.0268,20110228,1.9385
20110228,1238,1.4108,20110331,1.5056
20110228,1168,0.95,20110331,0.91
20110228,3336,1.9994,20110331,1.6939
20110228,1668,0.8702,20110331,0.8566
20110228,1098,3.1669,20110331,3.1342
20110228,1966,1.1701,20110331,1.2051
20110228,1628,0.7561,20110331,0.811
20110228,904,248.0708,20110331,259.8644
20110228,1777,0.7357,20110331,0.8055
20110228,173,2.3452,20110331,2.1722
20110331,1238,1.5056,20110429,1.4167
20110331,1628,0.811,20110429,0.9038
20110331,1668,0.8566,20110429,0.8634
20110331,1168,0.91,20110429,0.81
20110331,1098,3.1342,20110429,3.209
20110331,3336,1.6939,20110429,1.7072
20110331,1133,6.8921,20110429,6.8578
20110429,1238,1.4167,20110531,1.3936
20110429,1668,0.8634,20110531,0.8566
20110429,285,3.824,20110531,3.6707
20110429,338,1.6652,20110531,1.5355
20110429,1098,3.209,20110531,3.0207
20110429,1133,6.8578,20110531,8.3929
20110531,1238,1.3936,20110630,1.3508
20110531,1668,0.8566,20110630,0.8294
20110531,285,3.6707,20110630,2.9311
20110531,1098,3.0207,20110630,2.7835
20110531,338,1.5355,20110630,1.4792
20110531,1093,2.8704,20110630,2.7732
20110630,1238,1.3508,20110729,1.363
20110630,1668,0.8294,20110729,0.8634
20110630,285,2.9311,20110729,2.6155
20110630,904,191.1366,20110729,197.2367
20110630,1098,2.7835,20110729,2.8126
20110630,338,1.4792,20110729,1.4762
20110630,1093,2.7732,20110729,2.6386
20110729,2678,2.3726,20110831,1.7549
20110729,1668,0.8634,20110831,0.8876
20110729,658,5.3281,20110831,3.8616
20110729,285,2.6155,20110831,2.0292
20110729,2208,3.6288,20110831,2.4487
20110729,904,197.2367,20110831,108.9885
20110729,1098,2.8126,20110831,2.6187
20110729,338,1.4762,20110831,1.3823
20110729,1093,2.6386,20110831,2.093
20110831,347,3.8882,20110930,2.8368
20110831,1238,1.1063,20110930,0.8068
20110831,2678,1.7549,20110930,1.2886
20110831,904,108.9885,20110930,68.4453
20110831,285,2.0292,20110930,1.7767
20110831,658,3.8616,20110930,3.393
20110831,2208,2.4487,20110930,2.2599
20110831,1098,2.6187,20110930,2.1444
20110831,1093,2.093,20110930,1.4202
20110831,338,1.3823,20110930,1.2973
20110930,347,2.8368,20111031,3.3129
20110930,682,0,20111031,0
20110930,1238,0.8068,20111031,0.764
20110930,2678,1.2886,20111031,1.7231
20110930,904,68.4453,20111031,103.0905
20110930,893,1.2572,20111031,1.5832
20110930,285,1.7767,20111031,2.5433
20110930,658,3.393,20111031,4.3302
20110930,1098,2.1444,20111031,2.1394
20110930,2208,2.2599,20111031,2.9208
20111031,347,3.3129,20111130,3.227
20111031,682,0,20111130,0
20111031,1238,0.764,20111130,0.6234
20111031,2678,1.7231,20111130,1.4359
20111031,904,103.0905,20111130,96.753
20111031,1668,0.7767,20111130,0.6865
20111031,1098,2.1394,20111130,2.1293
20111031,285,2.5433,20111130,2.2457
20111031,1093,1.6146,20111130,1.5548
20111130,347,3.227,20111230,3.7361
20111130,1238,0.6234,20111230,0.6234
20111130,682,0,20111230,0
20111130,2678,1.4359,20111230,1.3549
20111130,904,96.753,20111230,84.9229
20111130,658,3.4451,20111230,2.9504
20111130,285,2.2457,20111230,1.9932
20111130,1098,2.1293,20111230,2.2655
20111230,1238,0.6234,20120131,0.6173
20111230,682,0,20120131,0
20111230,2678,1.3549,20120131,1.377
20111230,904,84.9229,20120131,92.9505
20111230,658,2.9504,20120131,3.636
20111230,285,1.9932,20120131,2.372
20111230,1098,2.2655,20120131,2.2908
20120131,347,3.8353,20120229,4.0205
20120131,163,0.7726,20120229,0.9297
20120131,2678,1.377,20120229,1.9587
20120131,904,92.9505,20120229,129.7082
20120131,658,3.636,20120229,4.5298
20120131,1098,2.2908,20120229,2.6692
20120131,285,2.372,20120229,2.7598
20120229,347,4.0205,20120330,3.1741
20120229,163,0.9297,20120330,0.848
20120229,2678,1.9587,20120330,1.5464
20120229,1668,0.7628,20120330,0.7212
20120229,904,129.7082,20120330,100.5555
20120229,1098,2.6692,20120330,2.5481
20120229,658,4.5298,20120330,3.5752
20120229,2010,2.3671,20120330,2.0806
20120229,338,1.3018,20120330,1.2391
20120229,923,0,20120330,0
20120330,926,0.4303,20120430,0.4121
20120330,347,3.1741,20120430,3.5047
20120330,163,0.848,20120430,0.8606
20120330,1668,0.7212,20120430,0.735
20120330,904,100.5555,20120430,99.288
20120330,2010,2.0806,20120430,1.8701
20120330,1733,21.4407,20120430,24.1548
20120330,1393,2.6725,20120430,2.5763
20120430,323,1.7439,20120531,1.5279
