,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20120831,01733,13.5997,20120928,14.2866
1,20120831,00163,1.0238,20120928,1.2441
2,20120831,00173,2.3098,20120928,2.7000
3,20120831,00904,72.2479,20120928,73.9379
4,20120831,01668,0.8079,20120928,0.8153
5,20120831,02010,1.8710,20120928,2.0351
6,20120831,00743,2.0779,20120928,2.3420
7,20120831,00067,50.3511,20120928,51.4954
8,20120831,02777,4.5458,20120928,4.5178
9,20120831,00082,0.5838,20120928,0.5838
10,20120831,00555,0.4694,20120928,0.5226
11,20120831,00238,1.0996,20120928,1.0583
12,20120831,00732,0.8702,20120928,0.9531
13,20120928,01733,14.2866,20121031,16.8966
14,20120928,00163,1.2441,20121031,1.1663
15,20120928,00904,73.9379,20121031,73.9379
16,20120928,00173,2.7000,20121031,2.4805
17,20120928,01668,0.8153,20121031,0.9413
18,20120928,02010,2.0351,20121031,2.3283
19,20120928,00067,51.4954,20121031,59.8873
20,20120928,00743,2.3420,20121031,2.3063
21,20120928,02777,4.5178,20121031,4.8558
22,20120928,00555,0.5226,20121031,0.4951
23,20120928,00082,0.5838,20121031,0.6346
24,20120928,00238,1.0583,20121031,1.0721
25,20120928,00732,0.9531,20121031,1.0107
26,20121031,01733,16.8966,20121130,16.4845
27,20121031,00163,1.1663,20121130,1.3737
28,20121031,00904,73.9379,20121130,59.9953
29,20121031,00173,2.4805,20121130,2.8097
30,20121031,01668,0.9413,20121130,0.8894
31,20121031,02010,2.3283,20121130,2.3714
32,20121031,00067,59.8873,20121130,60.2687
33,20121031,00555,0.4951,20121130,0.4951
34,20121031,02777,4.8558,20121130,6.3003
35,20121031,00238,1.0721,20121130,1.0652
36,20121031,00082,0.6346,20121130,0.6008
37,20121031,00743,2.3063,20121130,2.3635
38,20121031,00732,1.0107,20121130,1.1792
39,20121130,01733,16.4845,20121231,17.5835
40,20121130,00163,1.3737,20121231,1.4265
41,20121130,00904,59.9953,20121231,70.1354
42,20121130,00173,2.8097,20121231,2.7219
43,20121130,01668,0.8894,20121231,0.8746
44,20121130,02010,2.3714,20121231,2.4146
45,20121130,00067,60.2687,20121231,63.7018
46,20121130,00555,0.4951,20121231,0.5401
47,20121130,00238,1.0652,20121231,1.0099
48,20121130,00082,0.6008,20121231,0.6177
49,20121130,00743,2.3635,20121231,2.7705
50,20121130,00732,1.1792,20121231,1.4571
51,20121231,01733,17.5835,20130131,17.1714
52,20121231,00163,1.4265,20130131,1.6322
53,20121231,00173,2.7219,20130131,3.3658
54,20121231,01668,0.8746,20130131,0.9116
55,20121231,02010,2.4146,20130131,2.3283
56,20121231,00555,0.5401,20130131,0.6031
57,20121231,00067,63.7018,20130131,72.4751
58,20121231,00082,0.6177,20130131,0.5838
59,20121231,00743,2.7705,20130131,2.8133
60,20130131,01733,17.1714,20130228,14.9735
61,20130131,00163,1.6322,20130228,1.5791
62,20130131,00173,3.3658,20130228,3.1683
63,20130131,01668,0.9116,20130228,0.9561
64,20130131,02010,2.3283,20130228,1.9920
65,20130131,01368,2.2354,20130228,2.0395
66,20130131,00082,0.5838,20130228,0.5585
67,20130131,00067,72.4751,20130228,68.6606
68,20130131,00555,0.6031,20130228,0.6211
69,20130131,00743,2.8133,20130228,2.8990
70,20130228,01733,14.9735,20130328,13.0503
71,20130228,00163,1.5791,20130328,1.4265
72,20130228,00173,3.1683,20130328,3.1097
73,20130228,01668,0.9561,20130328,0.9635
74,20130228,02010,1.9920,20130328,1.7506
75,20130228,01368,2.0395,20130328,2.0260
76,20130228,00082,0.5585,20130328,0.4823
77,20130228,00067,68.6606,20130328,64.4647
78,20130228,00555,0.6211,20130328,0.6121
79,20130228,03983,3.2427,20130328,3.3179
80,20130228,00743,2.8990,20130328,2.7848
81,20130328,00082,0.4823,20130430,0.4823
82,20130328,01733,13.0503,20130430,9.8907
83,20130328,00163,1.4265,20130430,1.4531
84,20130328,00173,3.1097,20130430,3.0732
85,20130328,01668,0.9635,20130430,0.9783
86,20130328,02010,1.7506,20130430,1.7678
87,20130328,00067,64.4647,20130430,64.4647
88,20130328,00691,4.1754,20130430,3.9822
89,20130328,00555,0.6121,20130430,0.5851
90,20130328,00861,6.0790,20130430,5.6158
91,20130328,03983,3.3179,20130430,3.1743
92,20130430,00163,1.4531,20130531,1.5659
93,20130430,01668,0.9783,20130531,1.3192
94,20130430,00034,5.9393,20130531,5.8811
95,20130430,00555,0.5851,20130531,0.5401
96,20130430,00861,5.6158,20130531,6.3337
97,20130531,00163,1.5659,20130628,1.4199
98,20130531,01668,1.3192,20130628,1.2600
99,20130531,00034,5.8811,20130628,5.8229
100,20130531,00555,0.5401,20130628,0.4744
101,20130628,00163,1.4199,20130731,1.4332
102,20130628,01668,1.2600,20130731,1.4008
103,20130628,00555,0.4744,20130731,0.4562
104,20130628,00034,5.8229,20130731,5.6507
105,20130731,00163,1.4332,20130830,1.3559
106,20130731,00884,0.8945,20130830,0.9276
107,20130731,01668,1.4008,20130830,1.5490
108,20130731,00555,0.4562,20130830,0.5200
109,20130731,00034,5.6507,20130830,5.6023
110,20130830,00163,1.3559,20130930,1.5126
111,20130830,00884,0.9276,20130930,0.8680
112,20130830,01668,1.5490,20130930,1.8370
113,20130830,00555,0.5200,20130930,0.5474
114,20130830,00034,5.6023,20130930,5.9952
115,20130930,00163,1.5126,20131031,1.5194
116,20130930,00884,0.8680,20131031,1.0005
117,20130930,00034,5.9952,20131031,5.8285
118,20130930,00555,0.5474,20131031,0.6266
119,20131031,00163,1.5194,20131129,1.5467
120,20131031,00884,1.0005,20131129,1.0535
121,20131031,00034,5.8285,20131129,5.8532
122,20131031,00555,0.6266,20131129,0.7949
123,20131129,00163,1.5467,20131231,1.4671
124,20131129,00884,1.0535,20131231,1.0800
125,20131129,01668,1.5568,20131231,1.7125
126,20131129,00034,5.8532,20131231,5.8964
127,20131129,00555,0.7949,20131231,0.9632
128,20131231,00163,1.4671,20140130,1.4252
129,20131231,00884,1.0800,20140130,1.0402
130,20131231,01668,1.7125,20140130,2.9423
131,20131231,00034,5.8964,20140130,5.5074
132,20131231,01818,4.0923,20140130,4.2315
133,20140130,00163,1.4252,20140228,1.4252
134,20140130,00884,1.0402,20140228,1.0336
135,20140130,00034,5.5074,20140228,5.7358
136,20140130,00552,3.3341,20140228,3.0054
137,20140130,01224,1.4571,20140228,1.5008
138,20140228,00163,1.4252,20140331,1.3274
139,20140228,00884,1.0336,20140331,1.0071
140,20140228,00034,5.7358,20140331,5.7420
141,20140228,00552,3.0054,20140331,2.8801
142,20140331,00163,1.3274,20140430,1.2296
143,20140331,00034,5.7420,20140430,5.8655
144,20140331,01224,1.4746,20140430,1.2913
145,20140331,00552,2.8801,20140430,2.9975
146,20140331,01728,3.4186,20140430,3.4186
147,20140430,00163,1.2296,20140530,1.1877
