,开仓日期,开仓标的,开仓价格,平仓日期,平仓价格
0,20100129,01138,10.2473,20100226,11.1865
1,20100129,00552,2.7075,20100226,2.6608
2,20100129,03323,5.0296,20100226,5.2843
3,20100226,00552,2.6608,20100331,2.6341
4,20100226,01138,11.1865,20100331,10.8678
5,20100226,03323,5.2843,20100331,5.9687
6,20100331,00552,2.6341,20100430,2.6275
7,20100430,00173,1.8728,20100531,1.6610
8,20100430,03323,5.2047,20100531,5.0091
9,20100430,00552,2.6275,20100531,2.3785
10,20100430,00390,4.2938,20100531,4.2297
11,20100430,00691,3.3107,20100531,3.3022
12,20100531,00173,1.6610,20100630,1.6618
13,20100531,00552,2.3785,20100630,2.6066
14,20100531,03323,5.0091,20100630,4.9209
15,20100531,00390,4.2297,20100630,3.9814
16,20100630,01238,1.3515,20100730,1.3397
17,20100630,01168,1.1400,20100730,1.1900
18,20100630,01628,0.8660,20100730,0.8557
19,20100630,00173,1.6618,20100730,1.9859
20,20100630,00743,2.4543,20100730,2.5599
21,20100630,00552,2.6066,20100730,2.7311
22,20100630,00691,3.0256,20100730,3.6826
23,20100630,02009,3.2608,20100730,3.7859
24,20100730,01238,1.3397,20100831,1.2923
25,20100730,01168,1.1900,20100831,1.1300
26,20100730,01628,0.8557,20100831,0.8420
27,20100730,01668,0.7959,20100831,0.8022
28,20100730,00173,1.9859,20100831,1.7515
29,20100730,00743,2.5599,20100831,2.2102
30,20100730,00552,2.7311,20100831,2.6965
31,20100730,00691,3.6826,20100831,3.7345
32,20100730,02009,3.7859,20100831,3.9895
33,20100831,01238,1.2923,20100930,1.2508
34,20100831,01168,1.1300,20100930,1.2100
35,20100831,01668,0.8022,20100930,0.8294
36,20100831,00173,1.7515,20100930,2.1169
37,20100831,01628,0.8420,20100930,0.8385
38,20100831,00680,0.0553,20100930,0.0553
39,20100831,01777,0.7674,20100930,0.8245
40,20100831,00904,282.4705,20100930,298.3843
41,20100831,00743,2.2102,20100930,2.4411
42,20100831,00552,2.6965,20100930,3.0975
43,20100831,00893,2.4724,20100930,3.2233
44,20100831,00691,3.7345,20100930,4.2185
45,20100930,01238,1.2508,20101029,1.3397
46,20100930,01168,1.2100,20101029,1.1200
47,20100930,01668,0.8294,20101029,0.8362
48,20100930,01628,0.8385,20101029,0.8317
49,20100930,00173,2.1169,20101029,2.0200
50,20100930,00680,0.0553,20101029,0.0660
51,20100930,01777,0.8245,20101029,0.7928
52,20100930,00904,298.3843,20101029,316.2247
53,20100930,00743,2.4411,20101029,2.3289
54,20100930,00552,3.0975,20101029,3.1459
55,20100930,00691,4.2185,20101029,4.7632
56,20101029,01238,1.3397,20101130,1.3337
57,20101029,01168,1.1200,20101130,1.1500
58,20101029,01668,0.8362,20101130,0.8974
59,20101029,01628,0.8317,20101130,0.8351
60,20101029,00173,2.0200,20101130,2.0131
61,20101029,01777,0.7928,20101130,0.8182
62,20101029,00904,316.2247,20101130,322.2595
63,20101029,00680,0.0660,20101130,0.0582
64,20101029,03888,3.3715,20101130,3.5002
65,20101029,00552,3.1459,20101130,3.3326
66,20101029,02009,4.5024,20101130,4.4698
67,20101130,01238,1.3337,20101231,1.4879
68,20101130,01168,1.1500,20101231,1.1300
69,20101130,01668,0.8974,20101231,0.9994
70,20101130,02313,6.5553,20101231,6.9182
71,20101130,01628,0.8351,20101231,0.8351
72,20101130,00173,2.0131,20101231,2.0062
73,20101130,00680,0.0582,20101231,0.0553
74,20101130,01777,0.8182,20101231,0.8752
75,20101130,00904,322.2595,20101231,311.7991
76,20101130,00552,3.3326,20101231,3.3049
77,20101231,01238,1.4879,20110131,1.5827
78,20101231,01168,1.1300,20110131,1.1200
79,20101231,01668,0.9994,20110131,0.9858
80,20101231,01966,1.2924,20110131,1.2051
81,20101231,01628,0.8351,20110131,0.8489
82,20101231,00173,2.0062,20110131,2.3175
83,20101231,01382,2.1837,20110131,2.1449
84,20101231,03888,3.3115,20110131,3.7061
85,20101231,00904,311.7991,20110131,304.1918
86,20101231,01777,0.8752,20110131,0.8372
87,20101231,00552,3.3049,20110131,3.3049
88,20101231,01717,2.3133,20110131,2.4119
89,20101231,02009,4.0668,20110131,4.2826
90,20110131,01238,1.5827,20110228,1.4108
91,20110131,01168,1.1200,20110228,0.9500
92,20110131,01668,0.9858,20110228,0.8702
93,20110131,01966,1.2051,20110228,1.1701
94,20110131,01628,0.8489,20110228,0.7561
95,20110131,01382,2.1449,20110228,1.8773
96,20110131,00173,2.3175,20110228,2.3452
97,20110131,00904,304.1918,20110228,248.0708
98,20110131,01777,0.8372,20110228,0.7357
99,20110131,01899,4.4640,20110228,3.9802
100,20110131,00552,3.3049,20110228,3.3879
101,20110131,00425,8.9947,20110228,9.0404
102,20110131,00893,3.1684,20110228,2.7288
103,20110131,02009,4.2826,20110228,4.1930
104,20110228,01238,1.4108,20110331,1.5056
105,20110228,01168,0.9500,20110331,0.9100
106,20110228,01668,0.8702,20110331,0.8566
107,20110228,01966,1.1701,20110331,1.2051
108,20110228,01628,0.7561,20110331,0.8110
109,20110228,01382,1.8773,20110331,1.9162
110,20110228,00904,248.0708,20110331,259.8644
111,20110228,01777,0.7357,20110331,0.8055
112,20110228,00173,2.3452,20110331,2.1722
113,20110228,01899,3.9802,20110331,4.2797
114,20110228,01717,2.0174,20110331,2.2416
115,20110228,00893,2.7288,20110331,3.1409
116,20110228,00552,3.3879,20110331,3.7405
117,20110331,01238,1.5056,20110429,1.4167
118,20110331,01638,2.3679,20110429,2.4956
119,20110331,01628,0.8110,20110429,0.9038
120,20110331,01668,0.8566,20110429,0.8634
121,20110331,01168,0.9100,20110429,0.8100
122,20110331,01382,1.9162,20110429,2.1190
123,20110331,00904,259.8644,20110429,272.8779
124,20110331,00893,3.1409,20110429,3.3805
125,20110331,01899,4.2797,20110429,5.1840
126,20110331,00743,3.2130,20110429,4.0575
127,20110331,00552,3.7405,20110429,3.2565
128,20110429,01638,2.4956,20110531,2.3849
129,20110429,01668,0.8634,20110531,0.8566
130,20110429,00338,1.6652,20110531,1.5355
131,20110429,01382,2.1190,20110531,2.2010
132,20110429,00658,8.8940,20110531,8.0801
133,20110429,00904,272.8779,20110531,253.7643
134,20110429,00555,0.6961,20110531,0.6789
135,20110429,00552,3.2565,20110531,3.5213
136,20110429,00425,9.0709,20110531,8.2764
137,20110531,01638,2.3849,20110630,2.3338
138,20110531,01668,0.8566,20110630,0.8294
139,20110531,00338,1.5355,20110630,1.4792
140,20110531,00658,8.0801,20110630,7.5236
141,20110531,00904,253.7643,20110630,191.1366
142,20110531,00893,2.6634,20110630,2.7472
143,20110531,00555,0.6789,20110630,0.6408
144,20110531,00425,8.2764,20110630,9.3695
145,20110531,00177,5.2153,20110630,4.5793
146,20110630,02678,3.6852,20110729,2.3726
147,20110630,01668,0.8294,20110729,0.8634
148,20110630,00904,191.1366,20110729,197.2367
149,20110630,00658,7.5236,20110729,5.3281
150,20110630,00338,1.4792,20110729,1.4762
151,20110630,02208,5.0155,20110729,3.6288
152,20110630,00555,0.6408,20110729,0.5629
153,20110630,00893,2.7472,20110729,2.6448
154,20110630,00177,4.5793,20110729,4.7574
155,20110630,00552,3.2433,20110729,2.8299
156,20110630,01899,4.5397,20110729,3.2510
157,20110630,01733,43.4811,20110729,41.0950
158,20110729,02678,2.3726,20110831,1.7549
159,20110729,01668,0.8634,20110831,0.8876
160,20110729,00658,5.3281,20110831,3.8616
161,20110729,02208,3.6288,20110831,2.4487
162,20110729,00904,197.2367,20110831,108.9885
163,20110729,00338,1.4762,20110831,1.3823
164,20110729,01361,2.5710,20110831,2.8299
165,20110729,00555,0.5629,20110831,0.4416
166,20110729,01899,3.2510,20110831,2.4543
167,20110729,00893,2.6448,20110831,2.0488
168,20110729,01308,2.0044,20110831,1.5078
169,20110729,02010,3.2136,20110831,2.7199
170,20110729,00552,2.8299,20110831,2.6374
171,20110729,00923,1.6828,20110831,1.3506
172,20110729,00177,4.7574,20110831,4.4203
173,20110729,01733,41.0950,20110831,29.5619
174,20110729,02005,0.9321,20110831,0.7498
175,20110831,02678,1.7549,20110930,1.2886
176,20110831,00658,3.8616,20110930,3.3930
177,20110831,02208,2.4487,20110930,2.2599
178,20110831,01668,0.8876,20110930,0.7420
179,20110831,00555,0.4416,20110930,0.4113
180,20110831,00893,2.0488,20110930,1.2572
181,20110831,00338,1.3823,20110930,1.2973
182,20110831,02010,2.7199,20110930,2.3418
183,20110831,01308,1.5078,20110930,1.0052
