开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,1138,10.2473,20100226,11.1865
20100129,552,2.7075,20100226,2.6608
20100129,3323,5.0296,20100226,5.2843
20100226,552,2.6608,20100331,2.6341
20100226,1138,11.1865,20100331,10.8678
20100226,3323,5.2843,20100331,5.9687
20100331,552,2.6341,20100430,2.6275
20100430,173,1.8728,20100531,1.661
20100430,3323,5.2047,20100531,5.0091
20100430,552,2.6275,20100531,2.3785
20100430,390,4.2938,20100531,4.2297
20100430,691,3.3107,20100531,3.3022
20100531,173,1.661,20100630,1.6618
20100531,552,2.3785,20100630,2.6066
20100531,3323,5.0091,20100630,4.9209
20100531,390,4.2297,20100630,3.9814
20100630,1238,1.3515,20100730,1.3397
20100630,1168,1.14,20100730,1.19
20100630,1628,0.866,20100730,0.8557
20100630,173,1.6618,20100730,1.9859
20100630,743,2.4543,20100730,2.5599
20100630,552,2.6066,20100730,2.7311
20100630,691,3.0256,20100730,3.6826
20100630,2009,3.2608,20100730,3.7859
20100730,1238,1.3397,20100831,1.2923
20100730,1168,1.19,20100831,1.13
20100730,1628,0.8557,20100831,0.842
20100730,1668,0.7959,20100831,0.8022
20100730,173,1.9859,20100831,1.7515
20100730,743,2.5599,20100831,2.2102
20100730,552,2.7311,20100831,2.6965
20100730,691,3.6826,20100831,3.7345
20100730,2009,3.7859,20100831,3.9895
20100831,1238,1.2923,20100930,1.2508
20100831,1168,1.13,20100930,1.21
20100831,1668,0.8022,20100930,0.8294
20100831,173,1.7515,20100930,2.1169
20100831,1628,0.842,20100930,0.8385
20100831,680,0.0553,20100930,0.0553
20100831,1777,0.7674,20100930,0.8245
20100831,904,282.4705,20100930,298.3843
20100831,743,2.2102,20100930,2.4411
20100831,552,2.6965,20100930,3.0975
20100831,893,2.4724,20100930,3.2233
20100831,691,3.7345,20100930,4.2185
20100930,1238,1.2508,20101029,1.3397
20100930,1168,1.21,20101029,1.12
20100930,1668,0.8294,20101029,0.8362
20100930,1628,0.8385,20101029,0.8317
20100930,173,2.1169,20101029,2.02
20100930,680,0.0553,20101029,0.066
20100930,1777,0.8245,20101029,0.7928
20100930,904,298.3843,20101029,316.2247
20100930,743,2.4411,20101029,2.3289
20100930,552,3.0975,20101029,3.1459
20100930,691,4.2185,20101029,4.7632
20101029,1238,1.3397,20101130,1.3337
20101029,1168,1.12,20101130,1.15
20101029,1668,0.8362,20101130,0.8974
20101029,1628,0.8317,20101130,0.8351
20101029,173,2.02,20101130,2.0131
20101029,1777,0.7928,20101130,0.8182
20101029,904,316.2247,20101130,322.2595
20101029,680,0.066,20101130,0.0582
20101029,3888,3.3715,20101130,3.5002
20101029,552,3.1459,20101130,3.3326
20101029,2009,4.5024,20101130,4.4698
20101130,1238,1.3337,20101231,1.4879
20101130,1168,1.15,20101231,1.13
20101130,1668,0.8974,20101231,0.9994
20101130,2313,6.5553,20101231,6.9182
20101130,1628,0.8351,20101231,0.8351
20101130,173,2.0131,20101231,2.0062
20101130,680,0.0582,20101231,0.0553
20101130,1777,0.8182,20101231,0.8752
20101130,904,322.2595,20101231,311.7991
20101130,552,3.3326,20101231,3.3049
20101231,1238,1.4879,20110131,1.5827
20101231,1168,1.13,20110131,1.12
20101231,1668,0.9994,20110131,0.9858
20101231,1966,1.2924,20110131,1.2051
20101231,1628,0.8351,20110131,0.8489
20101231,173,2.0062,20110131,2.3175
20101231,1382,2.1837,20110131,2.1449
20101231,3888,3.3115,20110131,3.7061
20101231,904,311.7991,20110131,304.1918
20101231,1777,0.8752,20110131,0.8372
20101231,552,3.3049,20110131,3.3049
20101231,1717,2.3133,20110131,2.4119
20101231,2009,4.0668,20110131,4.2826
20110131,1238,1.5827,20110228,1.4108
20110131,1168,1.12,20110228,0.95
20110131,1668,0.9858,20110228,0.8702
20110131,1966,1.2051,20110228,1.1701
20110131,1628,0.8489,20110228,0.7561
20110131,1382,2.1449,20110228,1.8773
20110131,173,2.3175,20110228,2.3452
20110131,904,304.1918,20110228,248.0708
20110131,1777,0.8372,20110228,0.7357
20110131,1899,4.464,20110228,3.9802
20110131,552,3.3049,20110228,3.3879
20110131,425,8.9947,20110228,9.0404
20110131,893,3.1684,20110228,2.7288
20110131,2009,4.2826,20110228,4.193
20110228,1238,1.4108,20110331,1.5056
20110228,1168,0.95,20110331,0.91
20110228,1668,0.8702,20110331,0.8566
20110228,1966,1.1701,20110331,1.2051
20110228,1628,0.7561,20110331,0.811
20110228,1382,1.8773,20110331,1.9162
20110228,904,248.0708,20110331,259.8644
20110228,1777,0.7357,20110331,0.8055
20110228,173,2.3452,20110331,2.1722
20110228,1899,3.9802,20110331,4.2797
20110228,1717,2.0174,20110331,2.2416
20110228,893,2.7288,20110331,3.1409
20110228,552,3.3879,20110331,3.7405
20110331,1238,1.5056,20110429,1.4167
20110331,1638,2.3679,20110429,2.4956
20110331,1628,0.811,20110429,0.9038
20110331,1668,0.8566,20110429,0.8634
20110331,1168,0.91,20110429,0.81
20110331,1382,1.9162,20110429,2.119
20110331,904,259.8644,20110429,272.8779
20110331,893,3.1409,20110429,3.3805
20110331,1899,4.2797,20110429,5.184
20110331,743,3.213,20110429,4.0575
20110331,552,3.7405,20110429,3.2565
20110429,1638,2.4956,20110531,2.3849
20110429,1668,0.8634,20110531,0.8566
20110429,338,1.6652,20110531,1.5355
20110429,1382,2.119,20110531,2.201
20110429,658,8.894,20110531,8.0801
20110429,904,272.8779,20110531,253.7643
20110429,555,0.6961,20110531,0.6789
20110429,552,3.2565,20110531,3.5213
20110429,425,9.0709,20110531,8.2764
20110531,1638,2.3849,20110630,2.3338
20110531,1668,0.8566,20110630,0.8294
20110531,338,1.5355,20110630,1.4792
20110531,658,8.0801,20110630,7.5236
20110531,904,253.7643,20110630,191.1366
20110531,893,2.6634,20110630,2.7472
20110531,555,0.6789,20110630,0.6408
20110531,425,8.2764,20110630,9.3695
20110531,177,5.2153,20110630,4.5793
20110630,2678,3.6852,20110729,2.3726
20110630,1668,0.8294,20110729,0.8634
20110630,904,191.1366,20110729,197.2367
20110630,658,7.5236,20110729,5.3281
20110630,338,1.4792,20110729,1.4762
20110630,2208,5.0155,20110729,3.6288
20110630,555,0.6408,20110729,0.5629
20110630,893,2.7472,20110729,2.6448
20110630,177,4.5793,20110729,4.7574
20110630,552,3.2433,20110729,2.8299
20110630,1899,4.5397,20110729,3.251
20110630,1733,43.4811,20110729,41.095
20110729,2678,2.3726,20110831,1.7549
20110729,1668,0.8634,20110831,0.8876
20110729,658,5.3281,20110831,3.8616
20110729,2208,3.6288,20110831,2.4487
20110729,904,197.2367,20110831,108.9885
20110729,338,1.4762,20110831,1.3823
20110729,1361,2.571,20110831,2.8299
20110729,555,0.5629,20110831,0.4416
20110729,1899,3.251,20110831,2.4543
20110729,893,2.6448,20110831,2.0488
20110729,1308,2.0044,20110831,1.5078
20110729,2010,3.2136,20110831,2.7199
20110729,552,2.8299,20110831,2.6374
20110729,923,1.6828,20110831,1.3506
20110729,177,4.7574,20110831,4.4203
20110729,1733,41.095,20110831,29.5619
20110729,2005,0.9321,20110831,0.7498
20110831,2678,1.7549,20110930,1.2886
20110831,658,3.8616,20110930,3.393
20110831,2208,2.4487,20110930,2.2599
20110831,1668,0.8876,20110930,0.742
20110831,555,0.4416,20110930,0.4113
20110831,893,2.0488,20110930,1.2572
20110831,338,1.3823,20110930,1.2973
20110831,2010,2.7199,20110930,2.3418
20110831,1308,1.5078,20110930,1.0052
20110831,1733,29.5619,20110930,25.1047
20110831,923,1.3506,20110930,1.2783
20110831,552,2.6374,20110930,2.4948
20110831,425,6.7148,20110930,5.9184
20110930,2678,1.2886,20111031,1.7231
20110930,893,1.2572,20111031,1.5832
20110930,658,3.393,20111031,4.3302
20110930,1668,0.742,20111031,0.7767
20110930,2208,2.2599,20111031,2.9208
20110930,1308,1.0052,20111031,1.2239
20110930,67,47.868,20111031,67.6883
20110930,555,0.4113,20111031,0.4982
20110930,1733,25.1047,20111031,34.7394
20110930,1393,2.4033,20111031,3.2685
20110930,338,1.2973,20111031,1.2928
20110930,2010,2.3418,20111031,2.2744
20110930,2005,0.5301,20111031,0.6334
20111031,1638,1.3713,20111130,1.2861
20111031,2678,1.7231,20111130,1.4359
20111031,1668,0.7767,20111130,0.6865
20111031,893,1.5832,20111130,1.4062
20111031,658,4.3302,20111130,3.4451
20111031,2233,1.2045,20111130,1.1795
20111031,555,0.4982,20111130,0.4633
20111031,2010,2.2744,20111130,2.4934
20111031,338,1.2928,20111130,1.2391
20111031,1308,1.2239,20111130,0.952
20111031,67,67.6883,20111130,58.3391
20111031,591,0,20111130,0
20111031,923,1.0978,20111130,0
20111031,2208,2.9208,20111130,2.6316
20111031,2005,0.6334,20111130,0.5989
20111031,552,2.5661,20111130,2.6231
20111031,1393,3.2685,20111130,2.4514
20111130,1638,1.2861,20111230,1.1413
20111130,2678,1.4359,20111230,1.3549
20111130,1668,0.6865,20111230,0.6796
20111130,658,3.4451,20111230,2.9504
20111130,893,1.4062,20111230,1.4341
20111130,1368,1.4393,20111230,1.5377
20111130,1308,0.952,20111230,1.1826
20111130,555,0.4633,20111230,0.4327
20111130,67,58.3391,20111230,53.8514
20111130,338,1.2391,20111230,1.1631
20111130,2010,2.4934,20111230,2.148
20111130,3933,3.7642,20111230,3.9405
20111130,923,0,20111230,0
20111130,1393,2.4514,20111230,2.2303
20111130,2208,2.6316,20111230,2.4015
20111130,591,0,20111230,0
20111130,238,1.1215,20111230,1.0667
20111130,425,5.4421,20111230,5.7076
20111130,2005,0.5989,20111230,0.5852
20111230,1638,1.1413,20120131,1.3117
20111230,2678,1.3549,20120131,1.377
20111230,1668,0.6796,20120131,0.742
20111230,658,2.9504,20120131,3.636
20111230,893,1.4341,20120131,1.5366
20111230,2233,1.0632,20120131,1.0715
20111230,2010,2.148,20120131,2.2407
20111230,555,0.4327,20120131,0.4545
20111230,67,53.8514,20120131,56.8432
20111230,338,1.1631,20120131,1.2347
20111230,1393,2.2303,20120131,2.7205
20111230,1308,1.1826,20120131,1.2121
20111230,2208,2.4015,20120131,2.7379
20111230,923,0,20120131,0
20111230,3933,3.9405,20120131,4.3195
20111230,591,0,20120131,0
20120131,1638,1.3117,20120229,1.5331
20120131,2678,1.377,20120229,1.9587
20120131,1668,0.742,20120229,0.7628
20120131,658,3.636,20120229,4.5298
20120131,1361,1.9769,20120229,2.1584
20120131,893,1.5366,20120229,1.9091
20120131,2233,1.0715,20120229,1.5035
20120131,1368,1.5684,20120229,1.7714
20120131,2010,2.2407,20120229,2.3671
20120131,555,0.4545,20120229,0.5682
20120131,1733,25.7832,20120229,29.7185
20120131,67,56.8432,20120229,76.6635
20120131,338,1.2347,20120229,1.3018
20120131,1308,1.2121,20120229,1.5255
20120131,1899,1.933,20120229,2.4016
20120131,923,0,20120229,0
20120131,2208,2.7379,20120229,3.0093
20120131,1393,2.7205,20120229,3.3069
20120131,3933,4.3195,20120229,4.9366
20120131,238,1.1276,20120229,1.4872
20120229,1638,1.5331,20120330,1.3543
20120229,2678,1.9587,20120330,1.5464
20120229,1668,0.7628,20120330,0.7212
20120229,1361,2.1584,20120330,1.5427
20120229,658,4.5298,20120330,3.5752
20120229,1368,1.7714,20120330,2.0851
20120229,893,1.9091,20120330,1.6949
20120229,2010,2.3671,20120330,2.0806
20120229,338,1.3018,20120330,1.2391
20120229,923,0,20120330,0
20120229,1733,29.7185,20120330,21.4407
20120229,555,0.5682,20120330,0.5769
20120229,2208,3.0093,20120330,2.4605
20120229,1308,1.5255,20120330,1.4072
20120229,67,76.6635,20120330,71.428
20120229,3933,4.9366,20120330,3.2264
20120229,1899,2.4016,20120330,2.1146
20120229,1393,3.3069,20120330,2.6725
20120330,1638,1.3543,20120430,1.3543
20120330,1668,0.7212,20120430,0.735
20120330,2010,2.0806,20120430,1.8701
20120330,893,1.6949,20120430,1.6297
20120330,67,71.428,20120430,54.5994
20120330,1733,21.4407,20120430,24.1548
20120330,1393,2.6725,20120430,2.5763
20120330,923,0,20120430,0
20120330,82,0.8373,20120430,0.8448
20120330,658,3.5752,20120430,3.2455
20120330,1888,1.9705,20120430,1.9652
20120330,238,1.4019,20120430,1.341
20120430,2010,1.8701,20120531,1.76
20120430,1668,0.735,20120531,0.638
20120430,743,2.5922,20120531,2.342
20120430,67,54.5994,20120531,50.8597
20120430,2777,4.9636,20120531,5.1014
20120430,1733,24.1548,20120531,18.591
20120430,173,2.2125,20120531,2.1001
20120430,923,0,20120531,0
20120430,82,0.8448,20120531,0.6267
20120430,555,0.6031,20120531,0.5244
20120430,732,0.9205,20120531,0.8998
20120430,238,1.341,20120531,1.2008
20120531,1668,0.638,20120629,0.7975
20120531,2010,1.76,20120629,1.4695
20120531,743,2.342,20120629,2.4349
20120531,67,50.8597,20120629,47.2995
20120531,1733,18.591,20120629,19.6441
20120531,173,2.1001,20120629,2.1654
20120531,82,0.6267,20120629,0.5264
20120531,923,0,20120629,0
20120531,555,0.5244,20120629,0.4633
20120531,238,1.2008,20120629,1.1465
20120629,2010,1.4695,20120731,1.7941
20120629,1668,0.7975,20120731,0.8113
20120629,743,2.4349,20120731,2.1992
20120629,67,47.2995,20120731,46.1552
20120629,1733,19.6441,20120731,14.8361
20120629,82,0.5264,20120731,0.5097
20120629,173,2.1654,20120731,2.0211
20120629,555,0.4633,20120731,0.4517
20120629,2222,0.2639,20120731,0
20120629,238,1.1465,20120731,1.1733
20120629,923,0,20120731,0
20120629,1361,1.2025,20120731,1.1958
20120731,163,0.9862,20120831,1.0238
20120731,1668,0.8113,20120831,0.8079
20120731,2010,1.7941,20120831,1.871
20120731,743,2.1992,20120831,2.0779
20120731,1733,14.8361,20120831,13.5997
20120731,1368,1.5311,20120831,1.8398
20120731,67,46.1552,20120831,50.3511
20120731,82,0.5097,20120831,0.5838
20120731,555,0.4517,20120831,0.4694
20120731,173,2.0211,20120831,2.3098
20120731,2222,0,20120831,0.2235
20120731,238,1.1733,20120831,1.0996
20120731,1361,1.1958,20120831,1.3772
20120831,1733,13.5997,20120928,14.2866
20120831,163,1.0238,20120928,1.2441
20120831,173,2.3098,20120928,2.7
20120831,904,72.2479,20120928,73.9379
20120831,1668,0.8079,20120928,0.8153
20120831,2010,1.871,20120928,2.0351
20120831,743,2.0779,20120928,2.342
20120831,67,50.3511,20120928,51.4954
20120831,2777,4.5458,20120928,4.5178
20120831,82,0.5838,20120928,0.5838
20120831,555,0.4694,20120928,0.5226
20120831,238,1.0996,20120928,1.0583
20120831,732,0.8702,20120928,0.9531
20120928,1733,14.2866,20121031,16.8966
20120928,163,1.2441,20121031,1.1663
20120928,904,73.9379,20121031,73.9379
20120928,173,2.7,20121031,2.4805
20120928,1668,0.8153,20121031,0.9413
20120928,2010,2.0351,20121031,2.3283
20120928,67,51.4954,20121031,59.8873
20120928,743,2.342,20121031,2.3063
20120928,2777,4.5178,20121031,4.8558
20120928,555,0.5226,20121031,0.4951
20120928,82,0.5838,20121031,0.6346
20120928,238,1.0583,20121031,1.0721
20120928,732,0.9531,20121031,1.0107
20121031,1733,16.8966,20121130,16.4845
20121031,163,1.1663,20121130,1.3737
20121031,904,73.9379,20121130,59.9953
20121031,173,2.4805,20121130,2.8097
20121031,1668,0.9413,20121130,0.8894
20121031,2010,2.3283,20121130,2.3714
20121031,67,59.8873,20121130,60.2687
20121031,555,0.4951,20121130,0.4951
20121031,2777,4.8558,20121130,6.3003
20121031,238,1.0721,20121130,1.0652
20121031,82,0.6346,20121130,0.6008
20121031,743,2.3063,20121130,2.3635
20121031,732,1.0107,20121130,1.1792
20121130,1733,16.4845,20121231,17.5835
20121130,163,1.3737,20121231,1.4265
20121130,904,59.9953,20121231,70.1354
20121130,173,2.8097,20121231,2.7219
20121130,1668,0.8894,20121231,0.8746
20121130,2010,2.3714,20121231,2.4146
20121130,67,60.2687,20121231,63.7018
20121130,555,0.4951,20121231,0.5401
20121130,238,1.0652,20121231,1.0099
20121130,82,0.6008,20121231,0.6177
20121130,743,2.3635,20121231,2.7705
20121130,732,1.1792,20121231,1.4571
20121231,1733,17.5835,20130131,17.1714
20121231,163,1.4265,20130131,1.6322
20121231,173,2.7219,20130131,3.3658
20121231,1668,0.8746,20130131,0.9116
20121231,2010,2.4146,20130131,2.3283
20121231,555,0.5401,20130131,0.6031
20121231,67,63.7018,20130131,72.4751
20121231,82,0.6177,20130131,0.5838
20121231,743,2.7705,20130131,2.8133
20130131,1733,17.1714,20130228,14.9735
20130131,163,1.6322,20130228,1.5791
20130131,173,3.3658,20130228,3.1683
20130131,1668,0.9116,20130228,0.9561
20130131,2010,2.3283,20130228,1.992
20130131,1368,2.2354,20130228,2.0395
20130131,82,0.5838,20130228,0.5585
20130131,67,72.4751,20130228,68.6606
20130131,555,0.6031,20130228,0.6211
20130131,743,2.8133,20130228,2.899
20130228,1733,14.9735,20130328,13.0503
20130228,163,1.5791,20130328,1.4265
20130228,173,3.1683,20130328,3.1097
20130228,1668,0.9561,20130328,0.9635
20130228,2010,1.992,20130328,1.7506
20130228,1368,2.0395,20130328,2.026
20130228,82,0.5585,20130328,0.4823
20130228,67,68.6606,20130328,64.4647
20130228,555,0.6211,20130328,0.6121
20130228,3983,3.2427,20130328,3.3179
20130228,743,2.899,20130328,2.7848
20130328,82,0.4823,20130430,0.4823
20130328,1733,13.0503,20130430,9.8907
20130328,163,1.4265,20130430,1.4531
20130328,173,3.1097,20130430,3.0732
20130328,1668,0.9635,20130430,0.9783
20130328,2010,1.7506,20130430,1.7678
20130328,67,64.4647,20130430,64.4647
20130328,691,4.1754,20130430,3.9822
20130328,555,0.6121,20130430,0.5851
20130328,861,6.079,20130430,5.6158
20130328,3983,3.3179,20130430,3.1743
20130430,163,1.4531,20130531,1.5659
20130430,1668,0.9783,20130531,1.3192
20130430,34,5.9393,20130531,5.8811
20130430,555,0.5851,20130531,0.5401
20130430,861,5.6158,20130531,6.3337
20130531,163,1.5659,20130628,1.4199
20130531,1668,1.3192,20130628,1.26
20130531,34,5.8811,20130628,5.8229
20130531,555,0.5401,20130628,0.4744
20130628,163,1.4199,20130731,1.4332
20130628,1668,1.26,20130731,1.4008
20130628,555,0.4744,20130731,0.4562
20130628,34,5.8229,20130731,5.6507
20130731,163,1.4332,20130830,1.3559
20130731,884,0.8945,20130830,0.9276
20130731,1668,1.4008,20130830,1.549
20130731,555,0.4562,20130830,0.52
20130731,34,5.6507,20130830,5.6023
