开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,386,2.6445,20100226,2.5881
20100129,659,4.8106,20100226,4.8474
20100226,386,2.5881,20100331,2.7745
20100226,659,4.8474,20100331,5.692
20100331,87,10.3849,20100430,10.0961
20100331,127,3.0195,20100430,3.0613
20100331,19,55.3997,20100430,52.1202
20100331,2678,1.4995,20100430,2.1936
20100331,386,2.7745,20100430,2.6965
20100331,659,5.692,20100430,5.2568
20100331,86,3.4827,20100430,4.5241
20100331,14,15.4754,20100430,16.0256
20100331,34,4.9731,20100430,4.7893
20100331,902,2.7324,20100430,2.6613
20100430,87,10.0961,20100531,9.7774
20100430,127,3.0613,20100531,3.0034
20100430,242,3.0542,20100531,2.8178
20100430,19,52.1202,20100531,52.0311
20100430,272,2.1821,20100531,2.0656
20100430,410,1.7704,20100531,1.7238
20100430,659,5.2568,20100531,5.2415
20100430,173,1.8728,20100531,1.661
20100430,386,2.6965,20100531,2.6878
20100430,14,16.0256,20100531,14.2636
20100531,87,9.7774,20100630,10.2724
20100531,127,3.0034,20100630,3.1893
20100531,242,2.8178,20100630,2.7674
20100531,272,2.0656,20100630,2.0841
20100531,410,1.7238,20100630,1.8066
20100531,173,1.661,20100630,1.6618
20100531,868,1.5093,20100630,1.5093
20100531,659,5.2415,20100630,5.3256
20100531,34,4.0238,20100630,3.8683
20100531,14,14.2636,20100630,15.5667
20100630,480,1.7827,20100730,1.991
20100630,1238,1.3515,20100730,1.3397
20100630,242,2.7674,20100730,2.9941
20100630,127,3.1893,20100730,3.3474
20100630,1168,1.14,20100730,1.19
20100630,19,52.8131,20100730,55.941
20100630,983,7.1133,20100730,7.8973
20100630,272,2.0841,20100730,2.1766
20100630,1098,2.7424,20100730,3.0199
20100630,53,51.2661,20100730,52.1547
20100730,480,1.991,20100831,1.9712
20100730,1238,1.3397,20100831,1.2923
20100730,242,2.9941,20100831,3.1932
20100730,127,3.3474,20100831,3.1382
20100730,19,55.941,20100831,56.4523
20100730,983,7.8973,20100831,7.3444
20100730,272,2.1766,20100831,2.0902
20100730,53,52.1547,20100831,53.0433
20100730,581,1.5138,20100831,1.734
20100730,410,2.0221,20100831,2.0387
20100831,480,1.9712,20100930,2.2383
20100831,1238,1.2923,20100930,1.2508
20100831,19,56.4523,20100930,65.5908
20100831,272,2.0902,20100930,2.4044
20100831,581,1.734,20100930,2.2088
20100831,242,3.1932,20100930,3.3718
20100831,1098,3.0522,20100930,3.2478
20100831,53,53.0433,20100930,57.4522
20100831,656,4.501,20100930,4.8264
20100831,1093,2.7735,20100930,2.8584
20100930,1238,1.2508,20101029,1.3397
20100930,480,2.2383,20101029,2.5308
20100930,19,65.5908,20101029,67.2913
20100930,272,2.4044,20101029,2.4545
20100930,410,2.3331,20101029,2.7198
20100930,581,2.2088,20101029,2.1194
20100930,1098,3.2478,20101029,3.3527
20100930,656,4.8264,20101029,4.9813
20100930,1093,2.8584,20101029,3.099
20100930,242,3.3718,20101029,3.5778
20101029,1238,1.3397,20101130,1.3337
20101029,480,2.5308,20101130,2.5435
20101029,19,67.2913,20101130,70.996
20101029,1168,1.12,20101130,1.15
20101029,272,2.4545,20101130,2.442
20101029,581,2.1194,20101130,2.0024
20101029,1098,3.3527,20101130,3.3288
20101029,656,4.9813,20101130,4.532
20101029,242,3.5778,20101130,3.31
20101029,1093,3.099,20101130,3.1485
20101130,1238,1.3337,20101231,1.4879
20101130,480,2.5435,20101231,2.7027
20101130,1168,1.15,20101231,1.13
20101130,19,70.996,20101231,77.7372
20101130,272,2.442,20101231,2.3731
20101130,1333,2.8197,20101231,2.9128
20101130,581,2.0024,20101231,2.1744
20101130,656,4.532,20101231,4.4933
20101130,1098,3.3288,20101231,3.2907
20101130,242,3.31,20101231,3.2894
20101231,1238,1.4879,20110131,1.5827
20101231,480,2.7027,20110131,3.1682
20101231,272,2.3731,20110131,2.3481
20101231,410,2.5499,20110131,2.5923
20101231,1333,2.9128,20110131,2.5138
20101231,656,4.4933,20110131,4.6405
20101231,1098,3.2907,20110131,3.3574
20101231,242,3.2894,20110131,3.3443
20101231,1628,0.8351,20110131,0.8489
20101231,173,2.0062,20110131,2.3175
20110131,1168,1.12,20110228,0.95
20110131,480,3.1682,20110228,2.9807
20110131,1333,2.5138,20110228,2.1281
20110131,272,2.3481,20110228,2.2541
20110131,656,4.6405,20110228,4.3074
20110131,1098,3.3574,20110228,3.2287
20110131,242,3.3443,20110228,2.9185
20110131,1628,0.8489,20110228,0.7561
20110131,1093,3.0424,20110228,3.3962
20110131,813,7.2261,20110228,6.1781
20110228,1168,0.95,20110331,0.91
20110228,19,64.6798,20110331,70.4494
20110228,480,2.9807,20110331,2.8449
20110228,1333,2.1281,20110331,2.4938
20110228,272,2.2541,20110331,2.2228
20110228,410,2.3544,20110331,2.8558
20110228,242,2.9185,20110331,2.9735
20110228,656,4.3074,20110331,4.5398
20110228,1098,3.2287,20110331,3.1953
20110228,1628,0.7561,20110331,0.811
20110331,19,70.4494,20110429,71.2996
20110331,480,2.8449,20110429,2.9225
20110331,1628,0.811,20110429,0.9038
20110331,1966,1.2051,20110429,1.1929
20110331,272,2.2228,20110429,2.1915
20110331,53,69.0217,20110429,67.7514
20110331,34,5.4204,20110429,5.2562
20110331,983,8.932,20110429,8.814
20110331,1333,2.4938,20110429,2.6401
20110331,1777,0.8055,20110429,0.8182
20110429,1238,1.4167,20110531,1.3936
20110429,19,71.2996,20110531,73.1491
20110429,480,2.9225,20110531,3.0971
20110429,1966,1.1929,20110531,1.1988
20110429,272,2.1915,20110531,2.1913
20110429,1628,0.9038,20110531,0.8806
20110429,34,5.2562,20110531,5.5436
20110429,983,8.814,20110531,0
20110429,53,67.7514,20110531,69.0217
20110429,1777,0.8182,20110531,0.7922
20110531,1238,1.3936,20110630,1.3508
20110531,19,73.1491,20110630,70.9156
20110531,480,3.0971,20110630,2.929
20110531,1628,0.8806,20110630,0.8985
20110531,1966,1.1988,20110630,1.1929
20110531,272,2.1913,20110630,2.0961
20110531,53,69.0217,20110630,66.7281
20110531,34,5.5436,20110630,5.5542
20110531,983,0,20110630,9.077
20110531,1777,0.7922,20110630,0.7791
20110630,1238,1.3508,20110729,1.363
20110630,19,70.9156,20110729,68.2477
20110630,480,2.929,20110729,2.8772
20110630,17,25.9215,20110729,25.787
20110630,1966,1.1929,20110729,1.1929
20110630,1628,0.8985,20110729,0.8878
20110630,272,2.0961,20110729,2.1786
20110630,53,66.7281,20110729,66.7986
20110630,983,9.077,20110729,8.7192
20110630,34,5.5542,20110729,5.6494
20110729,1238,1.363,20110831,1.1063
20110729,19,68.2477,20110831,64.6492
20110729,2678,2.3726,20110831,1.7549
20110729,480,2.8772,20110831,2.4117
20110729,17,25.787,20110831,22.2665
20110729,658,5.3281,20110831,3.8616
20110729,1966,1.1929,20110831,1.1332
20110729,1628,0.8878,20110831,0.7943
20110729,272,2.1786,20110831,1.8738
20110729,983,8.7192,20110831,8.082
20110831,1238,1.1063,20110930,0.8068
20110831,682,2.52,20110930,0
