开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,682,7.3605,20100226,8.4626
20100129,2678,0.8643,20100226,1.1001
20100129,2343,3.5428,20100226,3.8385
20100129,321,3.0914,20100226,3.2177
20100129,142,3.0452,20100226,2.9614
20100129,8,1.1111,20100226,1.1545
20100129,551,12.8622,20100226,12.9164
20100129,6,21.0957,20100226,21.341
20100129,1138,10.2473,20100226,11.1865
20100129,857,6.0461,20100226,6.0044
20100226,682,8.4626,20100331,8.3642
20100226,2678,1.1001,20100331,1.4995
20100226,142,2.9614,20100331,3.618
20100226,321,3.2177,20100331,3.8272
20100226,2343,3.8385,20100331,3.8323
20100226,551,12.9164,20100331,0
20100226,8,1.1545,20100331,1.2629
20100226,6,21.341,20100331,22.4939
20100226,857,6.0044,20100331,6.3241
20100226,1138,11.1865,20100331,10.8678
20100331,2678,1.4995,20100430,2.1936
20100331,142,3.618,20100430,3.6459
20100331,682,8.3642,20100430,8.8562
20100331,8,1.2629,20100430,1.2792
20100331,551,0,20100430,14.6223
20100331,1888,3.2872,20100430,4.122
20100331,2777,5.4353,20100430,4.6068
20100331,321,3.8272,20100430,3.6095
20100331,3339,1.8792,20100430,1.8193
20100331,857,6.3241,20100430,6.2685
20100430,142,3.6459,20100531,3.6149
20100430,682,8.8562,20100531,7.4293
20100430,2678,2.1936,20100531,2.0906
20100430,2777,4.6068,20100531,4.3942
20100430,939,3.4102,20100531,3.4212
20100430,3328,4.6496,20100531,4.2664
20100430,3323,5.2047,20100531,5.0091
20100430,551,14.6223,20100531,12.9705
20100430,321,3.6095,20100531,3.4005
20100430,1398,3.1505,20100531,3.2954
20100531,682,7.4293,20100630,7.3801
20100531,142,3.6149,20100630,3.7498
20100531,868,1.5093,20100630,1.5093
20100531,2678,2.0906,20100630,2.3452
20100531,2777,4.3942,20100630,4.3588
20100531,551,12.9705,20100630,13.6733
20100531,3328,4.2664,20100630,4.5002
20100531,939,3.4212,20100630,3.5683
20100531,3339,1.5457,20100630,1.6481
20100531,489,6.6732,20100630,6.7165
20100630,682,7.3801,20100730,7.8918
20100630,142,3.7498,20100730,3.9274
20100630,3336,3.3479,20100730,3.7199
20100630,1093,3.2617,20100730,3.0565
20100630,2313,6.7097,20100730,7.4124
20100630,2338,4.1373,20100730,5.1675
20100630,2678,2.3452,20100730,3.1224
20100630,2777,4.3588,20100730,5.5016
20100630,3888,3.3458,20100730,3.9635
20100630,321,3.1219,20100730,3.5882
20100730,682,7.8918,20100831,5.9828
20100730,142,3.9274,20100831,4.0836
20100730,1093,3.0565,20100831,2.7735
20100730,3336,3.7199,20100831,2.7301
20100730,2313,7.4124,20100831,6.8719
20100730,2338,5.1675,20100831,5.0694
20100730,321,3.5882,20100831,3.4173
20100730,551,13.4537,20100831,13.7557
20100730,939,3.7156,20100831,3.6476
20100730,3888,3.9635,20100831,3.1742
20100831,682,5.9828,20100930,6.5437
20100831,3336,2.7301,20100930,2.5906
20100831,142,4.0836,20100930,5.0679
20100831,1093,2.7735,20100930,2.8584
20100831,2678,3.1828,20100930,3.0724
20100831,2313,6.8719,20100930,7.2193
20100831,2338,5.0694,20100930,6.7047
20100831,489,8.5705,20100930,11.1965
20100831,3339,2.0257,20100930,2.4801
20100831,2777,4.9169,20100930,4.9549
20100930,682,6.5437,20101029,6.1993
20100930,3336,2.5906,20101029,2.4777
20100930,2678,3.0724,20101029,3.7651
20100930,1093,2.8584,20101029,3.099
20100930,2313,7.2193,20101029,6.9877
20100930,142,5.0679,20101029,5.169
20100930,2777,4.9549,20101029,4.9728
20100930,904,298.3843,20101029,316.2247
20100930,3339,2.4801,20101029,2.6552
20100930,2338,6.7047,20101029,7.8494
20101029,682,6.1993,20101130,6.2091
20101029,3336,2.4777,20101130,2.119
20101029,2313,6.9877,20101130,6.5553
20101029,1093,3.099,20101130,3.1485
20101029,142,5.169,20101130,4.6826
20101029,2678,3.7651,20101130,3.8679
20101029,2777,4.9728,20101130,4.6061
20101029,1888,3.7802,20101130,3.8313
20101029,904,316.2247,20101130,322.2595
20101029,3888,3.3715,20101130,3.5002
20101130,3336,2.119,20101231,2.5574
20101130,682,6.2091,20101231,5.9607
20101130,2313,6.5553,20101231,6.9182
20101130,2338,8.8551,20101231,7.9884
20101130,142,4.6826,20101231,5.2198
20101130,1093,3.1485,20101231,3.0848
20101130,2678,3.8679,20101231,4.108
20101130,2777,4.6061,20101231,5.0354
20101130,3888,3.5002,20101231,3.3115
20101130,904,322.2595,20101231,311.7991
20101231,682,5.9607,20110131,5.464
20101231,3336,2.5574,20110131,2.3847
20101231,2313,6.9182,20110131,7.0263
20101231,1093,3.0848,20110131,3.0424
20101231,142,5.2198,20110131,5.0383
20101231,2678,4.108,20110131,4.8486
20101231,2777,5.0354,20110131,5.0623
