开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,10,26.3309,20100226,28.9249
20100129,101,18.5314,20100226,20.8857
20100129,386,2.6445,20100226,2.5881
20100129,1038,19.3923,20100226,19.8982
20100129,551,12.8622,20100226,12.9164
20100129,3988,1.8934,20100226,1.924
20100129,857,6.0461,20100226,6.0044
20100129,998,2.9846,20100226,3.0613
20100226,10,28.9249,20100331,31.3826
20100226,101,20.8857,20100331,22.1472
20100226,386,2.5881,20100331,2.7745
20100226,551,12.9164,20100331,0
20100226,1038,19.8982,20100331,19.9993
20100226,3988,1.924,20100331,2.118
20100226,857,6.0044,20100331,6.3241
20100226,998,3.0613,20100331,3.3857
20100331,10,31.3826,20100430,29.8324
20100331,101,22.1472,20100430,20.1147
20100331,53,54.9572,20100430,55.0256
20100331,656,4.616,20100430,4.5635
20100331,3988,2.118,20100430,2.0567
20100331,1038,19.9993,20100430,20.4978
20100331,857,6.3241,20100430,6.2685
20100430,87,10.0961,20100531,9.7774
20100430,127,3.0613,20100531,3.0034
20100430,19,52.1202,20100531,52.0311
20100430,10,29.8324,20100531,28.0175
20100430,101,20.1147,20100531,19.1335
20100430,53,55.0256,20100531,54.3079
20100430,12,19.1716,20100531,17.7557
20100430,3988,2.0567,20100531,2.0623
20100430,813,7.1757,20100531,6.9282
20100430,998,2.9905,20100531,2.7992
20100531,87,9.7774,20100630,10.2724
20100531,127,3.0034,20100630,3.1893
20100531,19,52.0311,20100630,52.8131
20100531,10,28.0175,20100630,31.6473
20100531,101,19.1335,20100630,21.0609
20100531,53,54.3079,20100630,51.2661
20100531,12,17.7557,20100630,17.6409
20100531,3988,2.0623,20100630,2.1101
20100531,813,6.9282,20100630,7.3619
20100531,998,2.7992,20100630,2.9319
20100630,754,7.9716,20100730,8.802
20100630,127,3.1893,20100730,3.3474
20100630,19,52.8131,20100730,55.941
20100630,10,31.6473,20100730,33.9537
20100630,1333,3.2919,20100730,3.2187
20100630,53,51.2661,20100730,52.1547
20100630,101,21.0609,20100730,22.6028
20100630,410,1.8066,20100730,2.0221
20100630,845,2.2,20100730,2.52
20100630,12,17.6409,20100730,18.8654
20100730,127,3.3474,20100831,3.1382
20100730,754,8.802,20100831,7.7225
20100730,19,55.941,20100831,56.4523
20100730,10,33.9537,20100831,34.2562
20100730,1333,3.2187,20100831,3.0258
20100730,101,22.6028,20100831,24.4601
20100730,53,52.1547,20100831,53.0433
20100730,410,2.0221,20100831,2.0387
20100730,845,2.52,20100831,2.08
20100730,12,18.8654,20100831,17.8705
20100831,19,56.4523,20100930,65.5908
20100831,410,2.0387,20100930,2.3331
