开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,2343,3.5428,20100226,3.8385
20100129,682,7.3605,20100226,8.4626
20100129,1138,10.2473,20100226,11.1865
20100129,8,1.1111,20100226,1.1545
20100129,3383,4.7255,20100226,4.8954
20100129,10,26.3309,20100226,28.9249
20100129,272,2.194,20100226,2.2415
20100129,6,21.0957,20100226,21.341
20100129,551,12.8622,20100226,12.9164
20100129,2883,7.8592,20100226,8.5575
20100226,2343,3.8385,20100331,3.8323
20100226,682,8.4626,20100331,8.3642
20100226,1138,11.1865,20100331,10.8678
20100226,8,1.1545,20100331,1.2629
20100226,3383,4.8954,20100331,5.3449
20100226,10,28.9249,20100331,31.3826
20100226,272,2.2415,20100331,2.3723
20100226,6,21.341,20100331,22.4939
20100226,551,12.9164,20100331,0
20100226,857,6.0044,20100331,6.3241
20100331,682,8.3642,20100430,8.8562
20100331,386,2.7745,20100430,2.6965
20100331,10,31.3826,20100430,29.8324
20100331,8,1.2629,20100430,1.2792
20100331,1888,3.2872,20100430,4.122
20100331,321,3.8272,20100430,3.6095
20100331,2777,5.4353,20100430,4.6068
20100331,272,2.3723,20100430,2.1821
20100331,12,21.5282,20100430,19.1716
20100331,754,10.4129,20100430,8.7356
20100430,754,8.7356,20100531,7.9633
20100430,656,4.5635,20100531,3.8429
20100430,682,8.8562,20100531,7.4293
20100430,8,1.2792,20100531,1.2022
20100430,410,1.7704,20100531,1.7238
20100430,4,11.005,20100531,9.9532
20100430,10,29.8324,20100531,28.0175
20100430,386,2.6965,20100531,2.6878
20100430,87,10.0961,20100531,9.7774
20100430,321,3.6095,20100531,3.4005
20100531,754,7.9633,20100630,7.9716
20100531,682,7.4293,20100630,7.3801
20100531,656,3.8429,20100630,4.0285
20100531,8,1.2022,20100630,1.3115
20100531,410,1.7238,20100630,1.8066
20100531,4,9.9532,20100630,9.9141
20100531,10,28.0175,20100630,31.6473
20100531,489,6.6732,20100630,6.7165
20100531,386,2.6878,20100630,2.7878
20100531,87,9.7774,20100630,10.2724
20100630,754,7.9716,20100730,8.802
20100630,2313,6.7097,20100730,7.4124
20100630,2338,4.1373,20100730,5.1675
20100630,682,7.3801,20100730,7.8918
20100630,656,4.0285,20100730,4.6095
20100630,8,1.3115,20100730,1.4036
20100630,410,1.8066,20100730,2.0221
20100630,489,6.7165,20100730,7.979
20100630,321,3.1219,20100730,3.5882
20100630,4,9.9141,20100730,11.023
20100730,754,8.802,20100831,7.7225
20100730,2313,7.4124,20100831,6.8719
20100730,682,7.8918,20100831,5.9828
20100730,656,4.6095,20100831,4.501
20100730,8,1.4036,20100831,1.4553
20100730,2338,5.1675,20100831,5.0694
20100730,321,3.5882,20100831,3.4173
20100730,410,2.0221,20100831,2.0387
20100730,751,3.8166,20100831,2.8418
20100730,4,11.023,20100831,10.7621
20100831,754,7.7225,20100930,7.4734
20100831,682,5.9828,20100930,6.5437
20100831,2313,6.8719,20100930,7.2193
20100831,656,4.501,20100930,4.8264
20100831,410,2.0387,20100930,2.3331
20100831,2338,5.0694,20100930,6.7047
20100831,489,8.5705,20100930,11.1965
20100831,751,2.8418,20100930,3.7259
20100831,321,3.4173,20100930,3.9794
20100831,8,1.4553,20100930,1.6464
20100930,10,38.1507,20101029,39.245
20100930,754,7.4734,20101029,7.2575
20100930,101,26.5627,20101029,27.0793
20100930,682,6.5437,20101029,6.1993
20100930,2313,7.2193,20101029,6.9877
20100930,656,4.8264,20101029,4.9813
20100930,410,2.3331,20101029,2.7198
20100930,242,3.3718,20101029,3.5778
20100930,2338,6.7047,20101029,7.8494
20100930,321,3.9794,20101029,3.7231
20101029,10,39.245,20101130,37.1432
20101029,2313,6.9877,20101130,6.5553
20101029,754,7.2575,20101130,6.6762
20101029,101,27.0793,20101130,25.5868
20101029,656,4.9813,20101130,4.532
20101029,546,4.8084,20101130,5.2886
20101029,410,2.7198,20101130,2.4904
20101029,242,3.5778,20101130,3.31
20101029,682,6.1993,20101130,6.2091
20101029,17,33.9258,20101130,33.7892
20101130,10,37.1432,20101231,39.8946
20101130,2313,6.5553,20101231,6.9182
20101130,2338,8.8551,20101231,7.9884
20101130,754,6.6762,20101231,7.1496
20101130,101,25.5868,20101231,25.9066
20101130,656,4.532,20101231,4.4933
20101130,410,2.4904,20101231,2.5499
20101130,242,3.31,20101231,3.2894
20101130,682,6.2091,20101231,5.9607
20101130,546,5.2886,20101231,4.6712
20101231,10,39.8946,20110131,37.4489
20101231,2313,6.9182,20110131,7.0263
20101231,101,25.9066,20110131,24.6628
20101231,754,7.1496,20110131,7.299
20101231,656,4.4933,20110131,4.6405
20101231,546,4.6712,20110131,4.3557
20101231,410,2.5499,20110131,2.5923
20101231,242,3.2894,20110131,3.3443
20101231,2331,14.6462,20110131,12.8155
20101231,682,5.9607,20110131,5.464
20110131,2313,7.0263,20110228,6.9182
20110131,754,7.299,20110228,6.9503
20110131,546,4.3557,20110228,3.7658
20110131,656,4.6405,20110228,4.3074
20110131,2331,12.8155,20110228,12.1764
20110131,242,3.3443,20110228,2.9185
20110131,410,2.5923,20110228,2.3544
20110131,682,5.464,20110228,4.7288
20110131,489,9.5373,20110228,9.6671
20110131,17,32.7208,20110228,30.762
20110228,754,6.9503,20110331,7.1911
20110228,2313,6.9182,20110331,6.9491
20110228,656,4.3074,20110331,4.5398
