开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,87,9.4824,20100226,9.9156
20100129,1038,19.3923,20100226,19.8982
20100129,6,21.0957,20100226,21.341
20100129,127,2.8429,20100226,2.908
20100129,101,18.5314,20100226,20.8857
20100129,83,7.4791,20100226,8.5441
20100129,14,13.4945,20100226,14.3405
20100226,87,9.9156,20100331,10.3849
20100226,1038,19.8982,20100331,19.9993
20100226,6,21.341,20100331,22.4939
20100226,127,2.908,20100331,3.0195
20100226,101,20.8857,20100331,22.1472
20100226,83,8.5441,20100331,8.9842
20100226,41,13.6952,20100331,13.7592
20100226,14,14.3405,20100331,15.4754
20100331,1888,3.2872,20100430,4.122
20100331,6,22.4939,20100430,23.1541
20100331,127,3.0195,20100430,3.0613
20100331,14,15.4754,20100430,16.0256
20100430,1836,8.9938,20100531,9.0419
20100430,1888,4.122,20100531,3.3866
20100430,6,23.1541,20100531,23.4324
20100430,19,52.1202,20100531,52.0311
20100531,62,13.7788,20100630,13.7483
20100531,1836,9.0419,20100630,8.7502
20100531,1888,3.3866,20100630,3.2316
20100531,6,23.4324,20100630,23.2806
20100531,19,52.0311,20100630,52.8131
20100630,525,2.0105,20100730,2.0551
20100630,1836,8.7502,20100730,8.6685
20100630,904,314.2981,20100730,321.4593
20100630,1888,3.2316,20100730,3.7618
20100630,6,23.2806,20100730,23.7108
20100630,1038,19.4903,20100730,20.1504
20100630,34,3.8683,20100730,4.2546
20100630,19,52.8131,20100730,55.941
20100730,525,2.0551,20100831,2.018
20100730,3818,2.2089,20100831,2.029
20100730,1836,8.6685,20100831,8.3885
20100730,904,321.4593,20100831,282.4705
20100730,1888,3.7618,20100831,3.7918
20100730,6,23.7108,20100831,24.1029
20100730,1038,20.1504,20100831,20.9626
20100730,19,55.941,20100831,56.4523
20100831,525,2.018,20100930,2.1515
20100831,3818,2.029,20100930,2.356
20100831,1836,8.3885,20100930,9.0369
20100831,45,11.0287,20100930,11.6738
20100831,1888,3.7918,20100930,4.0561
20100831,6,24.1029,20100930,24.0516
20100831,1038,20.9626,20100930,21.9809
20100831,19,56.4523,20100930,65.5908
20100831,14,17.0724,20100930,19.7289
20100930,525,2.1515,20101029,2.3667
20100930,3818,2.356,20101029,2.2385
20100930,45,11.6738,20101029,11.5549
20100930,1888,4.0561,20101029,3.7802
20100930,6,24.0516,20101029,24.8721
20100930,1038,21.9809,20101029,22.6832
20100930,19,65.5908,20101029,67.2913
20100930,14,19.7289,20101029,20.9686
20101029,2300,2.1287,20101130,2.037
20101029,525,2.3667,20101130,2.337
20101029,3818,2.2385,20101130,1.8041
20101029,45,11.5549,20101130,11.215
20101029,73,7.6563,20101130,8.4122
20101029,1888,3.7802,20101130,3.8313
20101029,6,24.8721,20101130,25.6413
20101029,1387,13.9823,20101130,13.3425
20101029,480,2.5308,20101130,2.5435
20101029,19,67.2913,20101130,70.996
20101130,2300,2.037,20101231,2.1728
20101130,525,2.337,20101231,2.2702
20101130,3818,1.8041,20101231,1.7529
20101130,73,8.4122,20101231,8.5893
20101130,1888,3.8313,20101231,4.0612
20101130,6,25.6413,20101231,25.2054
20101130,1038,24.1579,20101231,25.0358
20101130,1387,13.3425,20101231,12.3373
20101130,480,2.5435,20101231,2.7027
20101130,19,70.996,20101231,77.7372
20101231,1080,1.3929,20110131,1.4311
20101231,2300,2.1728,20110131,2.0268
20101231,525,2.2702,20110131,2.3667
20101231,3818,1.7529,20110131,1.7683
20101231,1382,2.1837,20110131,2.1449
20101231,1888,4.0612,20110131,3.9846
20101231,6,25.2054,20110131,25.308
20101231,1387,12.3373,20110131,11.789
20101231,480,2.7027,20110131,3.1682
20101231,19,77.7372,20110131,75.0043
20110131,1080,1.4311,20110228,1.4311
20110131,2300,2.0268,20110228,1.9385
20110131,525,2.3667,20110228,2.1663
20110131,3818,1.7683,20110228,1.5025
20110131,1382,2.1449,20110228,1.8773
20110131,1338,2.22,20110228,2.12
20110131,1888,3.9846,20110228,3.4226
20110131,6,25.308,20110228,26.1798
20110131,1387,11.789,20110228,10.6923
20110131,480,3.1682,20110228,2.9807
20110131,19,75.0043,20110228,64.6798
20110228,1080,1.4311,20110331,1.307
20110228,2300,1.9385,20110331,2.0642
20110228,525,2.1663,20110331,2.1886
20110228,3818,1.5025,20110331,1.2777
20110228,1382,1.8773,20110331,1.9162
20110228,1338,2.12,20110331,2.29
20110228,1888,3.4226,20110331,3.3205
20110228,6,26.1798,20110331,26.5131
20110228,1387,10.6923,20110331,12.7942
20110228,480,2.9807,20110331,2.8449
20110228,41,16.9452,20110331,16.978
20110228,19,64.6798,20110331,70.4494
20110331,2300,2.0642,20110429,1.9046
20110331,893,3.1409,20110429,3.3805
20110331,3818,1.2777,20110429,1.3492
20110331,1382,1.9162,20110429,2.119
20110331,682,4.83,20110429,4.81
20110331,6,26.5131,20110429,27.8721
20110331,1387,12.7942,20110429,12.5201
20110331,480,2.8449,20110429,2.9225
20110331,34,5.4204,20110429,5.2562
20110331,19,70.4494,20110429,71.2996
20110429,2300,1.9046,20110531,1.7552
20110429,893,3.3805,20110531,2.6634
20110429,3818,1.3492,20110531,1.324
20110429,1382,2.119,20110531,2.201
20110429,1368,3.1548,20110531,3.5059
20110429,555,0.6961,20110531,0.6789
20110429,682,4.81,20110531,3.9
20110429,3888,4.3924,20110531,3.7069
20110429,1038,26.8968,20110531,26.1682
20110429,480,2.9225,20110531,3.0971
20110531,2300,1.7552,20110630,1.9072
20110531,893,2.6634,20110630,2.7472
20110531,3818,1.324,20110630,1.308
20110531,1382,2.201,20110630,2.2355
20110531,555,0.6789,20110630,0.6408
20110531,682,3.9,20110630,3.35
20110531,1338,1.71,20110630,1.49
20110531,3888,3.7069,20110630,3.9304
20110531,1038,26.1682,20110630,29.525
20110531,480,3.0971,20110630,2.929
20110630,2300,1.9072,20110729,1.6298
20110630,893,2.7472,20110729,2.6448
20110630,3818,1.308,20110729,0.9663
20110630,1382,2.2355,20110729,2.3391
20110630,1361,2.9409,20110729,2.571
20110630,682,3.35,20110729,3.18
20110630,1338,1.49,20110729,1.28
20110630,3888,3.9304,20110729,4.8711
20110630,1038,29.525,20110729,32.4125
20110630,480,2.929,20110729,2.8772
20110729,2300,1.6298,20110831,1.6124
20110729,893,2.6448,20110831,2.0488
20110729,1368,2.619,20110831,2.5218
20110729,3818,0.9663,20110831,0.8809
20110729,1999,1.2586,20110831,1.0218
20110729,1382,2.3391,20110831,2.1123
20110729,1361,2.571,20110831,2.8299
