开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,682,7.3605,20100226,8.4626
20100129,2689,8.2619,20100226,8.3983
20100129,1800,5.0068,20100226,5.0835
20100129,656,3.903,20100226,4.4284
20100129,66,16.8597,20100226,18.1747
20100129,1211,53.806,20100226,58.3263
20100129,493,2.4017,20100226,2.1722
20100129,69,11.73,20100226,11.2222
20100129,330,44.9511,20100226,46.2114
20100129,322,14.0321,20100226,13.9524
20100129,1044,38.0513,20100226,37.2975
20100129,5,49.5426,20100226,51.2099
20100129,388,99.6765,20100226,98.6178
20100129,2628,27.3273,20100226,28.4659
20100129,700,28.283,20100226,30.0118
20100129,2038,6.6652,20100226,6.8748
20100129,522,50.2561,20100226,54.269
20100129,728,2.3803,20100226,2.477
20100129,511,19.3992,20100226,19.2915
20100129,2,35.0521,20100226,36.1611
20100129,16,70.5719,20100226,76.9234
20100226,857,6.0044,20100331,6.3241
20100226,2689,8.3983,20100331,9.8536
20100226,1800,5.0835,20100331,5.1463
20100226,656,4.4284,20100331,4.616
20100226,66,18.1747,20100331,20.1214
20100226,1211,58.3263,20100331,78.5947
20100226,551,12.9164,20100331,0
20100226,69,11.2222,20100331,13.2531
20100226,330,46.2114,20100331,54.3599
20100226,322,13.9524,20100331,15.1643
20100226,1044,37.2975,20100331,42.5385
20100226,5,51.2099,20100331,47.4911
20100226,388,98.6178,20100331,98.9203
20100226,2628,28.4659,20100331,30.2145
20100226,700,30.0118,20100331,30.7888
20100226,2038,6.8748,20100331,7.0844
20100226,522,54.269,20100331,55.4692
20100226,728,2.477,20100331,2.8936
20100226,511,19.2915,20100331,20.477
20100226,2,36.1611,20100331,37.5054
20100226,16,76.9234,20100331,85.3079
20100331,857,6.3241,20100430,6.2685
20100331,2689,9.8536,20100430,10.0829
20100331,659,5.692,20100430,5.2568
20100331,656,4.616,20100430,4.5635
20100331,66,20.1214,20100430,18.7549
20100331,1211,78.5947,20100430,70.1263
20100331,551,0,20100430,14.6223
20100331,69,13.2531,20100430,13.4632
20100331,330,54.3599,20100430,46.3996
20100331,322,15.1643,20100430,15.3875
20100331,1044,42.5385,20100430,42.9334
20100331,939,3.443,20100430,3.4102
20100331,388,98.9203,20100430,99.4279
20100331,2628,30.2145,20100430,29.1435
20100331,700,30.7888,20100430,31.663
20100331,2038,7.0844,20100430,6.0281
20100331,522,55.4692,20100430,58.4783
20100331,728,2.8936,20100430,2.6766
20100331,511,20.477,20100430,20.45
20100331,2,37.5054,20100430,37.4406
20100331,16,85.3079,20100430,78.0567
20100430,857,6.2685,20100531,6.0017
20100430,2689,10.0829,20100531,8.8681
20100430,148,22.7279,20100531,19.566
20100430,656,4.5635,20100531,3.8429
20100430,66,18.7549,20100531,18.2425
20100430,1211,70.1263,20100531,62.5081
20100430,551,14.6223,20100531,12.9705
20100430,69,13.4632,20100531,12.0277
20100430,330,46.3996,20100531,38.4819
20100430,322,15.3875,20100531,13.895
20100430,1044,42.9334,20100531,41.0671
20100430,939,3.4102,20100531,3.4212
20100430,388,99.4279,20100531,93.2089
20100430,2628,29.1435,20100531,28.3951
20100430,700,31.663,20100531,29.366
20100430,2038,6.0281,20100531,4.8208
20100430,522,58.4783,20100531,47.3341
20100430,728,2.6766,20100531,2.7222
20100430,511,20.45,20100531,19.3519
20100430,2,37.4406,20100531,37.7138
20100430,16,78.0567,20100531,74.0046
20100531,857,6.0017,20100630,6.0371
20100531,2689,8.8681,20100630,8.1696
20100531,148,19.566,20100630,17.8904
20100531,656,3.8429,20100630,4.0285
20100531,66,18.2425,20100630,18.14
20100531,1211,62.5081,20100630,58.406
20100531,551,12.9705,20100630,13.6733
20100531,69,12.0277,20100630,12.5903
20100531,330,38.4819,20100630,35.6724
20100531,322,13.895,20100630,15.2052
20100531,1044,41.0671,20100630,45.1303
20100531,939,3.4212,20100630,3.5683
20100531,388,93.2089,20100630,95.1284
20100531,2628,28.3951,20100630,28.2704
20100531,700,29.366,20100630,24.7314
20100531,2038,4.8208,20100630,4.3764
20100531,522,47.3341,20100630,47.8702
20100531,728,2.7222,20100630,2.7679
20100531,511,19.3519,20100630,19.8832
20100531,2,37.7138,20100630,38.2604
20100531,16,74.0046,20100630,75.4264
20100630,857,6.0371,20100730,6.2423
20100630,2689,8.1696,20100730,8.7314
20100630,1800,4.9029,20100730,5.1662
20100630,656,4.0285,20100730,4.6095
20100630,66,18.14,20100730,18.5841
20100630,1211,58.406,20100730,52.7412
20100630,551,13.6733,20100730,13.4537
20100630,1928,7.4302,20100730,7.7274
20100630,330,35.6724,20100730,41.2914
20100630,322,15.2052,20100730,15.8523
20100630,1044,45.1303,20100730,47.5609
20100630,1099,23.3508,20100730,24.5267
20100630,2877,15.5607,20100730,13.9708
20100630,939,3.5683,20100730,3.7156
20100630,388,95.1284,20100730,98.1227
20100630,2628,28.2704,20100730,28.7693
20100630,700,24.7314,20100730,28.9571
20100630,2038,4.3764,20100730,4.6112
20100630,522,47.8702,20100730,55.9124
20100630,728,2.7679,20100730,2.8971
20100630,511,19.8832,20100730,20.079
20100630,3,6.2532,20100730,6.3315
20100630,16,75.4264,20100730,81.3269
20100730,857,6.2423,20100831,5.9592
20100730,2689,8.7314,20100831,8.124
20100730,1800,5.1662,20100831,4.9314
20100730,656,4.6095,20100831,4.501
20100730,66,18.5841,20100831,18.9172
20100730,1211,52.7412,20100831,43.7557
20100730,551,13.4537,20100831,13.7557
20100730,1928,7.7274,20100831,7.8824
20100730,330,41.2914,20100831,37.6731
20100730,322,15.8523,20100831,15.9655
20100730,1044,47.5609,20100831,49.9916
20100730,1099,24.5267,20100831,25.1987
20100730,2877,13.9708,20100831,13.531
20100730,939,3.7156,20100831,3.6476
20100730,388,98.1227,20100831,94.8064
20100730,2628,28.7693,20100831,24.4872
20100730,700,28.9571,20100831,27.5355
20100730,2038,4.6112,20100831,4.4686
20100730,522,55.9124,20100831,49.0262
20100730,728,2.8971,20100831,2.8591
20100730,511,20.079,20100831,21.4213
20100730,3,6.3315,20100831,6.0965
20100730,16,81.3269,20100831,78.1989
20100831,857,5.9592,20100930,6.4792
20100831,2689,8.124,20100930,9.8703
20100831,148,19.8633,20100930,21.2836
20100831,656,4.501,20100930,4.8264
20100831,66,18.9172,20100930,19.6038
20100831,1211,43.7557,20100930,58.5037
20100831,551,13.7557,20100930,15.9247
20100831,1928,7.8824,20100930,9.2263
20100831,330,37.6731,20100930,35.9278
20100831,322,15.9655,20100930,17.3485
20100831,1044,49.9916,20100930,55.3951
20100831,1099,25.1987,20100930,26.9206
20100831,3933,11.4638,20100930,13.4004
20100831,939,3.6476,20100930,3.8232
20100831,388,94.8064,20100930,118.508
