开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,276,146,20100226,140
20100129,358,12.2234,20100226,12.347
20100129,148,18.2933,20100226,17.9189
20100129,242,2.9886,20100226,2.693
20100129,1138,10.2473,20100226,11.1865
20100129,3998,0.8706,20100226,0.9336
20100129,200,2.9386,20100226,2.9951
20100129,682,7.3605,20100226,8.4626
20100129,3988,1.8934,20100226,1.924
20100129,87,9.4824,20100226,9.9156
20100129,728,2.3803,20100226,2.477
20100129,6,21.0957,20100226,21.341
20100129,16,70.5719,20100226,76.9234
20100226,276,140,20100331,146.8
20100226,358,12.347,20100331,13.4442
20100226,148,17.9189,20100331,19.4701
20100226,242,2.693,20100331,3.2841
20100226,1138,11.1865,20100331,10.8678
20100226,3998,0.9336,20100331,0.9794
20100226,200,2.9951,20100331,3.3718
20100226,682,8.4626,20100331,8.3642
20100226,3988,1.924,20100331,2.118
20100226,87,9.9156,20100331,10.3849
20100226,728,2.477,20100331,2.8936
20100226,6,21.341,20100331,22.4939
20100226,16,76.9234,20100331,85.3079
20100331,276,146.8,20100430,0
20100331,347,9.3444,20100430,7.9376
20100331,659,5.692,20100430,5.2568
20100331,242,3.2841,20100430,3.0542
20100331,66,20.1214,20100430,18.7549
20100331,3998,0.9794,20100430,1.3001
20100331,200,3.3718,20100430,3.2023
20100331,682,8.3642,20100430,8.8562
20100331,998,3.3857,20100430,2.9905
20100331,87,10.3849,20100430,10.0961
20100331,728,2.8936,20100430,2.6766
20100331,1038,19.9993,20100430,20.4978
20100331,16,85.3079,20100430,78.0567
20100430,857,6.2685,20100531,6.0017
20100430,358,12.7952,20100531,12.3436
20100430,148,22.7279,20100531,19.566
20100430,242,3.0542,20100531,2.8178
20100430,66,18.7549,20100531,18.2425
20100430,200,3.2023,20100531,2.9009
20100430,682,8.8562,20100531,7.4293
20100430,3988,2.0567,20100531,2.0623
20100430,87,10.0961,20100531,9.7774
20100430,728,2.6766,20100531,2.7222
20100430,6,23.1541,20100531,23.4324
20100430,16,78.0567,20100531,74.0046
20100531,857,6.0017,20100630,6.0371
20100531,1333,3.8106,20100630,3.2919
20100531,148,19.566,20100630,17.8904
20100531,242,2.8178,20100630,2.7674
20100531,66,18.2425,20100630,18.14
20100531,200,2.9009,20100630,2.9574
20100531,682,7.4293,20100630,7.3801
20100531,3988,2.0623,20100630,2.1101
20100531,87,9.7774,20100630,10.2724
20100531,728,2.7222,20100630,2.7679
20100531,6,23.4324,20100630,23.2806
20100531,16,74.0046,20100630,75.4264
20100630,857,6.0371,20100730,6.2423
20100630,1333,3.2919,20100730,3.2187
20100630,148,17.8904,20100730,18.9174
20100630,242,2.7674,20100730,2.9941
20100630,66,18.14,20100730,18.5841
20100630,45,10.6221,20100730,10.368
20100630,682,7.3801,20100730,7.8918
20100630,23,20.4114,20100730,22.4125
20100630,1051,0.3631,20100730,0.342
20100630,2038,4.3764,20100730,4.6112
20100630,728,2.7679,20100730,2.8971
20100630,6,23.2806,20100730,23.7108
20100630,16,75.4264,20100730,81.3269
20100730,857,6.2423,20100831,5.9592
20100730,1333,3.2187,20100831,3.0258
20100730,148,18.9174,20100831,19.8633
20100730,242,2.9941,20100831,3.1932
20100730,66,18.5841,20100831,18.9172
20100730,551,13.4537,20100831,13.7557
20100730,45,10.368,20100831,11.0287
20100730,682,7.8918,20100831,5.9828
20100730,23,22.4125,20100831,21.7403
20100730,1051,0.342,20100831,0.3209
20100730,2038,4.6112,20100831,4.4686
20100730,728,2.8971,20100831,2.8591
20100730,6,23.7108,20100831,24.1029
20100730,16,81.3269,20100831,78.1989
20100831,857,5.9592,20100930,6.4792
20100831,1333,3.0258,20100930,3.1057
20100831,148,19.8633,20100930,21.2836
20100831,242,3.1932,20100930,3.3718
20100831,66,18.9172,20100930,19.6038
20100831,551,13.7557,20100930,15.9247
20100831,45,11.0287,20100930,11.6738
20100831,682,5.9828,20100930,6.5437
20100831,23,21.7403,20100930,24.0986
20100831,1051,0.3209,20100930,0.4391
20100831,2038,4.4686,20100930,4.7369
