开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,2020,6.6733,20100226,7.5676
20100129,6,21.0957,20100226,21.341
20100129,1387,14.8583,20100226,15.3737
20100129,1,44.5884,20100226,45.817
20100226,2020,7.5676,20100331,8.8446
20100226,6,21.341,20100331,22.4939
20100226,1,45.817,20100331,48.6595
20100331,2899,2.7713,20100430,2.8351
20100331,148,19.4701,20100430,22.7279
20100331,425,9.6131,20100430,8.2398
20100331,2020,8.8446,20100430,9.5103
20100331,6,22.4939,20100430,23.1541
20100430,1333,4.3185,20100531,3.8106
20100430,242,3.0542,20100531,2.8178
20100430,825,5.0469,20100531,4.7576
20100430,220,3.6186,20100531,3.5227
20100430,1888,4.122,20100531,3.3866
20100430,127,3.0613,20100531,3.0034
20100531,1333,3.8106,20100630,3.2919
20100531,242,2.8178,20100630,2.7674
20100531,825,4.7576,20100630,5.1915
20100531,220,3.5227,20100630,3.6719
20100531,1888,3.3866,20100630,3.2316
20100531,127,3.0034,20100630,3.1893
20100630,1333,3.2919,20100730,3.2187
20100630,148,17.8904,20100730,18.9174
20100630,242,2.7674,20100730,2.9941
20100630,555,0.6244,20100730,0.5389
20100630,2020,9.6597,20100730,9.4559
20100630,116,9.3369,20100730,10.7897
20100630,220,3.6719,20100730,3.6305
20100630,127,3.1893,20100730,3.3474
20100630,4,9.9141,20100730,11.023
20100730,1333,3.2187,20100831,3.0258
20100730,148,18.9174,20100831,19.8633
20100730,242,2.9941,20100831,3.1932
20100730,555,0.5389,20100831,0.5645
20100730,2020,9.4559,20100831,10.829
20100730,178,1.8731,20100831,1.7522
20100730,116,10.7897,20100831,10.2255
20100730,220,3.6305,20100831,3.8045
20100730,2877,13.9708,20100831,13.531
20100730,1888,3.7618,20100831,3.7918
20100730,127,3.3474,20100831,3.1382
20100730,4,11.023,20100831,10.7621
20100831,1333,3.0258,20100930,3.1057
20100831,148,19.8633,20100930,21.2836
20100831,242,3.1932,20100930,3.3718
20100831,555,0.5645,20100930,0.6158
20100831,2020,10.829,20100930,11.9711
