开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,576,3.682,20100226,3.8011
20100129,330,44.9511,20100226,46.2114
20100129,303,38.1223,20100226,38.8339
20100129,11,66.8132,20100226,70.5695
20100129,62,12.4095,20100226,12.578
20100129,321,3.0914,20100226,3.2177
20100129,3998,0.893,20100226,0.9576
20100129,127,2.8486,20100226,2.9137
20100226,11,70.5695,20100331,67.6551
20100226,303,38.8339,20100331,43.307
20100226,62,12.578,20100331,15.4417
20100226,321,3.2177,20100331,3.8272
20100226,3998,0.9576,20100331,1.0046
20100226,127,2.9137,20100331,3.0254
20100331,127,3.0254,20100430,3.0673
20100331,321,3.8272,20100430,3.6095
20100331,410,1.7704,20100430,1.7704
20100331,303,43.307,20100430,44.6285
20100331,34,4.9731,20100430,4.7893
20100331,902,2.7324,20100430,2.6613
20100331,8,1.2629,20100430,1.2792
20100331,659,5.692,20100430,5.2568
20100331,3998,1.0046,20100430,1.3336
20100331,62,15.4417,20100430,15.4698
20100430,303,44.6285,20100531,39.1389
20100430,410,1.7704,20100531,1.7238
20100430,321,3.6095,20100531,3.4005
20100430,902,2.6613,20100531,2.6652
20100430,34,4.7893,20100531,4.0238
20100430,1387,16.3184,20100531,14.4289
20100430,8,1.2792,20100531,1.2022
20100430,3998,1.3336,20100531,1.0692
20100430,659,5.2568,20100531,5.2415
20100430,62,15.4698,20100531,13.7788
20100531,303,39.1389,20100630,42.697
20100531,330,38.4819,20100630,35.6724
20100531,11,65.5122,20100630,66.968
20100531,1387,14.4289,20100630,14.8961
20100531,8,1.2022,20100630,1.3115
20100531,34,4.0238,20100630,3.8683
20100531,868,1.5093,20100630,1.5093
20100531,3998,1.0692,20100630,1.1867
20100531,659,5.2415,20100630,5.3256
20100531,62,13.7788,20100630,13.7483
20100630,8,1.3115,20100730,1.4036
20100630,11,66.968,20100730,67.601
20100630,480,1.7827,20100730,1.991
20100630,321,3.1219,20100730,3.5882
20100630,3998,1.1867,20100730,1.41
20100630,330,35.6724,20100730,41.2914
20100630,1387,14.8961,20100730,14.7133
20100630,34,3.8683,20100730,4.2546
20100630,303,42.697,20100730,44.4644
20100630,1098,2.7424,20100730,3.0199
20100730,1093,3.0565,20100831,2.7735
20100730,8,1.4036,20100831,1.4553
20100730,330,41.2914,20100831,37.6731
20100730,11,67.601,20100831,68.4891
20100730,3998,1.41,20100831,1.5641
20100730,321,3.5882,20100831,3.4173
20100730,34,4.2546,20100831,3.9837
20100730,1387,14.7133,20100831,14.165
20100730,303,44.4644,20100831,40.4491
20100730,1098,3.0199,20100831,3.0522
20100831,3818,2.029,20100930,2.356
20100831,1093,2.7735,20100930,2.8584
20100831,321,3.4173,20100930,3.9794
20100831,330,37.6731,20100930,35.9278
20100831,34,3.9837,20100930,4.5581
20100831,1387,14.165,20100930,13.4339
20100831,8,1.4553,20100930,1.6464
20100831,410,2.0387,20100930,2.3331
20100831,1098,3.0522,20100930,3.2478
20100831,303,40.4491,20100930,42.7936
20100930,1333,3.1057,20101029,3.1988
20100930,321,3.9794,20101029,3.7231
20100930,3818,2.356,20101029,2.2385
20100930,1093,2.8584,20101029,3.099
20100930,34,4.5581,20101029,4.4041
20100930,8,1.6464,20101029,1.705
20100930,410,2.3331,20101029,2.7198
20100930,1387,13.4339,20101029,13.9823
20100930,1098,3.2478,20101029,3.3527
20100930,303,42.7936,20101029,43.9793
20101029,410,2.7198,20101130,2.4904
20101029,1093,3.099,20101130,3.1485
20101029,3818,2.2385,20101130,1.8041
20101029,321,3.7231,20101130,4.0243
20101029,1333,3.1988,20101130,2.8197
20101029,8,1.705,20101130,1.746
20101029,34,4.4041,20101130,4.3322
20101029,1387,13.9823,20101130,13.3425
20101029,1098,3.3527,20101130,3.3288
20101029,303,43.9793,20101130,43.3595
20101130,1093,3.1485,20101231,3.0848
20101130,8,1.746,20101231,2.0096
20101130,902,2.6401,20101231,2.5964
20101130,1333,2.8197,20101231,2.9128
20101130,34,4.3322,20101231,4.7377
20101130,410,2.4904,20101231,2.5499
20101130,3818,1.8041,20101231,1.7529
20101130,1098,3.3288,20101231,3.2907
20101130,1387,13.3425,20101231,12.3373
20101130,303,43.3595,20101231,50.308
20101231,3998,1.9694,20110131,1.5768
20101231,1333,2.9128,20110131,2.5138
20101231,410,2.5499,20110131,2.5923
20101231,303,50.308,20110131,48.1207
20101231,1098,3.2907,20110131,3.3574
20101231,1999,2.0141,20110131,2.0475
20101231,3818,1.7529,20110131,1.7683
20101231,1387,12.3373,20110131,11.789
20101231,1382,2.1837,20110131,2.1449
20101231,1200,4.4835,20110131,4.4764
20110131,3993,1.6962,20110228,1.7141
20110131,1333,2.5138,20110228,2.1281
20110131,1098,3.3574,20110228,3.2287
20110131,303,48.1207,20110228,45.7147
20110131,3818,1.7683,20110228,1.5025
20110131,1999,2.0475,20110228,1.8803
20110131,3998,1.5768,20110228,1.259
20110131,1387,11.789,20110228,10.6923
20110131,1382,2.1449,20110228,1.8773
20110131,1200,4.4764,20110228,4.4194
20110228,3993,1.7141,20110331,1.6545
20110228,303,45.7147,20110331,47.4919
